qid,remove_index,remove_rank,positive_add_index,positive_add_rank,positive_add_title,negative_add_index,negative_add_rank,negative_add_title,negative_type,positive_after_objective,negative_after_objective
49b22d0a0bde11eba7f7acde48001122,2,3,15,16,Isaac Schwartz,5,6,Oscar Straus (composer),lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
49b22d0a0bde11eba7f7acde48001122,3,4,15,16,Isaac Schwartz,5,6,Oscar Straus (composer),lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
49b22d0a0bde11eba7f7acde48001122,4,5,15,16,Isaac Schwartz,5,6,Oscar Straus (composer),lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
0083038e0bde11eba7f7acde48001122,1,2,6,7,Infanta María de la Paz of Spain,5,6,Infanta Blanca of Spain,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
0083038e0bde11eba7f7acde48001122,2,3,6,7,Infanta María de la Paz of Spain,5,6,Infanta Blanca of Spain,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
0083038e0bde11eba7f7acde48001122,3,4,6,7,Infanta María de la Paz of Spain,5,6,Infanta Blanca of Spain,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
0083038e0bde11eba7f7acde48001122,4,5,6,7,Infanta María de la Paz of Spain,5,6,Infanta Blanca of Spain,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
3ab846860bde11eba7f7acde48001122,1,2,12,13,William Axt,5,6,Possession (1922 film),lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
3ab846860bde11eba7f7acde48001122,2,3,12,13,William Axt,5,6,Possession (1922 film),lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
3ab846860bde11eba7f7acde48001122,3,4,12,13,William Axt,5,6,Possession (1922 film),lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
3ab846860bde11eba7f7acde48001122,4,5,12,13,William Axt,5,6,Possession (1922 film),lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
0016373a0bda11eba7f7acde48001122,1,2,12,13,Louis the Junker,5,6,Adelaide of Hesse,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
0016373a0bda11eba7f7acde48001122,2,3,12,13,Louis the Junker,5,6,Adelaide of Hesse,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
0016373a0bda11eba7f7acde48001122,3,4,12,13,Louis the Junker,5,6,Adelaide of Hesse,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
0016373a0bda11eba7f7acde48001122,4,5,12,13,Louis the Junker,5,6,Adelaide of Hesse,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
49ccfdfa08ce11ebbd94ac1f6bf848b6,0,1,6,7,Amira & Sam,7,8,Sam Wood,lexical_hard_negative,"[0.0, 0.5, 2.0, 0.6666666666666666, -0.0]","[0.0, 0.25, 1.0, 0.3333333333333333, -1.0]"
49ccfdfa08ce11ebbd94ac1f6bf848b6,0,1,17,18,Sean Mullin,7,8,Sam Wood,lexical_hard_negative,"[0.0, 0.5, 2.0, 1.0, -0.0]","[0.0, 0.25, 1.0, 0.3333333333333333, -1.0]"
49ccfdfa08ce11ebbd94ac1f6bf848b6,1,2,6,7,Amira & Sam,7,8,Sam Wood,lexical_hard_negative,"[0.0, 0.5, 2.0, 0.6666666666666666, -0.0]","[0.0, 0.25, 1.0, 0.3333333333333333, -1.0]"
49ccfdfa08ce11ebbd94ac1f6bf848b6,1,2,17,18,Sean Mullin,7,8,Sam Wood,lexical_hard_negative,"[0.0, 0.5, 2.0, 1.0, -0.0]","[0.0, 0.25, 1.0, 0.3333333333333333, -1.0]"
49ccfdfa08ce11ebbd94ac1f6bf848b6,2,3,6,7,Amira & Sam,7,8,Sam Wood,lexical_hard_negative,"[0.0, 0.75, 3.0, 0.6666666666666666, -0.0]","[0.0, 0.5, 2.0, 0.3333333333333333, -1.0]"
49ccfdfa08ce11ebbd94ac1f6bf848b6,2,3,17,18,Sean Mullin,7,8,Sam Wood,lexical_hard_negative,"[0.0, 0.75, 3.0, 1.0, -0.0]","[0.0, 0.5, 2.0, 0.3333333333333333, -1.0]"
49ccfdfa08ce11ebbd94ac1f6bf848b6,3,4,6,7,Amira & Sam,7,8,Sam Wood,lexical_hard_negative,"[0.0, 0.75, 3.0, 0.6666666666666666, -0.0]","[0.0, 0.5, 2.0, 0.3333333333333333, -1.0]"
49ccfdfa08ce11ebbd94ac1f6bf848b6,3,4,17,18,Sean Mullin,7,8,Sam Wood,lexical_hard_negative,"[0.0, 0.75, 3.0, 1.0, -0.0]","[0.0, 0.5, 2.0, 0.3333333333333333, -1.0]"
49ccfdfa08ce11ebbd94ac1f6bf848b6,4,5,6,7,Amira & Sam,7,8,Sam Wood,lexical_hard_negative,"[0.0, 0.75, 3.0, 0.6666666666666666, -0.0]","[0.0, 0.5, 2.0, 0.3333333333333333, -1.0]"
49ccfdfa08ce11ebbd94ac1f6bf848b6,4,5,17,18,Sean Mullin,7,8,Sam Wood,lexical_hard_negative,"[0.0, 0.75, 3.0, 1.0, -0.0]","[0.0, 0.5, 2.0, 0.3333333333333333, -1.0]"
f04cc9b408d611ebbd99ac1f6bf848b6,1,2,5,6,Kim Ki-young,6,7,Ultimo tango a Zagarol,lexical_hard_negative,"[1.0, 1.0, 4.0, 1.0, -0.0]","[0.0, 0.75, 3.0, 1.0, -1.0]"
f04cc9b408d611ebbd99ac1f6bf848b6,4,5,5,6,Kim Ki-young,6,7,Ultimo tango a Zagarol,lexical_hard_negative,"[1.0, 1.0, 4.0, 1.0, -0.0]","[0.0, 0.75, 3.0, 1.0, -1.0]"
755fdd7c08a411ebbd7cac1f6bf848b6,3,4,11,12,Bahram Beyzai,5,6,Elliot Silverstein,lexical_hard_negative,"[1.0, 1.0, 4.0, 1.0, -0.0]","[0.0, 0.75, 3.0, 1.0, -1.0]"
755fdd7c08a411ebbd7cac1f6bf848b6,4,5,11,12,Bahram Beyzai,5,6,Elliot Silverstein,lexical_hard_negative,"[1.0, 1.0, 4.0, 1.0, -0.0]","[0.0, 0.75, 3.0, 1.0, -1.0]"
94198d580bb011ebab90acde48001122,0,1,9,10,"William II, Count of Flanders",5,6,"Rotrou IV, Count of Perche",lexical_hard_negative,"[0.0, 0.5, 1.0, 1.0, -0.0]","[0.0, 0.0, 0.0, 0.0, -1.0]"
94198d580bb011ebab90acde48001122,0,1,12,13,William II of Dampierre,5,6,"Rotrou IV, Count of Perche",lexical_hard_negative,"[0.0, 0.5, 1.0, 1.0, -0.0]","[0.0, 0.0, 0.0, 0.0, -1.0]"
94198d580bb011ebab90acde48001122,1,2,9,10,"William II, Count of Flanders",5,6,"Rotrou IV, Count of Perche",lexical_hard_negative,"[0.0, 0.5, 1.0, 1.0, -0.0]","[0.0, 0.0, 0.0, 0.0, -1.0]"
94198d580bb011ebab90acde48001122,1,2,12,13,William II of Dampierre,5,6,"Rotrou IV, Count of Perche",lexical_hard_negative,"[0.0, 0.5, 1.0, 1.0, -0.0]","[0.0, 0.0, 0.0, 0.0, -1.0]"
94198d580bb011ebab90acde48001122,2,3,9,10,"William II, Count of Flanders",5,6,"Rotrou IV, Count of Perche",lexical_hard_negative,"[0.0, 0.5, 1.0, 1.0, -0.0]","[0.0, 0.0, 0.0, 0.0, -1.0]"
94198d580bb011ebab90acde48001122,2,3,12,13,William II of Dampierre,5,6,"Rotrou IV, Count of Perche",lexical_hard_negative,"[0.0, 0.5, 1.0, 1.0, -0.0]","[0.0, 0.0, 0.0, 0.0, -1.0]"
94198d580bb011ebab90acde48001122,3,4,9,10,"William II, Count of Flanders",5,6,"Rotrou IV, Count of Perche",lexical_hard_negative,"[0.0, 0.5, 1.0, 1.0, -0.0]","[0.0, 0.0, 0.0, 0.0, -1.0]"
94198d580bb011ebab90acde48001122,3,4,12,13,William II of Dampierre,5,6,"Rotrou IV, Count of Perche",lexical_hard_negative,"[0.0, 0.5, 1.0, 1.0, -0.0]","[0.0, 0.0, 0.0, 0.0, -1.0]"
94198d580bb011ebab90acde48001122,4,5,9,10,"William II, Count of Flanders",5,6,"Rotrou IV, Count of Perche",lexical_hard_negative,"[0.0, 0.5, 1.0, 1.0, -0.0]","[0.0, 0.0, 0.0, 0.0, -1.0]"
94198d580bb011ebab90acde48001122,4,5,12,13,William II of Dampierre,5,6,"Rotrou IV, Count of Perche",lexical_hard_negative,"[0.0, 0.5, 1.0, 1.0, -0.0]","[0.0, 0.0, 0.0, 0.0, -1.0]"
7efb04e708a011ebbd78ac1f6bf848b6,0,1,6,7,Satyajit Ray,12,13,Srijit Mukherji,lexical_hard_negative,"[0.0, 0.75, 3.0, 1.0, -0.0]","[0.0, 0.5, 2.0, 0.6666666666666666, -1.0]"
7efb04e708a011ebbd78ac1f6bf848b6,1,2,6,7,Satyajit Ray,12,13,Srijit Mukherji,lexical_hard_negative,"[0.0, 0.75, 3.0, 1.0, -0.0]","[0.0, 0.5, 2.0, 0.6666666666666666, -1.0]"
7efb04e708a011ebbd78ac1f6bf848b6,2,3,6,7,Satyajit Ray,12,13,Srijit Mukherji,lexical_hard_negative,"[0.0, 0.75, 3.0, 1.0, -0.0]","[0.0, 0.5, 2.0, 0.6666666666666666, -1.0]"
7efb04e708a011ebbd78ac1f6bf848b6,3,4,6,7,Satyajit Ray,12,13,Srijit Mukherji,lexical_hard_negative,"[1.0, 1.0, 4.0, 1.0, -0.0]","[0.0, 0.75, 3.0, 0.6666666666666666, -1.0]"
7efb04e708a011ebbd78ac1f6bf848b6,4,5,6,7,Satyajit Ray,12,13,Srijit Mukherji,lexical_hard_negative,"[1.0, 1.0, 4.0, 1.0, -0.0]","[0.0, 0.75, 3.0, 0.6666666666666666, -1.0]"
96b7c1a60bdd11eba7f7acde48001122,1,2,14,15,Berengaria of Barcelona,5,6,"Beatrice of Navarre, Countess of La Marche",lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
96b7c1a60bdd11eba7f7acde48001122,2,3,14,15,Berengaria of Barcelona,5,6,"Beatrice of Navarre, Countess of La Marche",lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
96b7c1a60bdd11eba7f7acde48001122,3,4,14,15,Berengaria of Barcelona,5,6,"Beatrice of Navarre, Countess of La Marche",lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
96b7c1a60bdd11eba7f7acde48001122,4,5,14,15,Berengaria of Barcelona,5,6,"Beatrice of Navarre, Countess of La Marche",lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
095c87880bdd11eba7f7acde48001122,1,2,8,9,Harun al-Rashid,12,13,'Adud al-Dawla,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
095c87880bdd11eba7f7acde48001122,2,3,8,9,Harun al-Rashid,12,13,'Adud al-Dawla,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
095c87880bdd11eba7f7acde48001122,3,4,8,9,Harun al-Rashid,12,13,'Adud al-Dawla,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
095c87880bdd11eba7f7acde48001122,4,5,8,9,Harun al-Rashid,12,13,'Adud al-Dawla,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
ee212a820bdc11eba7f7acde48001122,0,1,11,12,Charles Maigne,5,6,The Trail of the Lonesome Pine (song),lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
ee212a820bdc11eba7f7acde48001122,1,2,11,12,Charles Maigne,5,6,The Trail of the Lonesome Pine (song),lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
ee212a820bdc11eba7f7acde48001122,2,3,11,12,Charles Maigne,5,6,The Trail of the Lonesome Pine (song),lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
ee212a820bdc11eba7f7acde48001122,4,5,11,12,Charles Maigne,5,6,The Trail of the Lonesome Pine (song),lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
5f2bb1060bd911eba7f7acde48001122,1,2,5,6,Florence Jaugey,6,7,José Luis Cuerda,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
5f2bb1060bd911eba7f7acde48001122,2,3,5,6,Florence Jaugey,6,7,José Luis Cuerda,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
5f2bb1060bd911eba7f7acde48001122,3,4,5,6,Florence Jaugey,6,7,José Luis Cuerda,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
5f2bb1060bd911eba7f7acde48001122,4,5,5,6,Florence Jaugey,6,7,José Luis Cuerda,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
6a4840d608dc11ebbd9cac1f6bf848b6,1,2,17,18,Raj Kanwar,6,7,Chaowa Pawa (2009 film),lexical_hard_negative,"[1.0, 1.0, 4.0, 1.0, -0.0]","[0.0, 0.75, 3.0, 1.0, -1.0]"
6a4840d608dc11ebbd9cac1f6bf848b6,2,3,17,18,Raj Kanwar,6,7,Chaowa Pawa (2009 film),lexical_hard_negative,"[1.0, 1.0, 4.0, 1.0, -0.0]","[0.0, 0.75, 3.0, 1.0, -1.0]"
8540ae66088011ebbd6cac1f6bf848b6,0,1,5,6,Harold D. Schuster,7,8,Vera Miles,lexical_hard_negative,"[0.0, 0.5, 2.0, 1.0, -0.0]","[0.0, 0.25, 1.0, 0.3333333333333333, -1.0]"
8540ae66088011ebbd6cac1f6bf848b6,2,3,5,6,Harold D. Schuster,7,8,Vera Miles,lexical_hard_negative,"[0.0, 0.75, 3.0, 1.0, -0.0]","[0.0, 0.5, 2.0, 0.6666666666666666, -1.0]"
8540ae66088011ebbd6cac1f6bf848b6,2,3,6,7,William Friedkin,7,8,Vera Miles,lexical_hard_negative,"[0.0, 0.75, 3.0, 0.6666666666666666, -0.0]","[0.0, 0.5, 2.0, 0.6666666666666666, -1.0]"
8540ae66088011ebbd6cac1f6bf848b6,3,4,5,6,Harold D. Schuster,7,8,Vera Miles,lexical_hard_negative,"[0.0, 0.75, 3.0, 1.0, -0.0]","[0.0, 0.5, 2.0, 0.6666666666666666, -1.0]"
8540ae66088011ebbd6cac1f6bf848b6,3,4,6,7,William Friedkin,7,8,Vera Miles,lexical_hard_negative,"[0.0, 0.75, 3.0, 0.6666666666666666, -0.0]","[0.0, 0.5, 2.0, 0.6666666666666666, -1.0]"
8540ae66088011ebbd6cac1f6bf848b6,4,5,5,6,Harold D. Schuster,7,8,Vera Miles,lexical_hard_negative,"[0.0, 0.75, 3.0, 1.0, -0.0]","[0.0, 0.5, 2.0, 0.6666666666666666, -1.0]"
8540ae66088011ebbd6cac1f6bf848b6,4,5,6,7,William Friedkin,7,8,Vera Miles,lexical_hard_negative,"[0.0, 0.75, 3.0, 0.6666666666666666, -0.0]","[0.0, 0.5, 2.0, 0.6666666666666666, -1.0]"
a8a18e800bdb11eba7f7acde48001122,1,2,7,8,M. B. Sreenivasan,5,6,Deva (composer),lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
a8a18e800bdb11eba7f7acde48001122,2,3,7,8,M. B. Sreenivasan,5,6,Deva (composer),lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
a8a18e800bdb11eba7f7acde48001122,3,4,7,8,M. B. Sreenivasan,5,6,Deva (composer),lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
a8a18e800bdb11eba7f7acde48001122,4,5,7,8,M. B. Sreenivasan,5,6,Deva (composer),lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
5037e45b08cb11ebbd92ac1f6bf848b6,1,2,19,20,Karl Maka,6,7,Jonathan Demme,lexical_hard_negative,"[1.0, 1.0, 4.0, 1.0, -0.0]","[0.0, 0.75, 3.0, 1.0, -1.0]"
5037e45b08cb11ebbd92ac1f6bf848b6,4,5,19,20,Karl Maka,6,7,Jonathan Demme,lexical_hard_negative,"[1.0, 1.0, 4.0, 1.0, -0.0]","[0.0, 0.75, 3.0, 1.0, -1.0]"
1bb1993c0bb011ebab90acde48001122,1,2,5,6,Al-Walid I,6,7,Abd al-Muttalib,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
1bb1993c0bb011ebab90acde48001122,2,3,5,6,Al-Walid I,6,7,Abd al-Muttalib,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
1bb1993c0bb011ebab90acde48001122,3,4,5,6,Al-Walid I,6,7,Abd al-Muttalib,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
1bb1993c0bb011ebab90acde48001122,4,5,5,6,Al-Walid I,6,7,Abd al-Muttalib,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
ac1b9ee108b911ebbd88ac1f6bf848b6,0,1,5,6,Lisbeth Cathrine Amalie Rose,10,11,Princess Charlotte Amalie of Denmark,lexical_hard_negative,"[0.0, 0.5, 1.0, 1.0, -0.0]","[0.0, 0.0, 0.0, 0.0, -1.0]"
ac1b9ee108b911ebbd88ac1f6bf848b6,1,2,5,6,Lisbeth Cathrine Amalie Rose,10,11,Princess Charlotte Amalie of Denmark,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 0.0, -1.0]"
ac1b9ee108b911ebbd88ac1f6bf848b6,2,3,5,6,Lisbeth Cathrine Amalie Rose,10,11,Princess Charlotte Amalie of Denmark,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 0.0, -1.0]"
ac1b9ee108b911ebbd88ac1f6bf848b6,3,4,5,6,Lisbeth Cathrine Amalie Rose,10,11,Princess Charlotte Amalie of Denmark,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 0.0, -1.0]"
ac1b9ee108b911ebbd88ac1f6bf848b6,4,5,5,6,Lisbeth Cathrine Amalie Rose,10,11,Princess Charlotte Amalie of Denmark,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 0.0, -1.0]"
29524701085711ebbd5aac1f6bf848b6,0,1,6,7,Victor Sjöström,5,6,Ingmar Bergman,lexical_hard_negative,"[0.0, 0.75, 3.0, 1.0, -0.0]","[0.0, 0.5, 2.0, 0.6666666666666666, -1.0]"
29524701085711ebbd5aac1f6bf848b6,1,2,6,7,Victor Sjöström,5,6,Ingmar Bergman,lexical_hard_negative,"[0.0, 0.75, 3.0, 1.0, -0.0]","[0.0, 0.5, 2.0, 0.6666666666666666, -1.0]"
29524701085711ebbd5aac1f6bf848b6,2,3,6,7,Victor Sjöström,5,6,Ingmar Bergman,lexical_hard_negative,"[1.0, 1.0, 4.0, 1.0, -0.0]","[0.0, 0.75, 3.0, 0.6666666666666666, -1.0]"
29524701085711ebbd5aac1f6bf848b6,3,4,6,7,Victor Sjöström,5,6,Ingmar Bergman,lexical_hard_negative,"[0.0, 0.75, 3.0, 1.0, -0.0]","[0.0, 0.5, 2.0, 0.6666666666666666, -1.0]"
29524701085711ebbd5aac1f6bf848b6,4,5,6,7,Victor Sjöström,5,6,Ingmar Bergman,lexical_hard_negative,"[1.0, 1.0, 4.0, 1.0, -0.0]","[0.0, 0.75, 3.0, 0.6666666666666666, -1.0]"
f6ac1b13089e11ebbd78ac1f6bf848b6,1,2,10,11,James L. Robinson,8,9,List of people named O'Grady,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
f6ac1b13089e11ebbd78ac1f6bf848b6,2,3,10,11,James L. Robinson,8,9,List of people named O'Grady,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
f6ac1b13089e11ebbd78ac1f6bf848b6,3,4,10,11,James L. Robinson,8,9,List of people named O'Grady,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
f6ac1b13089e11ebbd78ac1f6bf848b6,4,5,10,11,James L. Robinson,8,9,List of people named O'Grady,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
74cb7e400bdb11eba7f7acde48001122,0,1,9,10,"Bogislaw XIII, Duke of Pomerania",5,6,Bridget of York,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
74cb7e400bdb11eba7f7acde48001122,2,3,9,10,"Bogislaw XIII, Duke of Pomerania",5,6,Bridget of York,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
74cb7e400bdb11eba7f7acde48001122,3,4,9,10,"Bogislaw XIII, Duke of Pomerania",5,6,Bridget of York,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
74cb7e400bdb11eba7f7acde48001122,4,5,9,10,"Bogislaw XIII, Duke of Pomerania",5,6,Bridget of York,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
95bf64480bdd11eba7f7acde48001122,1,2,8,9,"Mary of Burgundy, Duchess of Cleves",5,6,Anna van Bourgondië,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
95bf64480bdd11eba7f7acde48001122,2,3,8,9,"Mary of Burgundy, Duchess of Cleves",5,6,Anna van Bourgondië,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
95bf64480bdd11eba7f7acde48001122,3,4,8,9,"Mary of Burgundy, Duchess of Cleves",5,6,Anna van Bourgondië,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
95bf64480bdd11eba7f7acde48001122,4,5,8,9,"Mary of Burgundy, Duchess of Cleves",5,6,Anna van Bourgondië,lexical_hard_negative,"[1.0, 1.0, 2.0, 1.0, -0.0]","[0.0, 0.5, 1.0, 1.0, -1.0]"
48c0c6fa089011ebbd72ac1f6bf848b6,3,4,6,7,Daniel Lind Lagerlöf,7,8,Frank Borzage,lexical_hard_negative,"[1.0, 1.0, 4.0, 1.0, -0.0]","[0.0, 0.75, 3.0, 1.0, -1.0]"
48c0c6fa089011ebbd72ac1f6bf848b6,4,5,6,7,Daniel Lind Lagerlöf,7,8,Frank Borzage,lexical_hard_negative,"[1.0, 1.0, 4.0, 1.0, -0.0]","[0.0, 0.75, 3.0, 1.0, -1.0]"
