dataset,subset_dataset,variant,query_index,question,repair_em,repair_f1,repair_empty_answer,setr_em,setr_f1,dbec_em,dbec_f1,rank_fill5_available,rank_fill5_em,rank_fill5_f1,delta_em_vs_setr,delta_f1_vs_setr,delta_em_vs_dbec,delta_f1_vs_dbec,delta_em_vs_rank_fill5,delta_f1_vs_rank_fill5,accepted_repair_count,accepted_repair_titles_json,offline_final_support_recall,offline_final_support_complete,offline_rank_support_recall,offline_rank_support_complete,offline_net_gold_delta_vs_rank,offline_harmful_replacement
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,202,Are the directors of films C-Man (Film) and Greencastle (Film) both from the same country?,1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,"[""Ian Barry (director)""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,215,"Which film whose director is younger, Traces Of A Dragon or Moonnupookkal?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,"[""Po-Chih Leong""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,217,"Which film has the director born earlier, The Spooky Bunch or His Name Is Nobody?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1,"[""Karl Maka""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,218,Do both films: Racing Extinction and Madame Butterfly (1995 Film) have the directors from the same country?,1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Louie Psihoyos""]",0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,222,"Which film has the director born first, La Mazurka Del Barone, Della Santa E Del Fico Fiorone or Safe (2012 Film)?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Lasse Hallström""]",0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,225,"Which film has the director who died first, Karin Daughter Of Ingmar or The Man In The Trunk?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Victor Sjöström""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,244,"Do both films, The Wild Frontier (Film) and The Sundowners (1960 Film), have the directors who are from the same country?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,"[""Peter Glenville""]",0.5,0,0.5,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,249,"Which film has the director who died earlier, The Hitler Gang or Flannelfoot?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1,"[""John Farrow""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,262,"Which film has the director born later, Charlie Chan In Honolulu or Lianna?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Po-Chih Leong""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,266,"Which film has the director who died later, Bad Subject or Making Babies?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Carlo Ludovico Bragaglia""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,279,"Which film has the director born later, Tell It To The Bees or House Of The Black Death?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,"[""Maurice Elvey""]",0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,303,"Which film has the director who was born earlier, A Romance Of The Air or How Moscha Came Back?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Harry Revier""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,316,Are director of film Raitu Kutumbam and director of film Closet Land both from the same country?,1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,324,"Which film has the director who died earlier, Max And Helen or Held Einer Nacht?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,"[""Philip Saville""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,344,"Which film has the director who was born first, The Parson And The Outlaw or The Black Marble?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,[],0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,373,"Which film has the director who was born later, Complete Unknown or Dr. Goldfoot And The Girl Bombs?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Dr. Goldfoot and the Girl Bombs""]",0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,411,"Which film whose director was born first, Anatomy Of Hell or Metello?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Catherine Breillat""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,412,"Which film has the director who died later, Eyes Of Youth or The Vagabond Prince?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Konrad Wolf""]",0.75,0,1.0,1,-1,1
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,420,"Which film whose director was born first, Poola Rangadu or Paganini Horror?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,[],1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,427,Do both directors of films Friday The 13Th (1916 Film) and Beaumarchais (Film) share the same nationality?,1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Édouard Molinaro""]",0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,435,"Which film has the director born earlier, Badman'S Gold or Sugar, Honey And Pepper?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""George Sherman""]",0.5,0,0.5,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,441,"Which film whose director is younger, Tall Man Riding or Şalvar Davası?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Lesley Selander""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,458,"Which film has the director died earlier, Kanchana Sita or Ghost Of The China Sea?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Fred F. Sears""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,461,"Which film has the director born later, Hum Dil De Chuke Sanam or The Greyhound Limited?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Sanjay Leela Bhansali""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,467,"Which film has the director died earlier, John Jaffer Janardhanan or Kamakalawa?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,"[""G. Marthandan""]",0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,469,"Which film has the director died first, Ask A Policeman or The Half-Naked Truth?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Helmut Weiss""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,472,"Which film whose director is younger, Return Of The Hero or Home In Indiana?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Édouard Niermans (director)""]",0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,473,"Which film has the director born earlier, Comedy! or Ven Mi Corazón Te Llama?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,"[""Steno (director)""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,485,"Which film whose director is younger, Wolves Of The North or Action In Arabia?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1,"[""Konrad Wolf""]",0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,492,"Which film has the director born later, House Of Blackmail or Taxi Zum Klo?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,"[""Frank Ripploh""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,499,"Which film has the director born later, Ask A Policeman or The Half-Naked Truth?",0.0,0.0,0,1.0,1.0,1.0,1.0,1,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1,"[""Gregory La Cava""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,502,Are both directors of films Target Zero and Midnight Court (Film) from the same country?,1.0,1.0,0,0.0,0.0,1.0,1.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1,"[""Harmon Jones""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,505,"Which film has the director born earlier, Did A Good Man Die? or The Last Of The Knucklemen?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Fadil Hadžić""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,509,Do both films The Majesty Of The Law and The Taint (Film) have the directors that share the same nationality?,1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Julia Crawford Ivers""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,530,"Which film has the director who is older, The Gamecock (Film) or Monster A Go-Go?",0.0,0.0,0,0.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1,"[""Edward L. Cahn""]",0.5,0,0.75,0,-1,1
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,538,"Which film has the director who died later, The Whisperers or Concert Of Intrigue?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Konrad Wolf""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,541,Are both directors of films The Pit And The Pendulum (1913 Film) and How Sweet It Is! from the same country?,1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Alice Guy-Blaché""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,542,Do both A Daughter Of Australia (1922 Film) and Autoerotic (Film) films have the directors from the same country?,1.0,1.0,0,1.0,1.0,0.0,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,"[""Ian Barry (director)""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,552,"Which film has the director died first, Showdown At Boot Hill or The Walls Of Hell?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""The Walls of Hell""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,563,"Which film has the director born later, Je Fais Le Mort or Red Roses, Red Lips, Red Wine?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,564,"Which film has the director who was born later, Five Red Tulips or Laughing At Death?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,"[""Five Red Tulips""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,566,"Which film has the producer who is older, Aatma Gowravam or Vitti Dandu?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,581,"Which film has the director died later, Chad Hanna or The Avenging Shadow?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,"[""Edward L. Cahn""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,584,"Which film whose director was born first, Swamp Women or Tracy Rides?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Roger Corman""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,590,"Which film has the director who was born later, Il Diavolo In Convento or The Big Broadcast Of 1936?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Frank Tuttle""]",0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,592,"Which film has the director died later, Modern Husbands or The Fighting Vigilantes?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Ray Taylor (director)""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,611,"Which film has the director born first, Free Hand For A Tough Cop or Man'S Favorite Sport??",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Howard Hawks""]",0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,616,"Which film has the director who was born later, The Devil And Miss Jones or The Man In The Funny Suit?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,"[""Ralph Nelson""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,618,"Which film has the director born earlier, Mummy & Me or Gideon And Samson: Great Leaders Of The Bible?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,"[""Marcello Baldi""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,619,"Which film has the director who was born first, Everybody'S Hobby or Ghosts Of Abu Ghraib?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Liz Garbus""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,625,"Which film whose director is younger, Lucky Cowboy or O.K. Connery?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,"[""Konrad Wolf""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,630,"Which film has the director died later, Tenth Avenue Angel or Brink Of Life?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Ingmar Bergman""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,639,"Which film has the director who was born later, A Case Of Honor or The Raggedy Rawney?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,"[""Eddie Romero""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,653,Do director of film Next Of Kin (1982 Film) and director of film Wild Honey (1918 Film) share the same nationality?,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Clarence Brown""]",0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,669,"Which film has the director who died later, Le Foto Proibite Di Una Signora Per Bene or Licenza Premio?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Max Neufeld""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,689,"Which film has the director born later, Life Hits or It'S In The Air?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Anthony Kimmins""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr1_g010_branchstrict,704,"Which film whose director was born first, Return To Return To Nuke 'Em High Aka Volume 2 or Zameen (2003 Film)?",1.0,1.0,0,0.0,0.888888888888889,1.0,1.0,1,1.0,1.0,1.0,0.11111111111111105,0.0,0.0,0.0,0.0,1,"[""Hassan Zee""]",0.75,0,1.0,1,-1,1
