pilot_slice,policy,dataset,base_dataset,query_index,question,gold_title,source_has_gold,source_best_gold_rank,expanded_best_gold_rank,rank_improvement_vs_source,expanded_hit_at_5,expanded_hit_at_10,expanded_hit_at_20,expanded_hit_at_50,expanded_hit_at_100,final_new_at_5,pool_absent_recovered_at_100,retrieval_calls,slot_count,resolved_slot_count,slot_coverage,expanded_top5_titles_json
source_visible_not_rank_or_dbec,fixed_pool_top100,MuSiQue,musique,24,Who is the child of the Italian navigator who explored the eastern coast of the continent César Gaytan was born in for the English?,Paula Santiago,1,18,18,0,0,0,1,1,1,0,0,0,3,0,0.0,"[""César Gaytan"", ""Sebastian Cabot (explorer)"", ""Pedro Álvares Cabral"", ""Francisco de Eliza"", ""Giovanni Battista Caviglia""]"
source_visible_not_rank_or_dbec,rank_expansion,MuSiQue,musique,24,Who is the child of the Italian navigator who explored the eastern coast of the continent César Gaytan was born in for the English?,Paula Santiago,1,18,,,0,0,0,0,0,0,0,1,0,0,,"[""César Gaytan"", ""Portugal"", ""History of the west coast of North America"", ""Fiela's Child"", ""History of Australia""]"
source_visible_not_rank_or_dbec,independent_demand,MuSiQue,musique,24,Who is the child of the Italian navigator who explored the eastern coast of the continent César Gaytan was born in for the English?,Paula Santiago,1,18,,,0,0,0,0,0,0,0,3,3,3,1.0,"[""César Gaytan"", ""César Gabriel de Choiseul"", ""Isabelle Carré"", ""Repsol-YPF tower"", ""UNO-96 Alliance""]"
source_visible_not_rank_or_dbec,context_iterative_lite,MuSiQue,musique,24,Who is the child of the Italian navigator who explored the eastern coast of the continent César Gaytan was born in for the English?,Paula Santiago,1,18,,,0,0,0,0,0,0,0,4,0,0,,"[""César Gaytan"", ""Portugal"", ""History of the west coast of North America"", ""Fiela's Child"", ""History of Australia""]"
source_visible_not_rank_or_dbec,dbir_det,MuSiQue,musique,24,Who is the child of the Italian navigator who explored the eastern coast of the continent César Gaytan was born in for the English?,Paula Santiago,1,18,,,0,0,0,0,0,0,0,3,3,3,1.0,"[""César Gaytan"", ""César Gabriel de Choiseul"", ""Isabelle Carré"", ""Repsol-YPF tower"", ""UNO-96 Alliance""]"
source_visible_not_rank_or_dbec,fixed_pool_top100,MuSiQue,musique,28,Where did the arguer that the country Directive 10/2 called for actions against had become an imperialist power declare he would intervene in the Korean conflict?,Imperialism,1,7,3,4,1,1,1,1,1,1,0,0,3,0,0.0,"[""Central Intelligence Agency"", ""Korean War"", ""Molotov–Ribbentrop Pact"", ""Imperialism"", ""United States in the Korean War""]"
source_visible_not_rank_or_dbec,rank_expansion,MuSiQue,musique,28,Where did the arguer that the country Directive 10/2 called for actions against had become an imperialist power declare he would intervene in the Korean conflict?,Imperialism,1,7,1,6,1,1,1,1,1,1,0,1,0,0,,"[""Korean War"", ""Imperialism"", ""Powers of the United States Congress"", ""Korean War"", ""United States in the Korean War""]"
source_visible_not_rank_or_dbec,independent_demand,MuSiQue,musique,28,Where did the arguer that the country Directive 10/2 called for actions against had become an imperialist power declare he would intervene in the Korean conflict?,Imperialism,1,7,,,0,0,0,0,0,0,0,3,3,3,1.0,"[""Data Protection Directive"", ""Fundamental Rights, Directive Principles and Fundamental Duties of India"", ""Central Intelligence Agency"", ""The Blitz"", ""Antibiotic""]"
source_visible_not_rank_or_dbec,context_iterative_lite,MuSiQue,musique,28,Where did the arguer that the country Directive 10/2 called for actions against had become an imperialist power declare he would intervene in the Korean conflict?,Imperialism,1,7,1,6,1,1,1,1,1,1,0,4,0,0,,"[""Korean War"", ""Imperialism"", ""Powers of the United States Congress"", ""Korean War"", ""United States in the Korean War""]"
source_visible_not_rank_or_dbec,dbir_det,MuSiQue,musique,28,Where did the arguer that the country Directive 10/2 called for actions against had become an imperialist power declare he would intervene in the Korean conflict?,Imperialism,1,7,,,0,0,0,0,0,0,0,3,3,3,1.0,"[""Data Protection Directive"", ""Fundamental Rights, Directive Principles and Fundamental Duties of India"", ""Central Intelligence Agency"", ""The Blitz"", ""Antibiotic""]"
source_visible_not_rank_or_dbec,fixed_pool_top100,MuSiQue,musique,39,Who was second pick in the 1999 draft of the league that has a competition where they give out the MLB MVP award after it?,New York Yankees,1,51,48,3,0,0,0,1,1,0,0,0,2,0,0.0,"[""Major League Baseball draft"", ""Hart Memorial Trophy"", ""World Series Most Valuable Player Award"", ""Major League Baseball Most Valuable Player Award"", ""1999 Major League Baseball draft""]"
source_visible_not_rank_or_dbec,fixed_pool_top100,MuSiQue,musique,39,Who was second pick in the 1999 draft of the league that has a competition where they give out the MLB MVP award after it?,World Series,1,58,53,5,0,0,0,0,1,0,0,0,2,0,0.0,"[""Major League Baseball draft"", ""Hart Memorial Trophy"", ""World Series Most Valuable Player Award"", ""Major League Baseball Most Valuable Player Award"", ""1999 Major League Baseball draft""]"
source_visible_not_rank_or_dbec,rank_expansion,MuSiQue,musique,39,Who was second pick in the 1999 draft of the league that has a competition where they give out the MLB MVP award after it?,New York Yankees,1,51,,,0,0,0,0,0,0,0,1,0,0,,"[""Major League Baseball All-Star Game Most Valuable Player Award"", ""Major League Baseball draft"", ""2017 NHL Entry Draft"", ""Dwyane Wade"", ""1999 Major League Baseball draft""]"
source_visible_not_rank_or_dbec,rank_expansion,MuSiQue,musique,39,Who was second pick in the 1999 draft of the league that has a competition where they give out the MLB MVP award after it?,World Series,1,58,,,0,0,0,0,0,0,0,1,0,0,,"[""Major League Baseball All-Star Game Most Valuable Player Award"", ""Major League Baseball draft"", ""2017 NHL Entry Draft"", ""Dwyane Wade"", ""1999 Major League Baseball draft""]"
source_visible_not_rank_or_dbec,independent_demand,MuSiQue,musique,39,Who was second pick in the 1999 draft of the league that has a competition where they give out the MLB MVP award after it?,New York Yankees,1,51,,,0,0,0,0,0,0,0,2,2,2,1.0,"[""Major League Baseball All-Star Game Most Valuable Player Award"", ""MLB Tonight"", ""Super Bowl Most Valuable Player Award"", ""World Series Most Valuable Player Award"", ""Major League Baseball Most Valuable Player Award""]"
source_visible_not_rank_or_dbec,independent_demand,MuSiQue,musique,39,Who was second pick in the 1999 draft of the league that has a competition where they give out the MLB MVP award after it?,World Series,1,58,,,0,0,0,0,0,0,0,2,2,2,1.0,"[""Major League Baseball All-Star Game Most Valuable Player Award"", ""MLB Tonight"", ""Super Bowl Most Valuable Player Award"", ""World Series Most Valuable Player Award"", ""Major League Baseball Most Valuable Player Award""]"
source_visible_not_rank_or_dbec,context_iterative_lite,MuSiQue,musique,39,Who was second pick in the 1999 draft of the league that has a competition where they give out the MLB MVP award after it?,New York Yankees,1,51,,,0,0,0,0,0,0,0,4,0,0,,"[""Major League Baseball All-Star Game Most Valuable Player Award"", ""Major League Baseball draft"", ""2017 NHL Entry Draft"", ""Dwyane Wade"", ""1999 Major League Baseball draft""]"
source_visible_not_rank_or_dbec,context_iterative_lite,MuSiQue,musique,39,Who was second pick in the 1999 draft of the league that has a competition where they give out the MLB MVP award after it?,World Series,1,58,,,0,0,0,0,0,0,0,4,0,0,,"[""Major League Baseball All-Star Game Most Valuable Player Award"", ""Major League Baseball draft"", ""2017 NHL Entry Draft"", ""Dwyane Wade"", ""1999 Major League Baseball draft""]"
source_visible_not_rank_or_dbec,dbir_det,MuSiQue,musique,39,Who was second pick in the 1999 draft of the league that has a competition where they give out the MLB MVP award after it?,New York Yankees,1,51,,,0,0,0,0,0,0,0,2,2,2,1.0,"[""Major League Baseball All-Star Game Most Valuable Player Award"", ""MLB Tonight"", ""Super Bowl Most Valuable Player Award"", ""World Series Most Valuable Player Award"", ""Major League Baseball Most Valuable Player Award""]"
source_visible_not_rank_or_dbec,dbir_det,MuSiQue,musique,39,Who was second pick in the 1999 draft of the league that has a competition where they give out the MLB MVP award after it?,World Series,1,58,,,0,0,0,0,0,0,0,2,2,2,1.0,"[""Major League Baseball All-Star Game Most Valuable Player Award"", ""MLB Tonight"", ""Super Bowl Most Valuable Player Award"", ""World Series Most Valuable Player Award"", ""Major League Baseball Most Valuable Player Award""]"
source_visible_not_rank_or_dbec,fixed_pool_top100,MuSiQue,musique,55,When was the region immediately north of the region where Israel is located and the site of the most growth in desalination for agricultural use established?,Geography of Saudi Arabia,1,27,19,8,0,0,1,1,1,0,0,0,4,0,0.0,"[""Water resources"", ""Israel"", ""Near East"", ""Hevel Eilot Regional Council"", ""Jordan""]"
source_visible_not_rank_or_dbec,fixed_pool_top100,MuSiQue,musique,55,When was the region immediately north of the region where Israel is located and the site of the most growth in desalination for agricultural use established?,Saudi Arabia,1,75,60,15,0,0,0,0,1,0,0,0,4,0,0.0,"[""Water resources"", ""Israel"", ""Near East"", ""Hevel Eilot Regional Council"", ""Jordan""]"
source_visible_not_rank_or_dbec,rank_expansion,MuSiQue,musique,55,When was the region immediately north of the region where Israel is located and the site of the most growth in desalination for agricultural use established?,Geography of Saudi Arabia,1,27,,,0,0,0,0,0,0,0,1,0,0,,"[""Water resources"", ""Israel"", ""Israel"", ""Religion in Israel"", ""Hanford Site""]"
source_visible_not_rank_or_dbec,rank_expansion,MuSiQue,musique,55,When was the region immediately north of the region where Israel is located and the site of the most growth in desalination for agricultural use established?,Saudi Arabia,1,75,,,0,0,0,0,0,0,0,1,0,0,,"[""Water resources"", ""Israel"", ""Israel"", ""Religion in Israel"", ""Hanford Site""]"
source_visible_not_rank_or_dbec,independent_demand,MuSiQue,musique,55,When was the region immediately north of the region where Israel is located and the site of the most growth in desalination for agricultural use established?,Geography of Saudi Arabia,1,27,,,0,0,0,0,0,0,0,4,4,4,1.0,"[""Religion in Israel"", ""Israel"", ""Israel"", ""Israel"", ""Israel""]"
source_visible_not_rank_or_dbec,independent_demand,MuSiQue,musique,55,When was the region immediately north of the region where Israel is located and the site of the most growth in desalination for agricultural use established?,Saudi Arabia,1,75,,,0,0,0,0,0,0,0,4,4,4,1.0,"[""Religion in Israel"", ""Israel"", ""Israel"", ""Israel"", ""Israel""]"
source_visible_not_rank_or_dbec,context_iterative_lite,MuSiQue,musique,55,When was the region immediately north of the region where Israel is located and the site of the most growth in desalination for agricultural use established?,Geography of Saudi Arabia,1,27,,,0,0,0,0,0,0,0,4,0,0,,"[""Water resources"", ""Israel"", ""Israel"", ""Religion in Israel"", ""Hanford Site""]"
source_visible_not_rank_or_dbec,context_iterative_lite,MuSiQue,musique,55,When was the region immediately north of the region where Israel is located and the site of the most growth in desalination for agricultural use established?,Saudi Arabia,1,75,,,0,0,0,0,0,0,0,4,0,0,,"[""Water resources"", ""Israel"", ""Israel"", ""Religion in Israel"", ""Hanford Site""]"
source_visible_not_rank_or_dbec,dbir_det,MuSiQue,musique,55,When was the region immediately north of the region where Israel is located and the site of the most growth in desalination for agricultural use established?,Geography of Saudi Arabia,1,27,,,0,0,0,0,0,0,0,4,4,4,1.0,"[""Religion in Israel"", ""Israel"", ""Israel"", ""Israel"", ""Israel""]"
source_visible_not_rank_or_dbec,dbir_det,MuSiQue,musique,55,When was the region immediately north of the region where Israel is located and the site of the most growth in desalination for agricultural use established?,Saudi Arabia,1,75,,,0,0,0,0,0,0,0,4,4,4,1.0,"[""Religion in Israel"", ""Israel"", ""Israel"", ""Israel"", ""Israel""]"
source_visible_not_rank_or_dbec,fixed_pool_top100,MuSiQue,musique,59,Where is the district that the person who wanted to reform and address John Kodwo Amissah's religion preached a sermon on Marian devotion before his death located?,Reformation,1,5,3,2,1,1,1,1,1,1,0,0,2,0,0.0,"[""John Kodwo Amissah"", ""Mary, mother of Jesus"", ""Henry Scott Holland"", ""Reformation"", ""A River Runs Through It (film)""]"
source_visible_not_rank_or_dbec,fixed_pool_top100,MuSiQue,musique,59,Where is the district that the person who wanted to reform and address John Kodwo Amissah's religion preached a sermon on Marian devotion before his death located?,Wittenberg (district),1,27,24,3,0,0,0,1,1,0,0,0,2,0,0.0,"[""John Kodwo Amissah"", ""Mary, mother of Jesus"", ""Henry Scott Holland"", ""Reformation"", ""A River Runs Through It (film)""]"
source_visible_not_rank_or_dbec,rank_expansion,MuSiQue,musique,59,Where is the district that the person who wanted to reform and address John Kodwo Amissah's religion preached a sermon on Marian devotion before his death located?,Reformation,1,5,63,-58,0,0,0,0,1,0,0,1,0,0,,"[""John Kodwo Amissah"", ""Mary, mother of Jesus"", ""Pope Paul VI"", ""History of the Rosary"", ""John, King of England""]"
source_visible_not_rank_or_dbec,rank_expansion,MuSiQue,musique,59,Where is the district that the person who wanted to reform and address John Kodwo Amissah's religion preached a sermon on Marian devotion before his death located?,Wittenberg (district),1,27,,,0,0,0,0,0,0,0,1,0,0,,"[""John Kodwo Amissah"", ""Mary, mother of Jesus"", ""Pope Paul VI"", ""History of the Rosary"", ""John, King of England""]"
source_visible_not_rank_or_dbec,independent_demand,MuSiQue,musique,59,Where is the district that the person who wanted to reform and address John Kodwo Amissah's religion preached a sermon on Marian devotion before his death located?,Reformation,1,5,,,0,0,0,0,0,0,0,2,2,2,1.0,"[""John Kodwo Amissah"", ""John, King of England"", ""John, King of England"", ""John Walsh (television host)"", ""John, King of England""]"
source_visible_not_rank_or_dbec,independent_demand,MuSiQue,musique,59,Where is the district that the person who wanted to reform and address John Kodwo Amissah's religion preached a sermon on Marian devotion before his death located?,Wittenberg (district),1,27,,,0,0,0,0,0,0,0,2,2,2,1.0,"[""John Kodwo Amissah"", ""John, King of England"", ""John, King of England"", ""John Walsh (television host)"", ""John, King of England""]"
source_visible_not_rank_or_dbec,context_iterative_lite,MuSiQue,musique,59,Where is the district that the person who wanted to reform and address John Kodwo Amissah's religion preached a sermon on Marian devotion before his death located?,Reformation,1,5,23,-18,0,0,0,1,1,0,0,4,0,0,,"[""John Kodwo Amissah"", ""Mary, mother of Jesus"", ""Pope Paul VI"", ""History of the Rosary"", ""John, King of England""]"
source_visible_not_rank_or_dbec,context_iterative_lite,MuSiQue,musique,59,Where is the district that the person who wanted to reform and address John Kodwo Amissah's religion preached a sermon on Marian devotion before his death located?,Wittenberg (district),1,27,,,0,0,0,0,0,0,0,4,0,0,,"[""John Kodwo Amissah"", ""Mary, mother of Jesus"", ""Pope Paul VI"", ""History of the Rosary"", ""John, King of England""]"
source_visible_not_rank_or_dbec,dbir_det,MuSiQue,musique,59,Where is the district that the person who wanted to reform and address John Kodwo Amissah's religion preached a sermon on Marian devotion before his death located?,Reformation,1,5,,,0,0,0,0,0,0,0,2,2,2,1.0,"[""John Kodwo Amissah"", ""John, King of England"", ""John, King of England"", ""John Walsh (television host)"", ""John, King of England""]"
source_visible_not_rank_or_dbec,dbir_det,MuSiQue,musique,59,Where is the district that the person who wanted to reform and address John Kodwo Amissah's religion preached a sermon on Marian devotion before his death located?,Wittenberg (district),1,27,,,0,0,0,0,0,0,0,2,2,2,1.0,"[""John Kodwo Amissah"", ""John, King of England"", ""John, King of England"", ""John Walsh (television host)"", ""John, King of England""]"
source_visible_not_rank_or_dbec,fixed_pool_top100,MuSiQue,musique,69,Who won the Indy Car Race in the largest populated city of the state where the performer of Mingus Plays Piano is from?,"Tucson, Arizona",1,94,84,10,0,0,0,0,1,0,0,0,4,0,0.0,"[""Mingus Plays Piano"", ""Indiana"", ""Arizona"", ""Zarqa Governorate"", ""Charles Mingus""]"
source_visible_not_rank_or_dbec,rank_expansion,MuSiQue,musique,69,Who won the Indy Car Race in the largest populated city of the state where the performer of Mingus Plays Piano is from?,"Tucson, Arizona",1,94,33,61,0,0,0,1,1,0,0,1,0,0,,"[""Mingus Plays Piano"", ""Charles Mingus"", ""Mingus Three"", ""Jazz Portraits: Mingus in Wonderland"", ""Desert Diamond West Valley Phoenix Grand Prix""]"
source_visible_not_rank_or_dbec,independent_demand,MuSiQue,musique,69,Who won the Indy Car Race in the largest populated city of the state where the performer of Mingus Plays Piano is from?,"Tucson, Arizona",1,94,10,84,0,0,1,1,1,0,0,4,4,4,1.0,"[""Mingus Plays Piano"", ""Charles Mingus"", ""Mingus Three"", ""Jazz Portraits: Mingus in Wonderland"", ""Piano Sonata in A minor, D 784 (Schubert)""]"
source_visible_not_rank_or_dbec,context_iterative_lite,MuSiQue,musique,69,Who won the Indy Car Race in the largest populated city of the state where the performer of Mingus Plays Piano is from?,"Tucson, Arizona",1,94,,,0,0,0,0,0,0,0,4,0,0,,"[""Mingus Plays Piano"", ""Charles Mingus"", ""Mingus Three"", ""Jazz Portraits: Mingus in Wonderland"", ""Desert Diamond West Valley Phoenix Grand Prix""]"
source_visible_not_rank_or_dbec,dbir_det,MuSiQue,musique,69,Who won the Indy Car Race in the largest populated city of the state where the performer of Mingus Plays Piano is from?,"Tucson, Arizona",1,94,,,0,0,0,0,0,0,0,4,4,4,1.0,"[""Mingus Plays Piano"", ""Charles Mingus"", ""Mingus Three"", ""Jazz Portraits: Mingus in Wonderland"", ""Piano Sonata in A minor, D 784 (Schubert)""]"
source_visible_not_rank_or_dbec,fixed_pool_top100,MuSiQue,musique,74,What is the direction of flow of the body of water by the city where Write This Down was formed?,Mississippi River,1,50,46,4,0,0,0,1,1,0,0,0,2,0,0.0,"[""Write This Down (band)"", ""Minneapolis"", ""J. David Irwin"", ""Missouri"", ""Astronautalis""]"
source_visible_not_rank_or_dbec,rank_expansion,MuSiQue,musique,74,What is the direction of flow of the body of water by the city where Write This Down was formed?,Mississippi River,1,50,,,0,0,0,0,0,0,0,1,0,0,,"[""Write This Down (band)"", ""Water resources of China"", ""One Direction"", ""Rhine"", ""Water supply and sanitation in South Africa""]"
source_visible_not_rank_or_dbec,independent_demand,MuSiQue,musique,74,What is the direction of flow of the body of water by the city where Write This Down was formed?,Mississippi River,1,50,,,0,0,0,0,0,0,0,2,2,2,1.0,"[""Write This Down (band)"", ""Write It on Your Skin"", ""The Devil Went Down to Georgia"", ""Go Down Records"", ""I Won't Let You Down (OK Go song)""]"
source_visible_not_rank_or_dbec,context_iterative_lite,MuSiQue,musique,74,What is the direction of flow of the body of water by the city where Write This Down was formed?,Mississippi River,1,50,,,0,0,0,0,0,0,0,4,0,0,,"[""Write This Down (band)"", ""Water resources of China"", ""One Direction"", ""Rhine"", ""Water supply and sanitation in South Africa""]"
source_visible_not_rank_or_dbec,dbir_det,MuSiQue,musique,74,What is the direction of flow of the body of water by the city where Write This Down was formed?,Mississippi River,1,50,,,0,0,0,0,0,0,0,2,2,2,1.0,"[""Write This Down (band)"", ""Write It on Your Skin"", ""The Devil Went Down to Georgia"", ""Go Down Records"", ""I Won't Let You Down (OK Go song)""]"
source_visible_not_rank_or_dbec,fixed_pool_top100,MuSiQue,musique,87,When was the death penalty abolished in the country near the country where the writer of The Book Thief is a citizen of?,1952 Winter Olympics,1,81,71,10,0,0,0,0,1,0,0,0,4,0,0.0,"[""The Book Thief (film)"", ""Capital punishment in the United States"", ""Capital punishment in the United Kingdom"", ""Capital punishment in New Zealand"", ""Sarah's Key""]"
source_visible_not_rank_or_dbec,fixed_pool_top100,MuSiQue,musique,87,When was the death penalty abolished in the country near the country where the writer of The Book Thief is a citizen of?,The Messenger (Zusak novel),1,15,10,5,0,0,1,1,1,0,0,0,4,0,0.0,"[""The Book Thief (film)"", ""Capital punishment in the United States"", ""Capital punishment in the United Kingdom"", ""Capital punishment in New Zealand"", ""Sarah's Key""]"
source_visible_not_rank_or_dbec,rank_expansion,MuSiQue,musique,87,When was the death penalty abolished in the country near the country where the writer of The Book Thief is a citizen of?,1952 Winter Olympics,1,81,,,0,0,0,0,0,0,0,1,0,0,,"[""The Book Thief (film)"", ""The Book Thief (film)"", ""Demon Thief"", ""Capital punishment in the United States"", ""Kamilla and the Thief""]"
source_visible_not_rank_or_dbec,rank_expansion,MuSiQue,musique,87,When was the death penalty abolished in the country near the country where the writer of The Book Thief is a citizen of?,The Messenger (Zusak novel),1,15,,,0,0,0,0,0,0,0,1,0,0,,"[""The Book Thief (film)"", ""The Book Thief (film)"", ""Demon Thief"", ""Capital punishment in the United States"", ""Kamilla and the Thief""]"
source_visible_not_rank_or_dbec,independent_demand,MuSiQue,musique,87,When was the death penalty abolished in the country near the country where the writer of The Book Thief is a citizen of?,1952 Winter Olympics,1,81,,,0,0,0,0,0,0,0,4,4,4,1.0,"[""The Book Thief (film)"", ""The Book Thief (film)"", ""Demon Thief"", ""Kamilla and the Thief"", ""Book of Ruth""]"
source_visible_not_rank_or_dbec,independent_demand,MuSiQue,musique,87,When was the death penalty abolished in the country near the country where the writer of The Book Thief is a citizen of?,The Messenger (Zusak novel),1,15,,,0,0,0,0,0,0,0,4,4,4,1.0,"[""The Book Thief (film)"", ""The Book Thief (film)"", ""Demon Thief"", ""Kamilla and the Thief"", ""Book of Ruth""]"
source_visible_not_rank_or_dbec,context_iterative_lite,MuSiQue,musique,87,When was the death penalty abolished in the country near the country where the writer of The Book Thief is a citizen of?,1952 Winter Olympics,1,81,,,0,0,0,0,0,0,0,4,0,0,,"[""The Book Thief (film)"", ""The Book Thief (film)"", ""Demon Thief"", ""Capital punishment in the United States"", ""Kamilla and the Thief""]"
source_visible_not_rank_or_dbec,context_iterative_lite,MuSiQue,musique,87,When was the death penalty abolished in the country near the country where the writer of The Book Thief is a citizen of?,The Messenger (Zusak novel),1,15,16,-1,0,0,1,1,1,0,0,4,0,0,,"[""The Book Thief (film)"", ""The Book Thief (film)"", ""Demon Thief"", ""Capital punishment in the United States"", ""Kamilla and the Thief""]"
source_visible_not_rank_or_dbec,dbir_det,MuSiQue,musique,87,When was the death penalty abolished in the country near the country where the writer of The Book Thief is a citizen of?,1952 Winter Olympics,1,81,,,0,0,0,0,0,0,0,4,4,4,1.0,"[""The Book Thief (film)"", ""The Book Thief (film)"", ""Demon Thief"", ""Kamilla and the Thief"", ""Book of Ruth""]"
source_visible_not_rank_or_dbec,dbir_det,MuSiQue,musique,87,When was the death penalty abolished in the country near the country where the writer of The Book Thief is a citizen of?,The Messenger (Zusak novel),1,15,13,2,0,0,1,1,1,0,0,4,4,4,1.0,"[""The Book Thief (film)"", ""The Book Thief (film)"", ""Demon Thief"", ""Kamilla and the Thief"", ""Book of Ruth""]"
source_visible_not_rank_or_dbec,fixed_pool_top100,MuSiQue,musique,90,Where is the headquarters of Radio Television of this country that has a co-official language that is the same as the language of Olivera Markovic?,Media in Pristina,1,28,26,2,0,0,0,1,1,0,0,0,2,0,0.0,"[""Olivera Marković"", ""Serbian language"", ""Olivera Katarina"", ""List of territorial entities where English is an official language"", ""Josip Broz Tito""]"
source_visible_not_rank_or_dbec,rank_expansion,MuSiQue,musique,90,Where is the headquarters of Radio Television of this country that has a co-official language that is the same as the language of Olivera Markovic?,Media in Pristina,1,28,,,0,0,0,0,0,0,0,1,0,0,,"[""List of territorial entities where German is an official language"", ""Olivera Marković"", ""List of territorial entities where English is an official language"", ""Spanish language in the United States"", ""Revival of the Hebrew language""]"
source_visible_not_rank_or_dbec,independent_demand,MuSiQue,musique,90,Where is the headquarters of Radio Television of this country that has a co-official language that is the same as the language of Olivera Markovic?,Media in Pristina,1,28,,,0,0,0,0,0,0,0,2,2,2,1.0,"[""Olivera Marković"", ""Olivera Katarina"", ""List of territorial entities where German is an official language"", ""List of territorial entities where English is an official language"", ""Spanish language in the United States""]"
source_visible_not_rank_or_dbec,context_iterative_lite,MuSiQue,musique,90,Where is the headquarters of Radio Television of this country that has a co-official language that is the same as the language of Olivera Markovic?,Media in Pristina,1,28,,,0,0,0,0,0,0,0,4,0,0,,"[""List of territorial entities where German is an official language"", ""Olivera Marković"", ""List of territorial entities where English is an official language"", ""Spanish language in the United States"", ""Revival of the Hebrew language""]"
source_visible_not_rank_or_dbec,dbir_det,MuSiQue,musique,90,Where is the headquarters of Radio Television of this country that has a co-official language that is the same as the language of Olivera Markovic?,Media in Pristina,1,28,,,0,0,0,0,0,0,0,2,2,2,1.0,"[""Olivera Marković"", ""Olivera Katarina"", ""List of territorial entities where German is an official language"", ""List of territorial entities where English is an official language"", ""Spanish language in the United States""]"
source_visible_not_rank_or_dbec,fixed_pool_top100,MuSiQue,musique,91,What county has a city that is adjacent to the capital city of Erskine College's state?,"Charleston, South Carolina",1,10,10,0,0,0,1,1,1,0,0,0,4,0,0.0,"[""Erskine College"", ""Erskine College–Due West Historic District"", ""List of capitals in the United States"", ""Mississippi"", ""Minneapolis""]"
