dataset,query_index,question,gold_doc_count,gold_titles_json,setr_selected_count,count_under_selected,dbec_selected_count,setr_support_hit_count,dbec_support_hit_count,setr_support_missing_count,dbec_support_missing_count,setr_support_recall,dbec_support_recall,delta_support_recall_dbec_minus_setr,setr_support_complete,dbec_support_complete,support_transition,support_delta_label,dbec_recovered_missing_count,dbec_recovered_any_missing,dbec_recovered_all_missing,recovery_label,setr_missing_titles_json,dbec_missing_titles_json,dbec_recovered_titles_json,setr_titles_json,dbec_titles_json,setr_em,setr_f1,dbec_em,dbec_f1,delta_em_dbec_minus_setr,delta_f1_dbec_minus_setr,requirement_count,dependent_req_count,selective_binding_decision
2Wiki,10,What is the place of birth of the director of film Gaby: A True Story?,2,"[""Luis Mandoki"", ""Gaby: A True Story""]",2,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Luis Mandoki"", ""Gaby: A True Story""]","[""Luis Mandoki"", ""Gaby: A True Story"", ""Pál Gábor"", ""Rachel Feldman"", ""Claude Weisz""]",1.0,1.0,1.0,1.0,0.0,0.0,2,1,bind
2Wiki,11,Are Vasilyevsky Island and Preobrazheniya Island located in the same country?,2,"[""Preobrazheniya Island"", ""Vasilyevsky Island""]",2,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Preobrazheniya Island"", ""Vasilyevsky Island""]","[""Abdul-Vahed Niyazov"", ""Preobrazheniya Island"", ""Where Are You"", ""Vasilyevsky Island"", ""Problem of pain""]",1.0,1.0,1.0,1.0,0.0,0.0,3,1,abstain
2Wiki,12,What nationality is the performer of song When The Stars Go Blue?,2,"[""Ryan Adams"", ""When the Stars Go Blue""]",2,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""When the Stars Go Blue"", ""Ryan Adams""]","[""Ryan Adams"", ""When the Stars Go Blue"", ""Something Worth Leaving Behind (song)"", ""Forever Everyday"", ""You've Got a Good Love Comin' (song)""]",0.0,0.0,0.0,0.0,0.0,0.0,2,1,bind
2Wiki,13,Who is the child of the performer of song Me And Bobby Mcgee?,2,"[""Roger Miller"", ""Me and Bobby McGee""]",2,0,5,1,2,1,0,0.5,1.0,0.5,0,1,SetR incomplete -> DBEC complete,DBEC improves support coverage,1,1,1,dbec_recovers_all_missing,"[""Roger Miller""]",[],"[""Roger Miller""]","[""Me and Bobby McGee"", ""Fred Foster""]","[""Janis Joplin"", ""Me and Bobby McGee"", ""Fred Foster"", ""Roger Miller"", ""Semi-Tough""]",0.0,0.0,0.0,0.0,0.0,0.0,2,1,bind
2Wiki,14,"Where was the place of death of Maurice, Prince Of Orange's father?",2,"[""William the Silent"", ""Maurice, Prince of Orange""]",3,0,5,1,2,1,0,0.5,1.0,0.5,0,1,SetR incomplete -> DBEC complete,DBEC improves support coverage,1,1,1,dbec_recovers_all_missing,"[""Maurice, Prince of Orange""]",[],"[""Maurice, Prince of Orange""]","[""William I, Count of Nassau-Dillenburg"", ""William the Silent"", ""Margaretha van Mechelen""]","[""Maurice, Prince of Orange"", ""The Private Life of Louis XIV"", ""William of Nassau (1601–1627)"", ""William I, Count of Nassau-Dillenburg"", ""William the Silent""]",1.0,1.0,1.0,1.0,0.0,0.0,2,1,bind
2Wiki,15,Which country Aleksander Koniecpolski (1620–1659)'s father is from?,2,"[""Stanisław Koniecpolski"", ""Aleksander Koniecpolski (1620–1659)""]",2,0,5,1,2,1,0,0.5,1.0,0.5,0,1,SetR incomplete -> DBEC complete,DBEC improves support coverage,1,1,1,dbec_recovers_all_missing,"[""Stanisław Koniecpolski""]",[],"[""Stanisław Koniecpolski""]","[""Aleksander Koniecpolski (1555–1609)"", ""Aleksander Koniecpolski (1620–1659)""]","[""Stanisław Koniecpolski"", ""Aleksander Koniecpolski (1555–1609)"", ""Aleksander Koniecpolski (1620–1659)"", ""Marek Sobieski"", ""Jadwiga Snopkowska""]",0.0,0.0,0.0,0.0,0.0,0.0,2,1,bind
2Wiki,16,What is the date of death of the director of film Madame La Presidente?,2,"[""Madame la Presidente"", ""Frank Lloyd""]",2,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Madame la Presidente"", ""Frank Lloyd""]","[""Frank Lloyd"", ""Madame la Presidente"", ""Édouard Molinaro"", ""Les Misérables (1917 film)"", ""Claude Sautet""]",1.0,1.0,1.0,1.0,0.0,0.0,2,1,bind
2Wiki,17,Do both directors of films Wrong Turn 5: Bloodlines and Dark River (2017 Film) have the same nationality?,4,"[""Clio Barnard"", ""Declan O'Brien"", ""Wrong Turn 5: Bloodlines"", ""Dark River (2017 film)""]",4,0,5,4,4,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Wrong Turn 5: Bloodlines"", ""Dark River (2017 film)"", ""Declan O'Brien"", ""Clio Barnard""]","[""Declan O'Brien"", ""Clio Barnard"", ""Wrong Turn 5: Bloodlines"", ""Dark River (2017 film)"", ""Wrong Turn 4: Bloody Beginnings""]",1.0,1.0,1.0,1.0,0.0,0.0,4,2,bind
2Wiki,18,"Which film has the director who died first, The Goose Woman or You Can No Longer Remain Silent?",4,"[""Clarence Brown"", ""You Can No Longer Remain Silent"", ""The Goose Woman"", ""Robert A. Stemmle""]",3,1,5,3,4,1,0,0.75,1.0,0.25,0,1,SetR incomplete -> DBEC complete,DBEC improves support coverage,1,1,1,dbec_recovers_all_missing,"[""Clarence Brown""]",[],"[""Clarence Brown""]","[""The Goose Woman"", ""You Can No Longer Remain Silent"", ""Robert A. Stemmle""]","[""Clarence Brown"", ""Robert A. Stemmle"", ""You Can No Longer Remain Silent"", ""The Goose Woman"", ""The Past of Mary Holmes""]",0.0,0.0,1.0,1.0,1.0,1.0,4,2,bind
2Wiki,19,Where was the director of film The Private Life Of Cinema born?,2,"[""The Private Life of Cinema"", ""Denys Desjardins""]",2,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""The Private Life of Cinema"", ""Denys Desjardins""]","[""Denys Desjardins"", ""The Private Life of Cinema"", ""Michael Powell"", ""Georges Périnal"", ""Peter Greenaway""]",1.0,1.0,1.0,1.0,0.0,0.0,2,1,bind
2Wiki,20,Where did Coulson Wallop's father study?,2,"[""John Wallop, 2nd Earl of Portsmouth"", ""Coulson Wallop""]",2,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Coulson Wallop"", ""John Wallop, 2nd Earl of Portsmouth""]","[""John Wallop, 2nd Earl of Portsmouth"", ""Coulson Wallop"", ""John Stuart, Lord Mount Stuart"", ""George Rodney, 2nd Baron Rodney"", ""Robert Vere Buxton""]",0.0,0.0,0.0,0.0,0.0,0.0,2,1,bind
2Wiki,21,Why did John Middleton Murry's wife die?,2,"[""John Middleton Murry"", ""Katherine Mansfield""]",2,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Katherine Mansfield"", ""John Middleton Murry""]","[""Katherine Mansfield"", ""John Middleton Murry"", ""John Middleton Murry Jr."", ""Anne Estelle Rice"", ""Juan Carlos Gumucio""]",0.0,0.6666666666666666,0.0,0.3333,0.0,-0.33336666666666664,2,1,bind
2Wiki,22,Where was the composer of film Billy Elliot born?,2,"[""Billy Elliot"", ""Stephen Warbeck""]",3,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Stephen Warbeck"", ""Billy Elliot"", ""Lee Hall (playwright)""]","[""Stephen Warbeck"", ""Billy Elliot"", ""Lee Hall (playwright)"", ""Billy Elliot the Musical Live"", ""Dominic Jacotin Gamble""]",0.0,0.6666666666666666,1.0,1.0,1.0,0.33333333333333337,2,1,bind
2Wiki,23,What is the place of birth of Lisbeth Palme's husband?,2,"[""Olof Palme"", ""Lisbeth Palme""]",2,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Lisbeth Palme"", ""Olof Palme""]","[""Olof Palme"", ""Lisbeth Palme"", ""Place of birth"", ""Sven Ulric Palme"", ""Place of origin""]",0.0,0.0,0.0,0.0,0.0,0.0,2,1,bind
2Wiki,24,"Which film came out first, 3 Dots or Dying God?",2,"[""Dying God"", ""3 Dots""]",2,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Dying God"", ""3 Dots""]","[""I Am... Gabriel"", ""Dying God"", ""3 Dots"", ""Dots"", ""Killed the Family and Went to the Movies""]",1.0,1.0,1.0,1.0,0.0,0.0,3,1,abstain
2Wiki,25,Who is the father-in-law of Sisowath Kossamak?,2,"[""Norodom Suramarit"", ""Sisowath Kossamak""]",3,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Sisowath Kossamak"", ""Norodom Suramarit"", ""James Armour (Master mason)""]","[""Norodom Suramarit"", ""Sisowath Kossamak"", ""Obata Toramori"", ""Anacyndaraxes"", ""Takayama Tomoteru""]",1.0,1.0,1.0,1.0,0.0,0.0,2,1,bind
2Wiki,26,Who is Mugain's mother-in-law?,2,"[""Mugain"", ""Conchobar mac Nessa""]",2,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Mugain"", ""Conchobar mac Nessa""]","[""Conchobar mac Nessa"", ""Mugain"", ""Vera Miletić"", ""Priscilla Pointer"", ""Eldon Howard""]",1.0,1.0,1.0,1.0,0.0,0.0,3,2,bind
2Wiki,27,Where did Theodore Salisbury Woolsey's father study?,2,"[""Theodore Salisbury Woolsey"", ""Theodore Dwight Woolsey""]",2,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Theodore Salisbury Woolsey"", ""Theodore Dwight Woolsey""]","[""Theodore Dwight Woolsey"", ""Theodore Salisbury Woolsey Jr."", ""Theodore Salisbury Woolsey"", ""Sidney Mason Stone"", ""Hywel Teifi Edwards""]",0.0,0.6666666666666666,0.0,0.6667,0.0,3.333333333332966e-05,2,1,bind
2Wiki,28,What is the place of birth of the director of film The Return Of Swamp Thing?,2,"[""The Return of Swamp Thing"", ""Jim Wynorski""]",2,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Jim Wynorski"", ""The Return of Swamp Thing""]","[""Jim Wynorski"", ""The Return of Swamp Thing"", ""Swamp Thing (film)"", ""Dick Durock"", ""Rod Hardy""]",0.0,0.5,0.0,0.5,0.0,0.0,2,1,bind
2Wiki,29,Where was the place of death of the performer of song I Can'T See Myself Leaving You?,2,"[""I Can't See Myself Leaving You"", ""Aretha Franklin""]",2,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""I Can't See Myself Leaving You"", ""Aretha Franklin""]","[""Aretha Franklin"", ""Leaving You"", ""I Can't See Myself Leaving You"", ""Chuck Berry"", ""Where Was I""]",0.0,0.0,0.0,0.0,0.0,0.0,2,1,bind
2Wiki,30,"Which film has the director who was born later, Playing It Wild or I'Ll Be Going Now?",4,"[""Dino Risi"", ""I'll Be Going Now"", ""William Duncan (actor)"", ""Playing It Wild""]",3,1,5,3,4,1,0,0.75,1.0,0.25,0,1,SetR incomplete -> DBEC complete,DBEC improves support coverage,1,1,1,dbec_recovers_all_missing,"[""Dino Risi""]",[],"[""Dino Risi""]","[""Playing It Wild"", ""William Duncan (actor)"", ""I'll Be Going Now""]","[""Dino Risi"", ""William Duncan (actor)"", ""I'll Be Going Now"", ""Playing It Wild"", ""Victor Sjöström""]",1.0,1.0,1.0,1.0,0.0,0.0,4,2,bind
2Wiki,31,"What nationality is Beatrice I, Countess Of Burgundy's husband?",2,"[""Beatrice I, Countess of Burgundy"", ""Frederick I, Holy Roman Emperor""]",3,0,5,1,2,1,0,0.5,1.0,0.5,0,1,SetR incomplete -> DBEC complete,DBEC improves support coverage,1,1,1,dbec_recovers_all_missing,"[""Frederick I, Holy Roman Emperor""]",[],"[""Frederick I, Holy Roman Emperor""]","[""Otto I, Count of Burgundy"", ""Frederick V, Duke of Swabia"", ""Beatrice I, Countess of Burgundy""]","[""Frederick I, Holy Roman Emperor"", ""Beatrice I, Countess of Burgundy"", ""Otto I, Count of Burgundy"", ""Beatrice of Navarre, Duchess of Burgundy"", ""Frederick V, Duke of Swabia""]",0.0,0.0,0.0,0.0,0.0,0.0,2,1,bind
2Wiki,32,"Which film has the director born later, Christ Walking On The Water or 45 Fathers?",4,"[""Christ Walking on the Water"", ""Georges Méliès"", ""45 Fathers"", ""James Tinling""]",4,0,5,4,4,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Christ Walking on the Water"", ""45 Fathers"", ""Georges Méliès"", ""James Tinling""]","[""Christ Walking on the Water"", ""James Tinling"", ""Georges Méliès"", ""45 Fathers"", ""Bertrand Tavernier""]",1.0,1.0,1.0,1.0,0.0,0.0,4,2,bind
2Wiki,33,Where was the performer of song Come Dance With Me (Song) born?,2,"[""Frank Sinatra"", ""Come Dance with Me (song)""]",2,0,5,1,1,1,1,0.5,0.5,0.0,0,0,SetR incomplete -> DBEC incomplete,support coverage tied,0,0,0,dbec_recovers_none,"[""Frank Sinatra""]","[""Frank Sinatra""]",[],"[""Come Dance with Me (song)"", ""Bing Crosby""]","[""Dance with Me (Zoli Ádok song)"", ""Come Dance with Me (song)"", ""Place of birth"", ""The Tender Trap (film)"", ""Time Out for Rhythm""]",0.0,0.5,0.0,0.5,0.0,0.0,2,1,bind
2Wiki,34,Where does the director of film Talk About A Stranger work at?,2,"[""Talk About a Stranger"", ""David Bradley (director)""]",2,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Talk About a Stranger"", ""David Bradley (director)""]","[""David Bradley (director)"", ""Talk About a Stranger"", ""Anthony Mann"", ""Stranger in the Mirror"", ""The Stranger""]",0.0,0.2857142857142857,0.0,0.2857,0.0,-1.4285714285688922e-05,2,1,bind
2Wiki,35,"Who was born later, Gideon Johnson Pillow or Holm Jølsen?",2,"[""Gideon Johnson Pillow"", ""Holm Jølsen""]",2,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Gideon Johnson Pillow"", ""Holm Jølsen""]","[""Dugès"", ""John Kelly"", ""Holm Jølsen"", ""Gideon Johnson Pillow"", ""Peter Gravesen""]",1.0,1.0,0.0,0.0,-1.0,-1.0,3,1,abstain
2Wiki,36,What is the place of birth of the composer of film Inherent Vice (Film)?,2,"[""Jonny Greenwood"", ""Inherent Vice (film)""]",2,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Inherent Vice (film)"", ""Jonny Greenwood""]","[""Jonny Greenwood"", ""Inherent Vice (film)"", ""Melora Walters"", ""Thomas Morse"", ""Walter Ulfig""]",0.0,0.0,0.0,0.0,0.0,0.0,2,1,bind
2Wiki,37,"Which film whose director is younger, Dangerously They Live or Salad By The Roots?",4,"[""Dangerously They Live"", ""Salad by the Roots"", ""Robert Florey"", ""Georges Lautner""]",4,0,5,4,4,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Salad by the Roots"", ""Dangerously They Live"", ""Georges Lautner"", ""Robert Florey""]","[""Robert Florey"", ""Georges Lautner"", ""Salad by the Roots"", ""Dangerously They Live"", ""Werner Herzog""]",1.0,1.0,1.0,1.0,0.0,0.0,4,2,bind
2Wiki,38,Where did Sylvia Burka's husband die?,2,"[""Sylvia Burka"", ""Jocelyn Lovell""]",2,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Sylvia Burka"", ""Jocelyn Lovell""]","[""Jocelyn Lovell"", ""Sylvia Burka"", ""Victor Janson"", ""Valley of Death"", ""Where Was I""]",0.0,0.33333333333333337,0.0,0.0,0.0,-0.33333333333333337,2,1,bind
2Wiki,39,"Who lived longer, Ludwig Elsbett or Pamela Ann Rymer?",2,"[""Pamela Ann Rymer"", ""Ludwig Elsbett""]",2,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Pamela Ann Rymer"", ""Ludwig Elsbett""]","[""Dugès"", ""Pamela Ann Rymer"", ""Ludwig Elsbett"", ""Pamela A. Barker"", ""Pamela Harris (judge)""]",0.0,0.0,0.0,0.0,0.0,0.0,3,1,abstain
2Wiki,40,"Which film whose director is younger, Phalitamsha or Gladiators Seven?",4,"[""Puttanna Kanagal"", ""Phalitamsha"", ""Alberto De Martino"", ""Gladiators Seven""]",4,0,5,4,4,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Gladiators Seven"", ""Phalitamsha"", ""Alberto De Martino"", ""Puttanna Kanagal""]","[""Phalitamsha"", ""Alberto De Martino"", ""Gladiators Seven"", ""The Warriors"", ""Puttanna Kanagal""]",1.0,1.0,0.0,0.0,-1.0,-1.0,4,2,bind
2Wiki,41,"Which film has the director who was born later, Henry Goes Arizona or The Blue Collar Worker And The Hairdresser In A Whirl Of Sex And Politics?",4,"[""Lina Wertmüller"", ""Edwin L. Marin"", ""Henry Goes Arizona"", ""The Blue Collar Worker and the Hairdresser in a Whirl of Sex and Politics""]",4,0,5,4,4,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""The Blue Collar Worker and the Hairdresser in a Whirl of Sex and Politics"", ""Henry Goes Arizona"", ""Lina Wertmüller"", ""Edwin L. Marin""]","[""The Blue Collar Worker and the Hairdresser in a Whirl of Sex and Politics"", ""Edwin L. Marin"", ""Lina Wertmüller"", ""Henry Goes Arizona"", ""A Joke of Destiny""]",1.0,1.0,1.0,1.0,0.0,0.0,4,2,bind
2Wiki,42,"Who was born first, Hywel Teifi Edwards or Felix Schuster?",2,"[""Felix Schuster"", ""Hywel Teifi Edwards""]",2,0,5,2,2,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Felix Schuster"", ""Hywel Teifi Edwards""]","[""Dugès"", ""Felix Schuster"", ""Hywel Teifi Edwards"", ""Alexander Fuks"", ""Margaret Verney""]",1.0,1.0,1.0,1.0,0.0,0.0,3,1,abstain
2Wiki,43,"Which film has the director who was born first, Tombstone Rashomon or Waiting For The Clouds?",4,"[""Alex Cox"", ""Waiting for the Clouds"", ""Yeşim Ustaoğlu"", ""Tombstone Rashomon""]",4,0,5,4,4,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Tombstone Rashomon"", ""Waiting for the Clouds"", ""Alex Cox"", ""Yeşim Ustaoğlu""]","[""Waiting for the Clouds"", ""Alex Cox"", ""Tombstone Rashomon"", ""Yeşim Ustaoğlu"", ""Pjer Žalica""]",1.0,1.0,1.0,1.0,0.0,0.0,4,2,bind
2Wiki,44,Where was the performer of song B Boy (Song) detained?,2,"[""Meek Mill"", ""B Boy (song)""]",1,1,5,1,2,1,0,0.5,1.0,0.5,0,1,SetR incomplete -> DBEC complete,DBEC improves support coverage,1,1,1,dbec_recovers_all_missing,"[""Meek Mill""]",[],"[""Meek Mill""]","[""B Boy (song)""]","[""B Boy (song)"", ""Meek Mill"", ""Aretha Franklin"", ""Love + War (Kwabs album)"", ""Where Was I""]",0.0,0.0,0.0,0.0,0.0,0.0,2,1,bind
2Wiki,45,"Which film has the director who was born later, Illusions (1982 Film) or It'S A Wonderful Afterlife?",4,"[""Gurinder Chadha"", ""Illusions (1982 film)"", ""Julie Dash"", ""It's a Wonderful Afterlife""]",4,0,5,4,4,0,0,1.0,1.0,0.0,1,1,SetR complete -> DBEC complete,support coverage tied,0,0,0,setr_no_missing_support,[],[],[],"[""Illusions (1982 film)"", ""It's a Wonderful Afterlife"", ""Gurinder Chadha"", ""Julie Dash""]","[""Gurinder Chadha"", ""Julie Dash"", ""Illusions (1982 film)"", ""It's a Wonderful Afterlife"", ""Goldy Notay""]",1.0,1.0,1.0,1.0,0.0,0.0,4,2,bind
