dataset,query_index,delta_f1_dbec_minus_setr,gold_doc_count,setr_selected_count,setr_support_recall,dbec_support_recall,support_transition,recovery_label,question,gold_titles_json,setr_missing_titles_json,dbec_recovered_titles_json,setr_titles_json,dbec_titles_json
HotpotQA,18,1.0,2,2,0.5,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the wolrd outside North America until it was succeeded by a Building in city?,"[""One Raffles Place"", ""Bank of China Tower (Hong Kong)""]","[""Bank of China Tower (Hong Kong)""]","[""Bank of China Tower (Hong Kong)""]","[""One Raffles Place"", ""Republic Plaza (Singapore)""]","[""Bank of China Tower (Hong Kong)"", ""One Raffles Place"", ""Raffles Place"", ""CapitaGreen"", ""Republic Plaza (Singapore)""]"
HotpotQA,58,1.0,2,5,0.5,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,"In what year was the composer of ""Anthem"" born?","[""Vangelis"", ""Anthem (The 2002 FIFA World Cup Official Anthem)""]","[""Vangelis""]","[""Vangelis""]","[""Anthem (Chess song)"", ""Anthem (The 2002 FIFA World Cup Official Anthem)"", ""Chess (musical)"", ""Gemini (Gemini album)"", ""Mamma Mia!""]","[""Vangelis"", ""Anthem (The 2002 FIFA World Cup Official Anthem)"", ""Anthem (Chess song)"", ""Benjamin Britten"", ""I Know Him So Well""]"
HotpotQA,337,1.0,2,3,0.5,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,What is the name of the number-one single featuring the winner of Celebrity Apprentice 3?,"[""Bret Michaels"", ""The Apprentice (U.S. season 9)""]","[""Bret Michaels""]","[""Bret Michaels""]","[""The Apprentice (U.S. season 9)"", ""Bret Michaels: Life as I Know It"", ""Curtis Stone""]","[""Bret Michaels: Life as I Know It"", ""Bret Michaels"", ""The Apprentice (U.S. season 9)"", ""The Apprentice (U.S. season 13)"", ""The Apprentice (U.S. season 8)""]"
HotpotQA,377,1.0,2,1,0.5,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,Falling Stars is a role-playing game published by the company based out of what country?,"[""Nordcurrent"", ""Falling Stars (video game)""]","[""Nordcurrent""]","[""Nordcurrent""]","[""Falling Stars (video game)""]","[""Nordcurrent"", ""Falling Stars (video game)"", ""Agatha Christie (video game series)"", ""Guardian's Crusade"", ""EverQuest Role-Playing Game""]"
HotpotQA,431,1.0,2,3,0.5,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,What was the position in the United States Army of the Lieutenant general that Confederate General Robert E. Lee surrendered to?,"[""Lee's Farewell Address"", ""Ulysses S. Grant""]","[""Ulysses S. Grant""]","[""Ulysses S. Grant""]","[""Appomattox Campaign"", ""Battle of Appomattox Court House"", ""Lee's Farewell Address""]","[""Ulysses S. Grant"", ""Lee's Farewell Address"", ""Appomattox Campaign"", ""Third Battle of Petersburg"", ""Battle of Appomattox Court House""]"
HotpotQA,480,1.0,2,2,0.5,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,Which Australian professional women's basketball team has an American playing in it?,"[""Colleen Planeta"", ""Adelaide Lightning""]","[""Adelaide Lightning""]","[""Adelaide Lightning""]","[""Kelsey Griffin"", ""Colleen Planeta""]","[""Colleen Planeta"", ""University of Canberra Capitals"", ""San Antonio Spurs"", ""Kelsey Griffin"", ""Adelaide Lightning""]"
HotpotQA,532,1.0,2,3,0.5,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,Hina is derived from a dye prepared in what areas?,"[""Henna"", ""Hina (given name)""]","[""Hina (given name)""]","[""Hina (given name)""]","[""Lawsonia inermis"", ""Henna"", ""Quercus coccifera""]","[""Henna"", ""Hina (given name)"", ""Lawsonia inermis"", ""Kermes (dye)"", ""Phloxine""]"
HotpotQA,541,1.0,2,2,0.5,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,Which Canadian Professional ice hockey player of Albanian origin bought in on the deal for the Ontario Raiders?,"[""Tie Domi"", ""Ontario Raiders""]","[""Ontario Raiders""]","[""Ontario Raiders""]","[""Tie Domi"", ""Bob Jones (ice hockey)""]","[""Toronto Maple Leafs"", ""Ontario Raiders"", ""Tie Domi"", ""Shkëlzen Gashi"", ""Zymer Bytyqi""]"
HotpotQA,571,1.0,2,3,0.5,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,"Howard Bilerman produced an album for which songwriter from Athens, Georgia?","[""Vic Chesnutt"", ""Howard Bilerman""]","[""Howard Bilerman""]","[""Howard Bilerman""]","[""Vic Chesnutt"", ""David Barbe"", ""Timothy Deaux""]","[""Oh, My Darling"", ""Howard Bilerman"", ""Vic Chesnutt"", ""David Barbe"", ""Leaving My Empire""]"
HotpotQA,595,1.0,2,3,0.5,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,Atlanta Zero Mile Post is located within a historic area opened in what year ?,"[""Underground Atlanta"", ""Atlanta Zero Mile Post""]","[""Underground Atlanta""]","[""Underground Atlanta""]","[""Atlanta Zero Mile Post"", ""Atlanta Constitution Building"", ""History of Atlanta""]","[""Atlanta Zero Mile Post"", ""Atlanta Constitution Building"", ""Underground Atlanta"", ""History of Atlanta"", ""Zero Milestone""]"
HotpotQA,602,1.0,2,4,0.5,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,Which voice actor plays the voice of the cartoon character that is most famous for his semi-intelligible speech and his mischievous and temperamental personality?,"[""Donald Duck"", ""Blaine County, Oklahoma""]","[""Blaine County, Oklahoma""]","[""Blaine County, Oklahoma""]","[""Donald Duck"", ""Donald Duck talk"", ""Clarence Nash"", ""Garcia Júnior""]","[""Donald Duck"", ""Donald Duck talk"", ""Jim Backus"", ""Blaine County, Oklahoma"", ""Clarence Nash""]"
MuSiQue,826,1.0,4,3,0.25,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,Where is the district that the person who wanted to reform and address Bernhard Lichtenberg's religion preached a sermon on Marian devotion before his death located?,"[""Reformation"", ""Wittenberg (district)"", ""Bernhard Lichtenberg"", ""Mary, mother of Jesus""]","[""Reformation"", ""Wittenberg (district)"", ""Mary, mother of Jesus""]","[""Reformation"", ""Wittenberg (district)"", ""Mary, mother of Jesus""]","[""Bernhard Lichtenberg"", ""Rudolph Goclenius the Younger"", ""Leipzig (district)""]","[""Bernhard Lichtenberg"", ""Mary, mother of Jesus"", ""Wittenberg (district)"", ""Mary, mother of Jesus"", ""Reformation""]"
MuSiQue,14,1.0,3,4,0.3333333333333333,0.6666666666666666,SetR incomplete -> DBEC incomplete,dbec_recovers_all_missing,What year did the Governor of the city where the basilica named after the same saint as the one that Mantua Cathedral is dedicated to die?,"[""Đakovo Cathedral"", ""Governor of Vatican City"", ""St. Peter's Basilica""]","[""Governor of Vatican City"", ""St. Peter's Basilica""]","[""Governor of Vatican City"", ""St. Peter's Basilica""]","[""Mantua Cathedral"", ""Alatri Cathedral"", ""Đakovo Cathedral"", ""Battle of Bassano""]","[""Governor of Vatican City"", ""St. Peter's Basilica"", ""Saint Peter"", ""Mantua Cathedral"", ""Old St. Peter's Basilica""]"
MuSiQue,102,1.0,2,6,0.0,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,What is the population in 2010 of they city popular with tourists?,"[""Nanjing"", ""Nanjing""]","[""Nanjing"", ""Nanjing""]","[""Nanjing"", ""Nanjing""]","[""Crescent City, California"", ""Santa Monica, California"", ""Atlantic City, New Jersey"", ""Atlantic City, New Jersey"", ""Camdenton, Missouri"", ""Quincy, Florida""]","[""Nanjing"", ""Nanjing"", ""Crescent City, California"", ""Santa Monica, California"", ""Jersey City, New Jersey""]"
MuSiQue,117,1.0,4,2,0.25,0.75,SetR incomplete -> DBEC incomplete,dbec_recovers_some_missing,Who's the son of the Italian navigator who explored the eastern coast of the continent Manuel Balbi was born in?,"[""John Cabot"", ""Paula Santiago"", ""Sebastian Cabot (explorer)"", ""Manuel Balbi""]","[""John Cabot"", ""Paula Santiago"", ""Manuel Balbi""]","[""John Cabot"", ""Manuel Balbi""]","[""Sebastian Cabot (explorer)"", ""Exploration of North America""]","[""Sebastian Cabot (explorer)"", ""Manuel Balbi"", ""John Cabot"", ""Sergio Villanueva"", ""Francisco H. Vázquez""]"
MuSiQue,206,1.0,4,4,0.25,0.75,SetR incomplete -> DBEC incomplete,dbec_recovers_some_missing,Who won the Indy car race in the largest city and capitol of the state where the Changes Two performer is from?,"[""Arizona"", ""Desert Diamond West Valley Phoenix Grand Prix"", ""Charles Mingus"", ""Changes Two""]","[""Arizona"", ""Desert Diamond West Valley Phoenix Grand Prix"", ""Charles Mingus""]","[""Arizona"", ""Desert Diamond West Valley Phoenix Grand Prix""]","[""Indiana"", ""Changes Two"", ""Roncalli High School (Indiana)"", ""WNDE""]","[""Indiana"", ""Desert Diamond West Valley Phoenix Grand Prix"", ""Changes Two"", ""Oklahoma City"", ""Arizona""]"
MuSiQue,393,1.0,3,3,0.3333333333333333,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,What's the population of the largest state in the region of the U.S. where trading practices were once threatened by the Navigation Acts?,"[""1689 Boston revolt"", ""Maine"", ""New England""]","[""1689 Boston revolt"", ""Maine""]","[""1689 Boston revolt"", ""Maine""]","[""List of states and territories of the United States by population"", ""Florida"", ""New England""]","[""New England"", ""Maine"", ""1689 Boston revolt"", ""Economy of the United States"", ""List of states and territories of the United States by population""]"
MuSiQue,414,1.0,3,3,0.3333333333333333,0.6666666666666666,SetR incomplete -> DBEC incomplete,dbec_recovers_all_missing,When did the Governor of the city where the Basilica named after the saint holding the knife in the Last Supper is located in end?,"[""The Last Supper (Leonardo)"", ""Governor of Vatican City"", ""St. Peter's Basilica""]","[""The Last Supper (Leonardo)"", ""Governor of Vatican City""]","[""The Last Supper (Leonardo)"", ""Governor of Vatican City""]","[""Saint Peter"", ""St. Peter's Basilica"", ""St. Peter's Basilica""]","[""Venice"", ""Governor of Vatican City"", ""The Last Supper (Leonardo)"", ""Governor of Colima"", ""Saint Peter""]"
MuSiQue,476,1.0,3,2,0.3333333333333333,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,What does seal stand for in the seals of the service operating list of destroyer classes of the operator of USS Peril?,"[""List of destroyer classes of the United States Navy"", ""USS Peril (AM-272)"", ""United States Navy SEALs""]","[""List of destroyer classes of the United States Navy"", ""United States Navy SEALs""]","[""List of destroyer classes of the United States Navy"", ""United States Navy SEALs""]","[""USS Peril (AM-272)"", ""HMS Seal (1897)""]","[""List of destroyer classes of the Royal Navy"", ""USS Peril (AM-272)"", ""United States Navy SEALs"", ""United States Navy SEALs"", ""List of destroyer classes of the United States Navy""]"
MuSiQue,507,1.0,3,3,0.3333333333333333,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,What is the symbol of the Saints from the city where the headquarters of the manufacturer of McAfee's Benchmark called?,"[""McAfee's Benchmark"", ""Sazerac"", ""Fleur-de-lis""]","[""Sazerac"", ""Fleur-de-lis""]","[""Sazerac"", ""Fleur-de-lis""]","[""McAfee's Benchmark"", ""Kentucky State Capitol"", ""Billiken""]","[""McAfee's Benchmark"", ""Fleur-de-lis"", ""Blanton's"", ""McAfee"", ""Sazerac""]"
MuSiQue,561,1.0,2,7,0.0,1.0,SetR incomplete -> DBEC complete,dbec_recovers_all_missing,What is the date of birth of the performer of Stand Up?,"[""Stand Up (James Cottriall song)"", ""James Cottriall""]","[""Stand Up (James Cottriall song)"", ""James Cottriall""]","[""Stand Up (James Cottriall song)"", ""James Cottriall""]","[""Ann Hampton Callaway"", ""Spexy Beast"", ""Charlie Chuck"", ""Zadie Smith"", ""Jack P. Shepherd"", ""Lucy Fallon"", ""Mick Taylor""]","[""Stand Up (James Cottriall song)"", ""James Cottriall"", ""Ann Hampton Callaway"", ""Stand by Me"", ""Spexy Beast""]"
MuSiQue,730,1.0,3,4,0.3333333333333333,0.6666666666666666,SetR incomplete -> DBEC incomplete,dbec_recovers_all_missing,When was the last time the team that won the American League East in 2017 and the Dodgers met in the championship event that precedes the MLB MVP award?,"[""Major League Baseball Most Valuable Player Award"", ""2017 American League Championship Series"", ""Dodgers–Yankees rivalry""]","[""2017 American League Championship Series"", ""Dodgers–Yankees rivalry""]","[""2017 American League Championship Series"", ""Dodgers–Yankees rivalry""]","[""2017 World Series"", ""Houston Astros"", ""Major League Baseball Most Valuable Player Award"", ""World Series Most Valuable Player Award""]","[""Cleveland Indians"", ""2017 American League Championship Series"", ""2017 World Series"", ""Opening Day"", ""Dodgers–Yankees rivalry""]"
MuSiQue,861,1.0,4,4,0.25,0.75,SetR incomplete -> DBEC incomplete,dbec_recovers_some_missing,In what region of Germany is the district where a sermon on Marian devotion was preached by the man who wanted to reform the religion of Victor Razafimahatratra?,"[""Reformation"", ""Wittenberg (district)"", ""Victor Razafimahatratra"", ""Mary, mother of Jesus""]","[""Reformation"", ""Wittenberg (district)"", ""Mary, mother of Jesus""]","[""Wittenberg (district)"", ""Mary, mother of Jesus""]","[""Victor Razafimahatratra"", ""Victor Razafimahatratra"", ""Rudolph Goclenius the Younger"", ""Jakob Rem""]","[""Victor Razafimahatratra"", ""Wittenberg (district)"", ""Mary, mother of Jesus"", ""Victor Razafimahatratra"", ""Mary, mother of Jesus""]"
