dataset,base_dataset,query_index,question,primary_bucket,missing_gold_count,source_has_all_missing_gold,rank_fill5_recovered_missing_count,binding_candidate_recovered_missing_count,dbec_greedy_path_recovered_missing_count,dbec_final_recovered_missing_count,rank_added_gold_count,dbec_added_gold_count,dbec_added_non_gold_count,dbec_replaced_rank_gold_count,dbec_final_duplicate_title_count,near_title_substitution_count,near_title_substitution_pairs_json,bucket_counts_json,gold_titles_json,setr_missing_titles_json,setr_titles_json,rank_fill_titles_json,dbec_titles_json,dbec_greedy_path_titles_json,binding_candidate_titles_json,setr_f1,dbec_f1,delta_f1_dbec_minus_setr,repair_gated_net_gold_delta_vs_rank,repair_gated_harmful_replacement
2Wiki,2wikimultihopqa,111,"Which film has the director who is older than the other, The Lone Prairie or Buckaroo From Powder River?",gold_in_binding_candidates_not_selected,1,1,0,1,0,0,0,0,2,0,0,0,[],"{""gold_in_binding_candidates_not_selected"": 1}","[""The Lone Prairie"", ""Ray Nazarro"", ""Buckaroo from Powder River"", ""William Berke""]","[""William Berke""]","[""The Lone Prairie"", ""Buckaroo from Powder River"", ""Ray Nazarro""]","[""The Lone Prairie"", ""Buckaroo from Powder River"", ""Ray Nazarro"", ""Texans Never Cry"", ""Robin Hood of the Range""]","[""Henry Hathaway"", ""Ray Taylor (director)"", ""The Lone Prairie"", ""Buckaroo from Powder River"", ""Ray Nazarro""]","[""Henry Hathaway"", ""Ray Taylor (director)"", ""The Lone Prairie"", ""Buckaroo from Powder River""]","[""William Berke"", ""Ray Taylor (director)"", ""Ray Nazarro"", ""Edward Sedgwick"", ""Henry Hathaway""]",0.0,1.0,1.0,0,0
2Wiki,2wikimultihopqa,121,"Which film has the director who died first, Haiducii (Film) or My Wife'S Best Friend?",all_missing_gold_recovered_by_dbec,1,1,1,0,1,1,1,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Dinu Cocea"", ""Haiducii (film)"", ""Richard Sale (director)"", ""My Wife's Best Friend""]","[""My Wife's Best Friend""]","[""Haiducii (film)"", ""Dinu Cocea"", ""Richard Sale (director)""]","[""Haiducii (film)"", ""Dinu Cocea"", ""Richard Sale (director)"", ""My Wife's Best Friend"", ""Les amies de ma femme""]","[""Fadil Hadžić"", ""Richard Sale (director)"", ""Haiducii (film)"", ""My Wife's Best Friend"", ""Dinu Cocea""]","[""Fadil Hadžić"", ""Richard Sale (director)"", ""Haiducii (film)"", ""My Wife's Best Friend""]","[""Dinu Cocea"", ""Fadil Hadžić"", ""Elisabeta Bostan"", ""Richard Sale (director)""]",1.0,1.0,0.0,0,0
2Wiki,2wikimultihopqa,125,"Which film whose director was born first, Last Tango In Paris or Beasts Of Prey?",all_missing_gold_recovered_by_dbec,1,1,0,1,1,1,0,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Bernardo Bertolucci"", ""Last Tango in Paris"", ""Beasts of Prey"", ""Kim Ki-young""]","[""Kim Ki-young""]","[""Beasts of Prey"", ""Last Tango in Paris"", ""Bernardo Bertolucci""]","[""Beasts of Prey"", ""Last Tango in Paris"", ""Bernardo Bertolucci"", ""The Last Tango"", ""William Friedkin""]","[""Bernardo Bertolucci"", ""Kim Ki-young"", ""Beasts of Prey"", ""Last Tango in Paris"", ""The Last Tango""]","[""Bernardo Bertolucci"", ""Kim Ki-young"", ""Beasts of Prey"", ""Last Tango in Paris""]","[""Bernardo Bertolucci"", ""Bertrand Tavernier"", ""Kim Ki-young""]",1.0,1.0,0.0,1,0
2Wiki,2wikimultihopqa,140,Do both Possession (1922 Film) and La Boum films have the directors from the same country?,all_missing_gold_recovered_by_dbec,1,1,1,1,1,1,1,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Claude Pinoteau"", ""La Boum"", ""Louis Mercanton"", ""Possession (1922 film)""]","[""Claude Pinoteau""]","[""Possession (1922 film)"", ""Louis Mercanton"", ""La Boum""]","[""Possession (1922 film)"", ""Louis Mercanton"", ""La Boum"", ""Claude Pinoteau"", ""La Boum 2""]","[""Claude Pinoteau"", ""Louis Mercanton"", ""Possession (1922 film)"", ""La Boum"", ""La Boum 2""]","[""Claude Pinoteau"", ""Louis Mercanton"", ""Possession (1922 film)"", ""La Boum""]","[""Louis Mercanton"", ""Claude Pinoteau"", ""La Boum 2"", ""Sophie Marceau"", ""Laurent Tirard"", ""Édouard Molinaro""]",0.0,0.0,0.0,0,0
2Wiki,2wikimultihopqa,143,"Which film has the director who is older than the other, Goopy Gyne Bagha Byne or Halloween Kills?",all_missing_gold_recovered_by_dbec,1,1,0,1,1,1,0,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Goopy Gyne Bagha Byne"", ""Satyajit Ray"", ""Halloween Kills"", ""David Gordon Green""]","[""Satyajit Ray""]","[""Goopy Gyne Bagha Byne"", ""Halloween Kills"", ""David Gordon Green""]","[""Goopy Gyne Bagha Byne"", ""Halloween Kills"", ""David Gordon Green"", ""Goopi Gawaiya Bagha Bajaiya"", ""Hirak Rajar Deshe""]","[""David Gordon Green"", ""Satyajit Ray"", ""Goopy Bagha Phire Elo"", ""Halloween Kills"", ""Goopy Gyne Bagha Byne""]","[""David Gordon Green"", ""Satyajit Ray"", ""Goopy Bagha Phire Elo"", ""Halloween Kills"", ""Goopy Gyne Bagha Byne""]","[""Satyajit Ray"", ""David Gordon Green""]",1.0,1.0,0.0,1,0
2Wiki,2wikimultihopqa,149,"Which film whose director is younger, Forbidden Ground or Free Guy?",gold_in_binding_candidates_not_selected,1,1,0,1,0,0,1,1,1,0,1,0,[],"{""gold_in_binding_candidates_not_selected"": 1}","[""Free Guy"", ""Forbidden Ground"", ""Pál Gábor"", ""Shawn Levy""]","[""Pál Gábor""]","[""Forbidden Ground (2013 film)"", ""Free Guy"", ""Shawn Levy""]","[""Forbidden Ground (2013 film)"", ""Free Guy"", ""Shawn Levy"", ""Forbidden Ground"", ""Martin Copping""]","[""Ian Barry (director)"", ""Shawn Levy"", ""Forbidden Ground"", ""Free Guy"", ""Forbidden Ground (2013 film)""]","[""Ian Barry (director)"", ""Shawn Levy"", ""Forbidden Ground"", ""Free Guy""]","[""Pál Gábor"", ""Ian Barry (director)"", ""Shawn Levy""]",1.0,1.0,0.0,0,0
2Wiki,2wikimultihopqa,153,"Which film whose director is younger, Before The Bat'S Flight Is Done or Agar Tum Na Hote?",all_missing_gold_recovered_by_dbec,1,1,1,0,1,1,1,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Before the Bat's Flight Is Done"", ""Péter Tímár"", ""Lekh Tandon"", ""Agar Tum Na Hote""]","[""Before the Bat's Flight Is Done""]","[""Péter Tímár"", ""Lekh Tandon"", ""Agar Tum Na Hote""]","[""Péter Tímár"", ""Lekh Tandon"", ""Agar Tum Na Hote"", ""Before the Bat's Flight Is Done"", ""Before Sunset""]","[""Péter Tímár"", ""Lekh Tandon"", ""Before the Bat's Flight Is Done"", ""Agar Tum Na Hote"", ""Before Sunset""]","[""Péter Tímár"", ""Lekh Tandon"", ""Before the Bat's Flight Is Done"", ""Agar Tum Na Hote""]","[""Péter Tímár"", ""Lekh Tandon""]",1.0,1.0,0.0,0,0
2Wiki,2wikimultihopqa,180,"Which film has the director born later, Diary Of A Maniac or Return Of The Hero?",all_missing_gold_recovered_by_dbec,1,1,1,1,1,1,1,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Marco Ferreri"", ""Return of the Hero"", ""Laurent Tirard"", ""Diary of a Maniac""]","[""Marco Ferreri""]","[""Return of the Hero"", ""Diary of a Maniac"", ""Laurent Tirard""]","[""Return of the Hero"", ""Diary of a Maniac"", ""Laurent Tirard"", ""Marco Ferreri"", ""Édouard Niermans (director)""]","[""Laurent Tirard"", ""Marco Ferreri"", ""Diary of a Maniac"", ""Return of the Hero"", ""Édouard Niermans (director)""]","[""Laurent Tirard"", ""Marco Ferreri"", ""Diary of a Maniac"", ""Return of the Hero""]","[""Marco Ferreri"", ""Laurent Tirard"", ""Édouard Niermans (director)""]",1.0,1.0,0.0,0,0
2Wiki,2wikimultihopqa,181,"Which film has the director died later, Dahleez or The Lights Of Buenos Aires?",all_missing_gold_recovered_by_dbec,1,1,1,0,1,1,1,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""The Lights of Buenos Aires"", ""Dahleez"", ""Ravi Chopra"", ""Adelqui Migliar""]","[""Dahleez""]","[""The Lights of Buenos Aires"", ""Adelqui Migliar"", ""Ravi Chopra""]","[""The Lights of Buenos Aires"", ""Adelqui Migliar"", ""Ravi Chopra"", ""Dahleez"", ""Manuel Romero""]","[""The Lights of Buenos Aires"", ""Ravi Chopra"", ""Dahleez"", ""Adelqui Migliar"", ""Manuel Romero""]","[""The Lights of Buenos Aires"", ""Ravi Chopra"", ""Dahleez""]","[""Ravi Chopra""]",0.0,1.0,1.0,0,0
2Wiki,2wikimultihopqa,199,"Which film has the director who was born later, Tarzan'S Hidden Jungle or The Brink'S Job?",all_missing_gold_recovered_by_dbec,2,1,0,2,2,2,0,2,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 2}","[""Tarzan's Hidden Jungle"", ""Harold D. Schuster"", ""The Brink's Job"", ""William Friedkin""]","[""Harold D. Schuster"", ""William Friedkin""]","[""Tarzan's Hidden Jungle"", ""The Brink's Job""]","[""Tarzan's Hidden Jungle"", ""The Brink's Job"", ""The Son of Tarzan (film)"", ""The Revenge of Tarzan"", ""The Romance of Tarzan""]","[""William Friedkin"", ""Harold D. Schuster"", ""Tarzan's Hidden Jungle"", ""The Brink's Job"", ""The Son of Tarzan (film)""]","[""William Friedkin"", ""Harold D. Schuster"", ""Tarzan's Hidden Jungle"", ""The Brink's Job""]","[""Harold D. Schuster"", ""William Friedkin""]",0.0,1.0,1.0,1,0
2Wiki,2wikimultihopqa,202,Are the directors of films C-Man (Film) and Greencastle (Film) both from the same country?,all_missing_gold_recovered_by_dbec,1,1,1,1,0,1,1,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Joseph Lerner"", ""C-Man (film)"", ""Koran Dunbar"", ""Greencastle (film)""]","[""Joseph Lerner""]","[""C-Man (film)"", ""Greencastle (film)"", ""Koran Dunbar""]","[""C-Man (film)"", ""Greencastle (film)"", ""Koran Dunbar"", ""Joseph Lerner"", ""Peter Greenaway""]","[""Ian Barry (director)"", ""Koran Dunbar"", ""Greencastle (film)"", ""C-Man (film)"", ""Joseph Lerner""]","[""Ian Barry (director)"", ""Koran Dunbar"", ""Greencastle (film)""]","[""Ian Barry (director)"", ""Peter Levin"", ""Jean Grémillon"", ""Joseph Lerner"", ""Thomas Jahn"", ""Koran Dunbar"", ""Ian Barry (director)""]",0.0,1.0,1.0,0,0
2Wiki,2wikimultihopqa,215,"Which film whose director is younger, Traces Of A Dragon or Moonnupookkal?",gold_in_binding_candidates_not_selected,2,1,2,2,0,1,2,1,2,1,0,0,[],"{""gold_in_binding_candidates_not_selected"": 1, ""gold_recovered_by_dbec_final"": 1}","[""Traces of a Dragon"", ""P. Bhaskaran"", ""Moonnupookkal"", ""Mabel Cheung""]","[""P. Bhaskaran"", ""Mabel Cheung""]","[""Traces of a Dragon"", ""Moonnupookkal""]","[""Traces of a Dragon"", ""Moonnupookkal"", ""Mabel Cheung"", ""P. Bhaskaran"", ""Traces of Death""]","[""Po-Chih Leong"", ""Sanal Kumar Sasidharan"", ""Traces of a Dragon"", ""Moonnupookkal"", ""Mabel Cheung""]","[""Po-Chih Leong"", ""Sanal Kumar Sasidharan"", ""Traces of a Dragon"", ""Moonnupookkal""]","[""Mabel Cheung"", ""Po-Chih Leong"", ""P. Bhaskaran"", ""Sanal Kumar Sasidharan""]",0.0,1.0,1.0,0,0
2Wiki,2wikimultihopqa,217,"Which film has the director born earlier, The Spooky Bunch or His Name Is Nobody?",all_missing_gold_recovered_by_dbec,2,1,1,2,2,2,1,2,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 2}","[""Ann Hui"", ""His Name Is Nobody"", ""The Spooky Bunch"", ""Karl Maka""]","[""Ann Hui"", ""Karl Maka""]","[""The Spooky Bunch"", ""His Name Is Nobody""]","[""The Spooky Bunch"", ""His Name Is Nobody"", ""My Name Is Nobody"", ""Ann Hui"", ""Encounters of the Spooky Kind""]","[""Karl Maka"", ""Ann Hui"", ""His Name Is Nobody"", ""The Spooky Bunch"", ""My Name Is Nobody""]","[""Karl Maka"", ""Ann Hui"", ""His Name Is Nobody"", ""The Spooky Bunch""]","[""Ann Hui"", ""Karl Maka""]",0.0,1.0,1.0,1,0
2Wiki,2wikimultihopqa,218,Do both films: Racing Extinction and Madame Butterfly (1995 Film) have the directors from the same country?,gold_in_binding_candidates_not_selected,2,1,1,2,1,1,1,1,1,0,0,0,[],"{""gold_in_binding_candidates_not_selected"": 1, ""gold_recovered_by_dbec_final"": 1}","[""Racing Extinction"", ""Frédéric Mitterrand"", ""Louie Psihoyos"", ""Madame Butterfly (1995 film)""]","[""Frédéric Mitterrand"", ""Louie Psihoyos""]","[""Racing Extinction"", ""Madame Butterfly (1995 film)"", ""David Hannan""]","[""Racing Extinction"", ""Madame Butterfly (1995 film)"", ""David Hannan"", ""Louie Psihoyos"", ""Harakiri (1919 film)""]","[""Madame Butterfly (1995 film)"", ""Louie Psihoyos"", ""Racing Extinction"", ""David Hannan"", ""Harakiri (1919 film)""]","[""Madame Butterfly (1995 film)"", ""Louie Psihoyos"", ""Racing Extinction""]","[""Louie Psihoyos"", ""Frédéric Mitterrand"", ""Madame Butterfly (1995 film)"", ""Harakiri (1919 film)""]",1.0,1.0,0.0,0,0
2Wiki,2wikimultihopqa,222,"Which film has the director born first, La Mazurka Del Barone, Della Santa E Del Fico Fiorone or Safe (2012 Film)?",all_missing_gold_recovered_by_dbec,2,1,1,1,2,2,1,2,2,0,0,0,[],"{""gold_recovered_by_dbec_final"": 2}","[""Boaz Yakin"", ""Pupi Avati"", ""La mazurka del barone, della santa e del fico fiorone"", ""Safe (2012 film)""]","[""Pupi Avati"", ""Safe (2012 film)""]","[""La mazurka del barone, della santa e del fico fiorone"", ""Boaz Yakin""]","[""La mazurka del barone, della santa e del fico fiorone"", ""Boaz Yakin"", ""Safe (2012 film)"", ""Safe Haven (film)"", ""Ann Hui""]","[""Lasse Hallström"", ""Pupi Avati"", ""Dugès"", ""Safe (2012 film)"", ""La mazurka del barone, della santa e del fico fiorone""]","[""Lasse Hallström"", ""Pupi Avati"", ""Dugès"", ""Safe (2012 film)"", ""La mazurka del barone, della santa e del fico fiorone""]","[""Pupi Avati"", ""Boaz Yakin"", ""Lasse Hallström""]",1.0,1.0,0.0,0,0
2Wiki,2wikimultihopqa,225,"Which film has the director who died first, Karin Daughter Of Ingmar or The Man In The Trunk?",all_missing_gold_recovered_by_dbec,2,1,1,1,2,2,1,2,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 2}","[""The Man in the Trunk"", ""Malcolm St. Clair (filmmaker)"", ""Karin Daughter of Ingmar"", ""Victor Sjöström""]","[""The Man in the Trunk"", ""Victor Sjöström""]","[""Karin Daughter of Ingmar"", ""Malcolm St. Clair (filmmaker)""]","[""Karin Daughter of Ingmar"", ""Malcolm St. Clair (filmmaker)"", ""The Man in the Trunk"", ""Sons of Ingmar"", ""Albert Lewin""]","[""Victor Sjöström"", ""Malcolm St. Clair (filmmaker)"", ""Karin Daughter of Ingmar"", ""The Man in the Trunk"", ""Sons of Ingmar""]","[""Victor Sjöström"", ""Malcolm St. Clair (filmmaker)"", ""Karin Daughter of Ingmar"", ""The Man in the Trunk""]","[""Victor Sjöström"", ""Malcolm St. Clair (filmmaker)""]",1.0,1.0,0.0,1,0
2Wiki,2wikimultihopqa,244,"Do both films, The Wild Frontier (Film) and The Sundowners (1960 Film), have the directors who are from the same country?",gold_absent_from_source_pool,2,0,0,1,1,1,1,2,1,0,1,0,[],"{""gold_absent_from_source_pool"": 1, ""gold_recovered_by_dbec_final"": 1}","[""The Sundowners (1960 film)"", ""The Wild Frontier (film)"", ""Philip Ford (film director)"", ""Fred Zinnemann""]","[""Philip Ford (film director)"", ""Fred Zinnemann""]","[""The Sundowners (1960 film)"", ""The Wild Frontier (film)"", ""John Farrow""]","[""The Sundowners (1960 film)"", ""The Wild Frontier (film)"", ""John Farrow"", ""The Sundowners (1950 film)"", ""Home in Indiana""]","[""Peter Glenville"", ""Philip Ford (film director)"", ""The Sundowners (1950 film)"", ""The Wild Frontier (film)"", ""The Sundowners (1960 film)""]","[""Peter Glenville"", ""Philip Ford (film director)"", ""The Sundowners (1950 film)"", ""The Wild Frontier (film)""]","[""Philip Ford (film director)"", ""Ian Barry (director)"", ""Peter Glenville""]",1.0,1.0,0.0,0,0
2Wiki,2wikimultihopqa,249,"Which film has the director who died earlier, The Hitler Gang or Flannelfoot?",all_missing_gold_recovered_by_dbec,1,1,0,1,1,1,0,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Maclean Rogers"", ""The Hitler Gang"", ""John Farrow"", ""Flannelfoot""]","[""John Farrow""]","[""Flannelfoot"", ""The Hitler Gang"", ""Maclean Rogers""]","[""Flannelfoot"", ""The Hitler Gang"", ""Maclean Rogers"", ""Johnny on the Spot"", ""Hitler – Dead or Alive""]","[""Maclean Rogers"", ""John Farrow"", ""The Hitler Gang"", ""Flannelfoot"", ""Johnny on the Spot""]","[""Maclean Rogers"", ""John Farrow"", ""The Hitler Gang"", ""Flannelfoot""]","[""John Farrow"", ""Maclean Rogers"", ""Gordon Flemyng""]",0.0,1.0,1.0,1,0
