dataset,base_dataset,query_index,question,gold_title,bucket,source_has_gold,source_gold_positions_json,source_best_gold_rank,rank_fill5_has_gold,binding_candidates_have_gold,dbec_greedy_path_has_gold,dbec_final_has_gold,setr_selected_count,gold_doc_count,requirement_count,dependent_req_count,setr_f1,dbec_f1,delta_f1_dbec_minus_setr,rank_fill_positions_json,rank_fill_titles_json,dbec_final_positions_json,dbec_final_titles_json,dbec_greedy_path_positions_json,dbec_greedy_path_titles_json,binding_candidate_positions_json,binding_candidate_titles_json
2Wiki,2wikimultihopqa,97,"Which film has the director born first, Mord Em'Ly or Ek Hi Bhool (1940 Film)?",George Pearson (filmmaker),gold_recovered_by_dbec_final,1,[4],4,1,1,1,1,3,4,4,2,1.0,1.0,0.0,"[0, 1, 2, 3, 4]","[""Ek Hi Bhool (1940 film)"", ""Mord Em'ly"", ""Vijay Bhatt"", ""Ek Hi Bhool"", ""George Pearson (filmmaker)""]","[4, 2, 50, 0, 1]","[""George Pearson (filmmaker)"", ""Vijay Bhatt"", ""Jean Grémillon"", ""Ek Hi Bhool (1940 film)"", ""Mord Em'ly""]","[4, 2, 50, 0, 1]","[""George Pearson (filmmaker)"", ""Vijay Bhatt"", ""Jean Grémillon"", ""Ek Hi Bhool (1940 film)"", ""Mord Em'ly""]","[4, 2]","[""George Pearson (filmmaker)"", ""Vijay Bhatt""]"
2Wiki,2wikimultihopqa,101,"Which film has the director who was born later, Felices 140 or Dr. Who And The Daleks?",Dr. Who and the Daleks,gold_recovered_by_dbec_final,1,[0],0,1,0,1,1,3,4,4,2,1.0,1.0,0.0,"[1, 2, 4, 0, 3]","[""Gordon Flemyng"", ""Felices 140"", ""Gracia Querejeta"", ""Dr. Who and the Daleks"", ""Daleks' Invasion Earth 2150 A.D.""]","[1, 4, 0, 2, 3]","[""Gordon Flemyng"", ""Gracia Querejeta"", ""Dr. Who and the Daleks"", ""Felices 140"", ""Daleks' Invasion Earth 2150 A.D.""]","[1, 4, 0, 2]","[""Gordon Flemyng"", ""Gracia Querejeta"", ""Dr. Who and the Daleks"", ""Felices 140""]","[4, 1]","[""Gracia Querejeta"", ""Gordon Flemyng""]"
2Wiki,2wikimultihopqa,111,"Which film has the director who is older than the other, The Lone Prairie or Buckaroo From Powder River?",William Berke,gold_in_binding_candidates_not_selected,1,[80],80,0,1,0,0,3,4,4,2,0.0,1.0,1.0,"[0, 1, 2, 3, 4]","[""The Lone Prairie"", ""Buckaroo from Powder River"", ""Ray Nazarro"", ""Texans Never Cry"", ""Robin Hood of the Range""]","[7, 20, 0, 1, 2]","[""Henry Hathaway"", ""Ray Taylor (director)"", ""The Lone Prairie"", ""Buckaroo from Powder River"", ""Ray Nazarro""]","[7, 20, 0, 1]","[""Henry Hathaway"", ""Ray Taylor (director)"", ""The Lone Prairie"", ""Buckaroo from Powder River""]","[80, 20, 2, 22, 7]","[""William Berke"", ""Ray Taylor (director)"", ""Ray Nazarro"", ""Edward Sedgwick"", ""Henry Hathaway""]"
2Wiki,2wikimultihopqa,121,"Which film has the director who died first, Haiducii (Film) or My Wife'S Best Friend?",My Wife's Best Friend,gold_recovered_by_dbec_final,1,[0],0,1,0,1,1,3,4,4,2,1.0,1.0,0.0,"[1, 2, 3, 0, 4]","[""Haiducii (film)"", ""Dinu Cocea"", ""Richard Sale (director)"", ""My Wife's Best Friend"", ""Les amies de ma femme""]","[19, 3, 1, 0, 2]","[""Fadil Hadžić"", ""Richard Sale (director)"", ""Haiducii (film)"", ""My Wife's Best Friend"", ""Dinu Cocea""]","[19, 3, 1, 0]","[""Fadil Hadžić"", ""Richard Sale (director)"", ""Haiducii (film)"", ""My Wife's Best Friend""]","[2, 19, 15, 3]","[""Dinu Cocea"", ""Fadil Hadžić"", ""Elisabeta Bostan"", ""Richard Sale (director)""]"
2Wiki,2wikimultihopqa,125,"Which film whose director was born first, Last Tango In Paris or Beasts Of Prey?",Kim Ki-young,gold_recovered_by_dbec_final,1,[5],5,0,1,1,1,3,4,4,2,1.0,1.0,0.0,"[0, 2, 3, 1, 4]","[""Beasts of Prey"", ""Last Tango in Paris"", ""Bernardo Bertolucci"", ""The Last Tango"", ""William Friedkin""]","[3, 5, 0, 2, 1]","[""Bernardo Bertolucci"", ""Kim Ki-young"", ""Beasts of Prey"", ""Last Tango in Paris"", ""The Last Tango""]","[3, 5, 0, 2]","[""Bernardo Bertolucci"", ""Kim Ki-young"", ""Beasts of Prey"", ""Last Tango in Paris""]","[3, 8, 5]","[""Bernardo Bertolucci"", ""Bertrand Tavernier"", ""Kim Ki-young""]"
2Wiki,2wikimultihopqa,140,Do both Possession (1922 Film) and La Boum films have the directors from the same country?,Claude Pinoteau,gold_recovered_by_dbec_final,1,[2],2,1,1,1,1,3,4,4,2,0.0,0.0,0.0,"[0, 1, 3, 2, 4]","[""Possession (1922 film)"", ""Louis Mercanton"", ""La Boum"", ""Claude Pinoteau"", ""La Boum 2""]","[2, 1, 0, 3, 4]","[""Claude Pinoteau"", ""Louis Mercanton"", ""Possession (1922 film)"", ""La Boum"", ""La Boum 2""]","[2, 1, 0, 3]","[""Claude Pinoteau"", ""Louis Mercanton"", ""Possession (1922 film)"", ""La Boum""]","[1, 2, 4, 17, 7, 87]","[""Louis Mercanton"", ""Claude Pinoteau"", ""La Boum 2"", ""Sophie Marceau"", ""Laurent Tirard"", ""Édouard Molinaro""]"
2Wiki,2wikimultihopqa,143,"Which film has the director who is older than the other, Goopy Gyne Bagha Byne or Halloween Kills?",Satyajit Ray,gold_recovered_by_dbec_final,1,[6],6,0,1,1,1,3,4,4,2,1.0,1.0,0.0,"[1, 0, 2, 3, 4]","[""Goopy Gyne Bagha Byne"", ""Halloween Kills"", ""David Gordon Green"", ""Goopi Gawaiya Bagha Bajaiya"", ""Hirak Rajar Deshe""]","[2, 6, 7, 0, 1]","[""David Gordon Green"", ""Satyajit Ray"", ""Goopy Bagha Phire Elo"", ""Halloween Kills"", ""Goopy Gyne Bagha Byne""]","[2, 6, 7, 0, 1]","[""David Gordon Green"", ""Satyajit Ray"", ""Goopy Bagha Phire Elo"", ""Halloween Kills"", ""Goopy Gyne Bagha Byne""]","[6, 2]","[""Satyajit Ray"", ""David Gordon Green""]"
2Wiki,2wikimultihopqa,149,"Which film whose director is younger, Forbidden Ground or Free Guy?",Pál Gábor,gold_in_binding_candidates_not_selected,1,[47],47,0,1,0,0,3,4,4,2,1.0,1.0,0.0,"[0, 1, 2, 3, 4]","[""Forbidden Ground (2013 film)"", ""Free Guy"", ""Shawn Levy"", ""Forbidden Ground"", ""Martin Copping""]","[64, 2, 3, 1, 0]","[""Ian Barry (director)"", ""Shawn Levy"", ""Forbidden Ground"", ""Free Guy"", ""Forbidden Ground (2013 film)""]","[64, 2, 3, 1]","[""Ian Barry (director)"", ""Shawn Levy"", ""Forbidden Ground"", ""Free Guy""]","[47, 64, 2]","[""Pál Gábor"", ""Ian Barry (director)"", ""Shawn Levy""]"
2Wiki,2wikimultihopqa,153,"Which film whose director is younger, Before The Bat'S Flight Is Done or Agar Tum Na Hote?",Before the Bat's Flight Is Done,gold_recovered_by_dbec_final,1,[1],1,1,0,1,1,3,4,4,2,1.0,1.0,0.0,"[0, 2, 3, 1, 4]","[""Péter Tímár"", ""Lekh Tandon"", ""Agar Tum Na Hote"", ""Before the Bat's Flight Is Done"", ""Before Sunset""]","[0, 2, 1, 3, 4]","[""Péter Tímár"", ""Lekh Tandon"", ""Before the Bat's Flight Is Done"", ""Agar Tum Na Hote"", ""Before Sunset""]","[0, 2, 1, 3]","[""Péter Tímár"", ""Lekh Tandon"", ""Before the Bat's Flight Is Done"", ""Agar Tum Na Hote""]","[0, 2]","[""Péter Tímár"", ""Lekh Tandon""]"
2Wiki,2wikimultihopqa,180,"Which film has the director born later, Diary Of A Maniac or Return Of The Hero?",Marco Ferreri,gold_recovered_by_dbec_final,1,[1],1,1,1,1,1,3,4,4,2,1.0,1.0,0.0,"[0, 2, 3, 1, 4]","[""Return of the Hero"", ""Diary of a Maniac"", ""Laurent Tirard"", ""Marco Ferreri"", ""Édouard Niermans (director)""]","[3, 1, 2, 0, 4]","[""Laurent Tirard"", ""Marco Ferreri"", ""Diary of a Maniac"", ""Return of the Hero"", ""Édouard Niermans (director)""]","[3, 1, 2, 0]","[""Laurent Tirard"", ""Marco Ferreri"", ""Diary of a Maniac"", ""Return of the Hero""]","[1, 3, 4]","[""Marco Ferreri"", ""Laurent Tirard"", ""Édouard Niermans (director)""]"
2Wiki,2wikimultihopqa,181,"Which film has the director died later, Dahleez or The Lights Of Buenos Aires?",Dahleez,gold_recovered_by_dbec_final,1,[1],1,1,0,1,1,3,4,4,2,0.0,1.0,1.0,"[0, 2, 3, 1, 4]","[""The Lights of Buenos Aires"", ""Adelqui Migliar"", ""Ravi Chopra"", ""Dahleez"", ""Manuel Romero""]","[0, 3, 1, 2, 4]","[""The Lights of Buenos Aires"", ""Ravi Chopra"", ""Dahleez"", ""Adelqui Migliar"", ""Manuel Romero""]","[0, 3, 1]","[""The Lights of Buenos Aires"", ""Ravi Chopra"", ""Dahleez""]",[3],"[""Ravi Chopra""]"
2Wiki,2wikimultihopqa,199,"Which film has the director who was born later, Tarzan'S Hidden Jungle or The Brink'S Job?",Harold D. Schuster,gold_recovered_by_dbec_final,1,[5],5,0,1,1,1,2,4,4,2,0.0,1.0,1.0,"[0, 1, 2, 3, 4]","[""Tarzan's Hidden Jungle"", ""The Brink's Job"", ""The Son of Tarzan (film)"", ""The Revenge of Tarzan"", ""The Romance of Tarzan""]","[6, 5, 0, 1, 2]","[""William Friedkin"", ""Harold D. Schuster"", ""Tarzan's Hidden Jungle"", ""The Brink's Job"", ""The Son of Tarzan (film)""]","[6, 5, 0, 1]","[""William Friedkin"", ""Harold D. Schuster"", ""Tarzan's Hidden Jungle"", ""The Brink's Job""]","[5, 6]","[""Harold D. Schuster"", ""William Friedkin""]"
2Wiki,2wikimultihopqa,199,"Which film has the director who was born later, Tarzan'S Hidden Jungle or The Brink'S Job?",William Friedkin,gold_recovered_by_dbec_final,1,[6],6,0,1,1,1,2,4,4,2,0.0,1.0,1.0,"[0, 1, 2, 3, 4]","[""Tarzan's Hidden Jungle"", ""The Brink's Job"", ""The Son of Tarzan (film)"", ""The Revenge of Tarzan"", ""The Romance of Tarzan""]","[6, 5, 0, 1, 2]","[""William Friedkin"", ""Harold D. Schuster"", ""Tarzan's Hidden Jungle"", ""The Brink's Job"", ""The Son of Tarzan (film)""]","[6, 5, 0, 1]","[""William Friedkin"", ""Harold D. Schuster"", ""Tarzan's Hidden Jungle"", ""The Brink's Job""]","[5, 6]","[""Harold D. Schuster"", ""William Friedkin""]"
2Wiki,2wikimultihopqa,202,Are the directors of films C-Man (Film) and Greencastle (Film) both from the same country?,Joseph Lerner,gold_recovered_by_dbec_final,1,[2],2,1,1,0,1,3,4,4,2,0.0,1.0,1.0,"[0, 1, 3, 2, 4]","[""C-Man (film)"", ""Greencastle (film)"", ""Koran Dunbar"", ""Joseph Lerner"", ""Peter Greenaway""]","[52, 3, 1, 0, 2]","[""Ian Barry (director)"", ""Koran Dunbar"", ""Greencastle (film)"", ""C-Man (film)"", ""Joseph Lerner""]","[52, 3, 1]","[""Ian Barry (director)"", ""Koran Dunbar"", ""Greencastle (film)""]","[52, 89, 76, 2, 91, 3]","[""Ian Barry (director)"", ""Peter Levin"", ""Jean Grémillon"", ""Joseph Lerner"", ""Thomas Jahn"", ""Koran Dunbar"", ""Ian Barry (director)""]"
2Wiki,2wikimultihopqa,215,"Which film whose director is younger, Traces Of A Dragon or Moonnupookkal?",P. Bhaskaran,gold_in_binding_candidates_not_selected,1,[3],3,1,1,0,0,2,4,4,2,0.0,1.0,1.0,"[0, 1, 2, 3, 4]","[""Traces of a Dragon"", ""Moonnupookkal"", ""Mabel Cheung"", ""P. Bhaskaran"", ""Traces of Death""]","[9, 70, 0, 1, 2]","[""Po-Chih Leong"", ""Sanal Kumar Sasidharan"", ""Traces of a Dragon"", ""Moonnupookkal"", ""Mabel Cheung""]","[9, 70, 0, 1]","[""Po-Chih Leong"", ""Sanal Kumar Sasidharan"", ""Traces of a Dragon"", ""Moonnupookkal""]","[2, 9, 3, 70]","[""Mabel Cheung"", ""Po-Chih Leong"", ""P. Bhaskaran"", ""Sanal Kumar Sasidharan""]"
2Wiki,2wikimultihopqa,215,"Which film whose director is younger, Traces Of A Dragon or Moonnupookkal?",Mabel Cheung,gold_recovered_by_dbec_final,1,[2],2,1,1,0,1,2,4,4,2,0.0,1.0,1.0,"[0, 1, 2, 3, 4]","[""Traces of a Dragon"", ""Moonnupookkal"", ""Mabel Cheung"", ""P. Bhaskaran"", ""Traces of Death""]","[9, 70, 0, 1, 2]","[""Po-Chih Leong"", ""Sanal Kumar Sasidharan"", ""Traces of a Dragon"", ""Moonnupookkal"", ""Mabel Cheung""]","[9, 70, 0, 1]","[""Po-Chih Leong"", ""Sanal Kumar Sasidharan"", ""Traces of a Dragon"", ""Moonnupookkal""]","[2, 9, 3, 70]","[""Mabel Cheung"", ""Po-Chih Leong"", ""P. Bhaskaran"", ""Sanal Kumar Sasidharan""]"
2Wiki,2wikimultihopqa,217,"Which film has the director born earlier, The Spooky Bunch or His Name Is Nobody?",Ann Hui,gold_recovered_by_dbec_final,1,[3],3,1,1,1,1,2,4,4,2,0.0,1.0,1.0,"[0, 2, 1, 3, 4]","[""The Spooky Bunch"", ""His Name Is Nobody"", ""My Name Is Nobody"", ""Ann Hui"", ""Encounters of the Spooky Kind""]","[19, 3, 2, 0, 1]","[""Karl Maka"", ""Ann Hui"", ""His Name Is Nobody"", ""The Spooky Bunch"", ""My Name Is Nobody""]","[19, 3, 2, 0]","[""Karl Maka"", ""Ann Hui"", ""His Name Is Nobody"", ""The Spooky Bunch""]","[3, 19]","[""Ann Hui"", ""Karl Maka""]"
2Wiki,2wikimultihopqa,217,"Which film has the director born earlier, The Spooky Bunch or His Name Is Nobody?",Karl Maka,gold_recovered_by_dbec_final,1,[19],19,0,1,1,1,2,4,4,2,0.0,1.0,1.0,"[0, 2, 1, 3, 4]","[""The Spooky Bunch"", ""His Name Is Nobody"", ""My Name Is Nobody"", ""Ann Hui"", ""Encounters of the Spooky Kind""]","[19, 3, 2, 0, 1]","[""Karl Maka"", ""Ann Hui"", ""His Name Is Nobody"", ""The Spooky Bunch"", ""My Name Is Nobody""]","[19, 3, 2, 0]","[""Karl Maka"", ""Ann Hui"", ""His Name Is Nobody"", ""The Spooky Bunch""]","[3, 19]","[""Ann Hui"", ""Karl Maka""]"
2Wiki,2wikimultihopqa,218,Do both films: Racing Extinction and Madame Butterfly (1995 Film) have the directors from the same country?,Frédéric Mitterrand,gold_in_binding_candidates_not_selected,1,[44],44,0,1,0,0,3,4,4,2,1.0,1.0,0.0,"[0, 1, 3, 2, 4]","[""Racing Extinction"", ""Madame Butterfly (1995 film)"", ""David Hannan"", ""Louie Psihoyos"", ""Harakiri (1919 film)""]","[1, 2, 0, 3, 4]","[""Madame Butterfly (1995 film)"", ""Louie Psihoyos"", ""Racing Extinction"", ""David Hannan"", ""Harakiri (1919 film)""]","[1, 2, 0]","[""Madame Butterfly (1995 film)"", ""Louie Psihoyos"", ""Racing Extinction""]","[2, 44, 1, 4]","[""Louie Psihoyos"", ""Frédéric Mitterrand"", ""Madame Butterfly (1995 film)"", ""Harakiri (1919 film)""]"
2Wiki,2wikimultihopqa,218,Do both films: Racing Extinction and Madame Butterfly (1995 Film) have the directors from the same country?,Louie Psihoyos,gold_recovered_by_dbec_final,1,[2],2,1,1,1,1,3,4,4,2,1.0,1.0,0.0,"[0, 1, 3, 2, 4]","[""Racing Extinction"", ""Madame Butterfly (1995 film)"", ""David Hannan"", ""Louie Psihoyos"", ""Harakiri (1919 film)""]","[1, 2, 0, 3, 4]","[""Madame Butterfly (1995 film)"", ""Louie Psihoyos"", ""Racing Extinction"", ""David Hannan"", ""Harakiri (1919 film)""]","[1, 2, 0]","[""Madame Butterfly (1995 film)"", ""Louie Psihoyos"", ""Racing Extinction""]","[2, 44, 1, 4]","[""Louie Psihoyos"", ""Frédéric Mitterrand"", ""Madame Butterfly (1995 film)"", ""Harakiri (1919 film)""]"
2Wiki,2wikimultihopqa,222,"Which film has the director born first, La Mazurka Del Barone, Della Santa E Del Fico Fiorone or Safe (2012 Film)?",Pupi Avati,gold_recovered_by_dbec_final,1,[20],20,0,1,1,1,2,4,4,2,1.0,1.0,0.0,"[2, 0, 1, 3, 4]","[""La mazurka del barone, della santa e del fico fiorone"", ""Boaz Yakin"", ""Safe (2012 film)"", ""Safe Haven (film)"", ""Ann Hui""]","[13, 20, 25, 1, 2]","[""Lasse Hallström"", ""Pupi Avati"", ""Dugès"", ""Safe (2012 film)"", ""La mazurka del barone, della santa e del fico fiorone""]","[13, 20, 25, 1, 2]","[""Lasse Hallström"", ""Pupi Avati"", ""Dugès"", ""Safe (2012 film)"", ""La mazurka del barone, della santa e del fico fiorone""]","[20, 0, 13]","[""Pupi Avati"", ""Boaz Yakin"", ""Lasse Hallström""]"
2Wiki,2wikimultihopqa,222,"Which film has the director born first, La Mazurka Del Barone, Della Santa E Del Fico Fiorone or Safe (2012 Film)?",Safe (2012 film),gold_recovered_by_dbec_final,1,[1],1,1,0,1,1,2,4,4,2,1.0,1.0,0.0,"[2, 0, 1, 3, 4]","[""La mazurka del barone, della santa e del fico fiorone"", ""Boaz Yakin"", ""Safe (2012 film)"", ""Safe Haven (film)"", ""Ann Hui""]","[13, 20, 25, 1, 2]","[""Lasse Hallström"", ""Pupi Avati"", ""Dugès"", ""Safe (2012 film)"", ""La mazurka del barone, della santa e del fico fiorone""]","[13, 20, 25, 1, 2]","[""Lasse Hallström"", ""Pupi Avati"", ""Dugès"", ""Safe (2012 film)"", ""La mazurka del barone, della santa e del fico fiorone""]","[20, 0, 13]","[""Pupi Avati"", ""Boaz Yakin"", ""Lasse Hallström""]"
2Wiki,2wikimultihopqa,225,"Which film has the director who died first, Karin Daughter Of Ingmar or The Man In The Trunk?",The Man in the Trunk,gold_recovered_by_dbec_final,1,[0],0,1,0,1,1,2,4,4,2,1.0,1.0,0.0,"[1, 3, 0, 2, 4]","[""Karin Daughter of Ingmar"", ""Malcolm St. Clair (filmmaker)"", ""The Man in the Trunk"", ""Sons of Ingmar"", ""Albert Lewin""]","[6, 3, 1, 0, 2]","[""Victor Sjöström"", ""Malcolm St. Clair (filmmaker)"", ""Karin Daughter of Ingmar"", ""The Man in the Trunk"", ""Sons of Ingmar""]","[6, 3, 1, 0]","[""Victor Sjöström"", ""Malcolm St. Clair (filmmaker)"", ""Karin Daughter of Ingmar"", ""The Man in the Trunk""]","[6, 3]","[""Victor Sjöström"", ""Malcolm St. Clair (filmmaker)""]"
2Wiki,2wikimultihopqa,225,"Which film has the director who died first, Karin Daughter Of Ingmar or The Man In The Trunk?",Victor Sjöström,gold_recovered_by_dbec_final,1,[6],6,0,1,1,1,2,4,4,2,1.0,1.0,0.0,"[1, 3, 0, 2, 4]","[""Karin Daughter of Ingmar"", ""Malcolm St. Clair (filmmaker)"", ""The Man in the Trunk"", ""Sons of Ingmar"", ""Albert Lewin""]","[6, 3, 1, 0, 2]","[""Victor Sjöström"", ""Malcolm St. Clair (filmmaker)"", ""Karin Daughter of Ingmar"", ""The Man in the Trunk"", ""Sons of Ingmar""]","[6, 3, 1, 0]","[""Victor Sjöström"", ""Malcolm St. Clair (filmmaker)"", ""Karin Daughter of Ingmar"", ""The Man in the Trunk""]","[6, 3]","[""Victor Sjöström"", ""Malcolm St. Clair (filmmaker)""]"
