dataset,query_index,split,strong_label,daec_f1,nobind_f1,daec_em,nobind_em,delta_f1_daec_minus_nobind,delta_em_daec_minus_nobind,alias_match_rate,avg_candidate_title_occurrences,bind_conf_candidate_coverage,bind_conf_candidate_simplicity,bind_conf_composite_primary,bind_conf_composite_with_margin_diagnostic,bind_conf_margin_diagnostic,bind_conf_match_quality,bind_conf_single_candidate_rate,bind_conf_title_unique,binding_count,binding_count_unpruned,candidate_count_max,candidate_count_mean,candidate_count_total,candidate_coverage,candidate_req_count,dep_margin_mean_diagnostic,dep_margin_min_diagnostic,dep_score_top1_mean_diagnostic,dependent_req_count,duplicate_entity_count,empty_entity_responses,empty_response_rate,exactish_match_rate,extraction_count,low_ambiguity,match_rate,matched_entity_count,max_dependency_depth,multi_candidate_rate,multi_candidate_req_count,raw_entity_count,requirement_count,single_candidate_rate,single_candidate_req_count,skipped_anchor_count,title_nonunique_rate,title_unique_rate,unmatched_entity_count,unmatched_rate,question
2Wiki,10,test,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1.0,0.5,0.7,0.6248754,0.324377,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.324377,0.324377,1.0,1.0,0.0,3.0,0.6,0.5,5.0,0.5,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,What is the place of birth of the director of film Gaby: A True Story?
2Wiki,11,test,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.8,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,Are Vasilyevsky Island and Preobrazheniya Island located in the same country?
2Wiki,12,test,ignore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,0.8,1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,What nationality is the performer of song When The Stars Go Blue?
2Wiki,13,test,ignore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.5,0.5333333333333333,0.4266666666666667,0.0,0.16666666666666669,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,0.4,1.0,5.0,0.5,0.09523809523809523,2.0,1.0,1.0,1.0,21.0,2.0,0.0,0.0,0.0,0.0,1.0,16.0,0.7619047619047619,Who is the child of the performer of song Me And Bobby Mcgee?
2Wiki,14,test,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,1,1.0,0.3333333333333333,0.5041666666666667,0.47007373333333335,0.33370200000000005,0.1875,0.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.33370200000000005,0.33370200000000005,1.0,1.0,0.0,2.0,0.4,0.3333333333333333,5.0,0.3333333333333333,0.1875,3.0,1.0,1.0,1.0,16.0,2.0,0.0,0.0,0.0,0.0,1.0,13.0,0.8125,"Where was the place of death of Maurice, Prince Of Orange's father?"
2Wiki,15,test,ignore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.9,0.9200000000000002,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.88321,1.0,0.0,3.0,0.6,1.0,5.0,1.0,0.5,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,Which country Aleksander Koniecpolski (1620–1659)'s father is from?
2Wiki,16,test,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1.0,0.5,0.7,0.6034413999999999,0.21720700000000004,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.21720700000000004,0.21720700000000004,1.0,1.0,0.0,3.0,0.6,1.0,5.0,0.5,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,What is the date of death of the director of film Madame La Presidente?
2Wiki,17,dev,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1.0,1.0,0.9666666666666667,0.9733333333333334,1.0,0.8333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,7.0,0.7,1.0,10.0,1.0,0.6666666666666666,2.0,1.0,0.0,0.0,3.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,Do both directors of films Wrong Turn 5: Bloodlines and Dark River (2017 Film) have the same nationality?
2Wiki,18,test,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1.0,1.0,0.88,0.9040000000000001,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,6.0,0.6,1.0,10.0,1.0,0.4,2.0,1.0,0.0,0.0,5.0,4.0,1.0,2.0,0.0,0.0,1.0,3.0,0.6,"Which film has the director who died first, The Goose Woman or You Can No Longer Remain Silent?"
2Wiki,19,test,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,0.8,1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Where was the director of film The Private Life Of Cinema born?
2Wiki,20,test,ignore,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.5,0.7,0.5599999999999999,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.8,0.0,5.0,0.5,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Where did Coulson Wallop's father study?
2Wiki,21,test,ignore,0.3333,0.6667,0.0,0.0,-0.3334,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,0.8,1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Why did John Middleton Murry's wife die?
2Wiki,22,test,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1.0,1.0,0.9,0.9200000000000002,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,0.6,1.0,5.0,1.0,0.5,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,Where was the composer of film Billy Elliot born?
2Wiki,23,test,ignore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,0.8,1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,What is the place of birth of Lisbeth Palme's husband?
2Wiki,24,dev,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.8,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,"Which film came out first, 3 Dots or Dying God?"
2Wiki,25,test,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,0.8,1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Who is the father-in-law of Sisowath Kossamak?
2Wiki,26,test,bind_helpful,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,8.0,0.8,1.0,10.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,Who is Mugain's mother-in-law?
2Wiki,27,test,ignore,0.6667,0.5,0.0,0.0,0.16669999999999996,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.968482,1.0,0.0,4.0,0.8,1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Where did Theodore Salisbury Woolsey's father study?
2Wiki,28,dev,ignore,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.9,0.9200000000000002,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,0.6,1.0,5.0,1.0,0.3333333333333333,1.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.3333333333333333,What is the place of birth of the director of film The Return Of Swamp Thing?
2Wiki,29,dev,abstain_helpful,0.0,0.6667,0.0,0.0,-0.6667,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.939928,1.0,0.0,4.0,0.8,1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Where was the place of death of the performer of song I Can'T See Myself Leaving You?
2Wiki,30,test,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,8.0,0.8,0.5,10.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,"Which film has the director who was born later, Playing It Wild or I'Ll Be Going Now?"
2Wiki,31,test,ignore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.5,0.6333333333333333,0.5077508666666667,0.005421000000000009,0.6666666666666667,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.005421000000000009,0.005421000000000009,0.922813,1.0,0.0,2.0,0.4,1.0,5.0,0.5,0.6666666666666666,2.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,"What nationality is Beatrice I, Countess Of Burgundy's husband?"
2Wiki,32,test,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,8.0,0.8,1.0,10.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,"Which film has the director born later, Christ Walking On The Water or 45 Fathers?"
2Wiki,33,test,bind_helpful,0.5,0.0,0.0,0.0,0.5,0.0,1.0,2,1.0,1.0,0.7,0.76,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.665883,1.0,0.0,3.0,0.6,0.0,5.0,1.0,0.5,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5,Where was the performer of song Come Dance With Me (Song) born?
2Wiki,34,dev,ignore,0.2857,0.0,0.0,0.0,0.2857,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,0.8,0.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Where does the director of film Talk About A Stranger work at?
2Wiki,35,dev,ignore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.8,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,"Who was born later, Gideon Johnson Pillow or Holm Jølsen?"
2Wiki,36,dev,ignore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.3333333333333333,0.6666666666666666,0.5603025333333334,0.13484600000000002,1.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.13484600000000002,0.13484600000000002,1.0,1.0,0.0,2.0,0.4,1.0,5.0,0.3333333333333333,1.0,3.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,What is the place of birth of the composer of film Inherent Vice (Film)?
2Wiki,37,test,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,8.0,0.8,1.0,10.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,"Which film whose director is younger, Dangerously They Live or Salad By The Roots?"
2Wiki,38,test,ignore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,0.8,1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Where did Sylvia Burka's husband die?
2Wiki,39,test,ignore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333334,0.026666666666666672,0.0,0.16666666666666669,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.8,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.6666666666666666,"Who lived longer, Ludwig Elsbett or Pamela Ann Rymer?"
2Wiki,40,test,ignore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,1.0,0.6666666666666666,0.7333333333333334,1.0,0.33333333333333337,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,8.0,0.8,1.0,10.0,1.0,0.3333333333333333,1.0,1.0,0.0,0.0,3.0,4.0,0.5,1.0,0.0,0.0,1.0,2.0,0.6666666666666666,"Which film whose director is younger, Phalitamsha or Gladiators Seven?"
2Wiki,41,test,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,8.0,0.8,1.0,10.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,"Which film has the director who was born later, Henry Goes Arizona or The Blue Collar Worker And The Hairdresser In A Whirl Of Sex And Politics?"
2Wiki,42,test,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.8,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,"Who was born first, Hywel Teifi Edwards or Felix Schuster?"
2Wiki,43,test,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.5,1.0,0.7,0.76,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,8.0,0.8,1.0,10.0,1.0,0.5,1.0,1.0,0.0,0.0,2.0,4.0,0.5,1.0,0.0,0.0,1.0,1.0,0.5,"Which film has the director who was born first, Tombstone Rashomon or Waiting For The Clouds?"
2Wiki,44,test,ignore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.5,0.55,0.44000000000000006,0.0,0.25,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.8,0.5,5.0,0.5,0.25,2.0,1.0,1.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.75,Where was the performer of song B Boy (Song) detained?
2Wiki,45,dev,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1.0,1.0,0.94,0.952,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,6.0,0.6,1.0,10.0,1.0,0.4,2.0,1.0,0.0,0.0,5.0,4.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,"Which film has the director who was born later, Illusions (1982 Film) or It'S A Wonderful Afterlife?"
2Wiki,46,test,ignore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.8,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,"Are both movies, Naked Tango and Algiers (Film), from the same country?"
2Wiki,47,test,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.8,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,"Who lived longer, Sir Thomas Wheate, 1St Baronet or Albert Édouard Le Brethon De Caligny?"
2Wiki,48,test,ignore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.2,0.64,0.5624328000000001,0.25216400000000005,1.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.25216400000000005,0.25216400000000005,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.2,1.0,5.0,1.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Where did the composer of film The Straw Hat die?
2Wiki,49,test,bind_helpful,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,0.8,1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Where does the director of film A Nest Of Noblemen work at?
2Wiki,50,test,ignore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.9,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,"Were both Pietro Salini and Domenico Ravenna, born in the same place?"
2Wiki,51,test,ignore,0.2222,0.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.08000000000000002,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Who is the father-in-law of John Ernest, Duke Of Saxe-Eisenach?"
2Wiki,52,test,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1.0,1.0,0.9333333333333333,0.9466666666666668,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.6,1.0,5.0,1.0,0.3333333333333333,1.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,Who is the father of the director of film Palo Alto (2013 Film)?
2Wiki,53,test,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,0.8,1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Who is the child of the director of film Los Pagares De Mendieta?
2Wiki,54,test,ignore,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333334,0.026666666666666672,0.0,0.16666666666666669,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.8,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.6666666666666666,"Who lived longer, Hubert Mordek or Levon Ashotovich Grigorian?"
