dataset,subset_dataset,subset_index,query_index,question,gold_doc_count,gold_titles_json,setr_selected_count,setr_em,setr_f1,setr_support_recall,setr_support_complete,setr_support_missing_count,setr_titles_json,dbec_selected_count,dbec_em,dbec_f1,dbec_support_recall,dbec_support_complete,dbec_support_missing_count,dbec_recovered_missing_count,dbec_titles_json,requirement_count,dependent_req_count,selective_binding_decision,rank_fill5_answer,rank_fill5_em,rank_fill5_f1,rank_fill5_empty_answer,rank_fill5_selected_count,rank_fill5_support_hit_count,rank_fill5_support_missing_count,rank_fill5_support_recall,rank_fill5_support_complete,rank_fill5_actual_added_count,rank_fill5_rank_fill_count,rank_fill5_titles_json,oracle_fill5_answer,oracle_fill5_em,oracle_fill5_f1,oracle_fill5_empty_answer,oracle_fill5_selected_count,oracle_fill5_support_hit_count,oracle_fill5_support_missing_count,oracle_fill5_support_recall,oracle_fill5_support_complete,oracle_fill5_actual_added_count,oracle_fill5_rank_fill_count,oracle_fill5_titles_json,dbec_repair_fill5_answer,dbec_repair_fill5_em,dbec_repair_fill5_f1,dbec_repair_fill5_empty_answer,dbec_repair_fill5_selected_count,dbec_repair_fill5_support_hit_count,dbec_repair_fill5_support_missing_count,dbec_repair_fill5_support_recall,dbec_repair_fill5_support_complete,dbec_repair_fill5_actual_added_count,dbec_repair_fill5_rank_fill_count,dbec_repair_fill5_titles_json
2Wiki,2wikimultihopqa_dbec_cf_underselect_20260507,10,111,"Which film has the director who is older than the other, The Lone Prairie or Buckaroo From Powder River?",4,"[""The Lone Prairie"", ""Ray Nazarro"", ""Buckaroo from Powder River"", ""William Berke""]",3,0.0,0.0,0.75,0,1,"[""The Lone Prairie"", ""Buckaroo from Powder River"", ""Ray Nazarro""]",5,1.0,1.0,0.75,0,1,0,"[""Henry Hathaway"", ""Ray Taylor (director)"", ""The Lone Prairie"", ""Buckaroo from Powder River"", ""Ray Nazarro""]",4,2,bind,The Lone Prairie.,0.0,0.0,0,5,3,1,0.75,0,2,2,"[""The Lone Prairie"", ""Buckaroo from Powder River"", ""Ray Nazarro"", ""Texans Never Cry"", ""Robin Hood of the Range""]",Buckaroo from Powder River.,1.0,1.0,0,5,4,0,1.0,1,2,1,"[""The Lone Prairie"", ""Buckaroo from Powder River"", ""Ray Nazarro"", ""William Berke"", ""Texans Never Cry""]",Neither.,0.0,0.0,0,5,3,1,0.75,0,2,0,"[""The Lone Prairie"", ""Buckaroo from Powder River"", ""Ray Nazarro"", ""Henry Hathaway"", ""Ray Taylor (director)""]"
2Wiki,2wikimultihopqa_dbec_cf_underselect_20260507,11,121,"Which film has the director who died first, Haiducii (Film) or My Wife'S Best Friend?",4,"[""Dinu Cocea"", ""Haiducii (film)"", ""Richard Sale (director)"", ""My Wife's Best Friend""]",3,1.0,1.0,0.75,0,1,"[""Haiducii (film)"", ""Dinu Cocea"", ""Richard Sale (director)""]",5,1.0,1.0,1.0,1,0,1,"[""Fadil Hadžić"", ""Richard Sale (director)"", ""Haiducii (film)"", ""My Wife's Best Friend"", ""Dinu Cocea""]",4,2,bind,My Wife's Best Friend.,1.0,1.0,0,5,4,0,1.0,1,2,2,"[""Haiducii (film)"", ""Dinu Cocea"", ""Richard Sale (director)"", ""My Wife's Best Friend"", ""Les amies de ma femme""]",My Wife's Best Friend.,1.0,1.0,0,5,4,0,1.0,1,2,1,"[""Haiducii (film)"", ""Dinu Cocea"", ""Richard Sale (director)"", ""My Wife's Best Friend"", ""Les amies de ma femme""]",My Wife's Best Friend.,1.0,1.0,0,5,4,0,1.0,1,2,0,"[""Haiducii (film)"", ""Dinu Cocea"", ""Richard Sale (director)"", ""Fadil Hadžić"", ""My Wife's Best Friend""]"
2Wiki,2wikimultihopqa_dbec_cf_underselect_20260507,12,125,"Which film whose director was born first, Last Tango In Paris or Beasts Of Prey?",4,"[""Bernardo Bertolucci"", ""Last Tango in Paris"", ""Beasts of Prey"", ""Kim Ki-young""]",3,1.0,1.0,0.75,0,1,"[""Beasts of Prey"", ""Last Tango in Paris"", ""Bernardo Bertolucci""]",5,1.0,1.0,1.0,1,0,1,"[""Bernardo Bertolucci"", ""Kim Ki-young"", ""Beasts of Prey"", ""Last Tango in Paris"", ""The Last Tango""]",4,2,bind,Beasts Of Prey.,1.0,1.0,0,5,3,1,0.75,0,2,2,"[""Beasts of Prey"", ""Last Tango in Paris"", ""Bernardo Bertolucci"", ""The Last Tango"", ""William Friedkin""]",Beasts Of Prey.,1.0,1.0,0,5,4,0,1.0,1,2,1,"[""Beasts of Prey"", ""Last Tango in Paris"", ""Bernardo Bertolucci"", ""Kim Ki-young"", ""The Last Tango""]",Beasts Of Prey.,1.0,1.0,0,5,4,0,1.0,1,2,0,"[""Beasts of Prey"", ""Last Tango in Paris"", ""Bernardo Bertolucci"", ""Kim Ki-young"", ""The Last Tango""]"
2Wiki,2wikimultihopqa_dbec_cf_underselect_20260507,13,140,Do both Possession (1922 Film) and La Boum films have the directors from the same country?,4,"[""Claude Pinoteau"", ""La Boum"", ""Louis Mercanton"", ""Possession (1922 film)""]",3,0.0,0.0,0.75,0,1,"[""Possession (1922 film)"", ""Louis Mercanton"", ""La Boum""]",5,0.0,0.0,1.0,1,0,1,"[""Claude Pinoteau"", ""Louis Mercanton"", ""Possession (1922 film)"", ""La Boum"", ""La Boum 2""]",4,2,bind,No.,0.0,0.0,0,5,4,0,1.0,1,2,2,"[""Possession (1922 film)"", ""Louis Mercanton"", ""La Boum"", ""Claude Pinoteau"", ""La Boum 2""]",No.,0.0,0.0,0,5,4,0,1.0,1,2,1,"[""Possession (1922 film)"", ""Louis Mercanton"", ""La Boum"", ""Claude Pinoteau"", ""La Boum 2""]",No.,0.0,0.0,0,5,4,0,1.0,1,2,0,"[""Possession (1922 film)"", ""Louis Mercanton"", ""La Boum"", ""Claude Pinoteau"", ""La Boum 2""]"
2Wiki,2wikimultihopqa_dbec_cf_underselect_20260507,14,143,"Which film has the director who is older than the other, Goopy Gyne Bagha Byne or Halloween Kills?",4,"[""Goopy Gyne Bagha Byne"", ""Satyajit Ray"", ""Halloween Kills"", ""David Gordon Green""]",3,1.0,1.0,0.75,0,1,"[""Goopy Gyne Bagha Byne"", ""Halloween Kills"", ""David Gordon Green""]",5,1.0,1.0,1.0,1,0,1,"[""David Gordon Green"", ""Satyajit Ray"", ""Goopy Bagha Phire Elo"", ""Halloween Kills"", ""Goopy Gyne Bagha Byne""]",4,2,bind,Goopy Gyne Bagha Byne.,1.0,1.0,0,5,3,1,0.75,0,2,2,"[""Goopy Gyne Bagha Byne"", ""Halloween Kills"", ""David Gordon Green"", ""Goopi Gawaiya Bagha Bajaiya"", ""Hirak Rajar Deshe""]",Goopy Gyne Bagha Byne.,1.0,1.0,0,5,4,0,1.0,1,2,1,"[""Goopy Gyne Bagha Byne"", ""Halloween Kills"", ""David Gordon Green"", ""Satyajit Ray"", ""Goopi Gawaiya Bagha Bajaiya""]",Goopy Gyne Bagha Byne.,1.0,1.0,0,5,4,0,1.0,1,2,0,"[""Goopy Gyne Bagha Byne"", ""Halloween Kills"", ""David Gordon Green"", ""Satyajit Ray"", ""Goopy Bagha Phire Elo""]"
2Wiki,2wikimultihopqa_dbec_cf_underselect_20260507,15,149,"Which film whose director is younger, Forbidden Ground or Free Guy?",4,"[""Free Guy"", ""Forbidden Ground"", ""Pál Gábor"", ""Shawn Levy""]",3,1.0,1.0,0.75,0,1,"[""Forbidden Ground (2013 film)"", ""Free Guy"", ""Shawn Levy""]",5,1.0,1.0,0.75,0,1,0,"[""Ian Barry (director)"", ""Shawn Levy"", ""Forbidden Ground"", ""Free Guy"", ""Forbidden Ground (2013 film)""]",4,2,bind,Free Guy.,1.0,1.0,0,5,3,1,0.75,0,2,2,"[""Forbidden Ground (2013 film)"", ""Free Guy"", ""Shawn Levy"", ""Forbidden Ground"", ""Martin Copping""]",Free Guy.,1.0,1.0,0,5,4,0,1.0,1,2,1,"[""Forbidden Ground (2013 film)"", ""Free Guy"", ""Shawn Levy"", ""Pál Gábor"", ""Forbidden Ground""]",Free Guy.,1.0,1.0,0,5,3,1,0.75,0,2,0,"[""Forbidden Ground (2013 film)"", ""Free Guy"", ""Shawn Levy"", ""Ian Barry (director)"", ""Forbidden Ground""]"
2Wiki,2wikimultihopqa_dbec_cf_underselect_20260507,16,153,"Which film whose director is younger, Before The Bat'S Flight Is Done or Agar Tum Na Hote?",4,"[""Before the Bat's Flight Is Done"", ""Péter Tímár"", ""Lekh Tandon"", ""Agar Tum Na Hote""]",3,1.0,1.0,0.75,0,1,"[""Péter Tímár"", ""Lekh Tandon"", ""Agar Tum Na Hote""]",5,1.0,1.0,1.0,1,0,1,"[""Péter Tímár"", ""Lekh Tandon"", ""Before the Bat's Flight Is Done"", ""Agar Tum Na Hote"", ""Before Sunset""]",4,2,bind,Before the Bat's Flight Is Done.,1.0,1.0,0,5,4,0,1.0,1,2,2,"[""Péter Tímár"", ""Lekh Tandon"", ""Agar Tum Na Hote"", ""Before the Bat's Flight Is Done"", ""Before Sunset""]",Before the Bat's Flight Is Done.,1.0,1.0,0,5,4,0,1.0,1,2,1,"[""Péter Tímár"", ""Lekh Tandon"", ""Agar Tum Na Hote"", ""Before the Bat's Flight Is Done"", ""Before Sunset""]",Before the Bat's Flight Is Done.,1.0,1.0,0,5,4,0,1.0,1,2,0,"[""Péter Tímár"", ""Lekh Tandon"", ""Agar Tum Na Hote"", ""Before the Bat's Flight Is Done"", ""Before Sunset""]"
2Wiki,2wikimultihopqa_dbec_cf_underselect_20260507,17,180,"Which film has the director born later, Diary Of A Maniac or Return Of The Hero?",4,"[""Marco Ferreri"", ""Return of the Hero"", ""Laurent Tirard"", ""Diary of a Maniac""]",3,1.0,1.0,0.75,0,1,"[""Return of the Hero"", ""Diary of a Maniac"", ""Laurent Tirard""]",5,1.0,1.0,1.0,1,0,1,"[""Laurent Tirard"", ""Marco Ferreri"", ""Diary of a Maniac"", ""Return of the Hero"", ""Édouard Niermans (director)""]",4,2,bind,Return Of The Hero.,1.0,1.0,0,5,4,0,1.0,1,2,2,"[""Return of the Hero"", ""Diary of a Maniac"", ""Laurent Tirard"", ""Marco Ferreri"", ""Édouard Niermans (director)""]",Return Of The Hero.,1.0,1.0,0,5,4,0,1.0,1,2,1,"[""Return of the Hero"", ""Diary of a Maniac"", ""Laurent Tirard"", ""Marco Ferreri"", ""Édouard Niermans (director)""]",Return Of The Hero.,1.0,1.0,0,5,4,0,1.0,1,2,0,"[""Return of the Hero"", ""Diary of a Maniac"", ""Laurent Tirard"", ""Marco Ferreri"", ""Édouard Niermans (director)""]"
2Wiki,2wikimultihopqa_dbec_cf_underselect_20260507,18,181,"Which film has the director died later, Dahleez or The Lights Of Buenos Aires?",4,"[""The Lights of Buenos Aires"", ""Dahleez"", ""Ravi Chopra"", ""Adelqui Migliar""]",3,0.0,0.0,0.75,0,1,"[""The Lights of Buenos Aires"", ""Adelqui Migliar"", ""Ravi Chopra""]",5,1.0,1.0,1.0,1,0,1,"[""The Lights of Buenos Aires"", ""Ravi Chopra"", ""Dahleez"", ""Adelqui Migliar"", ""Manuel Romero""]",4,2,bind,Dahleez.,1.0,1.0,0,5,4,0,1.0,1,2,2,"[""The Lights of Buenos Aires"", ""Adelqui Migliar"", ""Ravi Chopra"", ""Dahleez"", ""Manuel Romero""]",Dahleez.,1.0,1.0,0,5,4,0,1.0,1,2,1,"[""The Lights of Buenos Aires"", ""Adelqui Migliar"", ""Ravi Chopra"", ""Dahleez"", ""Manuel Romero""]",Dahleez.,1.0,1.0,0,5,4,0,1.0,1,2,0,"[""The Lights of Buenos Aires"", ""Adelqui Migliar"", ""Ravi Chopra"", ""Dahleez"", ""Manuel Romero""]"
2Wiki,2wikimultihopqa_dbec_cf_underselect_20260507,19,199,"Which film has the director who was born later, Tarzan'S Hidden Jungle or The Brink'S Job?",4,"[""Tarzan's Hidden Jungle"", ""Harold D. Schuster"", ""The Brink's Job"", ""William Friedkin""]",2,0.0,0.0,0.5,0,2,"[""Tarzan's Hidden Jungle"", ""The Brink's Job""]",5,1.0,1.0,1.0,1,0,2,"[""William Friedkin"", ""Harold D. Schuster"", ""Tarzan's Hidden Jungle"", ""The Brink's Job"", ""The Son of Tarzan (film)""]",4,2,bind,Cannot be determined.,0.0,0.0,0,5,2,2,0.5,0,3,3,"[""Tarzan's Hidden Jungle"", ""The Brink's Job"", ""The Son of Tarzan (film)"", ""The Revenge of Tarzan"", ""The Romance of Tarzan""]",The Brink's Job.,1.0,1.0,0,5,4,0,1.0,1,3,1,"[""Tarzan's Hidden Jungle"", ""The Brink's Job"", ""Harold D. Schuster"", ""William Friedkin"", ""The Son of Tarzan (film)""]",The Brink's Job.,1.0,1.0,0,5,4,0,1.0,1,3,0,"[""Tarzan's Hidden Jungle"", ""The Brink's Job"", ""William Friedkin"", ""Harold D. Schuster"", ""The Son of Tarzan (film)""]"
2Wiki,2wikimultihopqa_dbec_cf_underselect_20260507,20,202,Are the directors of films C-Man (Film) and Greencastle (Film) both from the same country?,4,"[""Joseph Lerner"", ""C-Man (film)"", ""Koran Dunbar"", ""Greencastle (film)""]",3,0.0,0.0,0.75,0,1,"[""C-Man (film)"", ""Greencastle (film)"", ""Koran Dunbar""]",5,1.0,1.0,1.0,1,0,1,"[""Ian Barry (director)"", ""Koran Dunbar"", ""Greencastle (film)"", ""C-Man (film)"", ""Joseph Lerner""]",4,2,bind,No.,1.0,1.0,0,5,4,0,1.0,1,2,2,"[""C-Man (film)"", ""Greencastle (film)"", ""Koran Dunbar"", ""Joseph Lerner"", ""Peter Greenaway""]",No.,1.0,1.0,0,5,4,0,1.0,1,2,1,"[""C-Man (film)"", ""Greencastle (film)"", ""Koran Dunbar"", ""Joseph Lerner"", ""Peter Greenaway""]",No.,1.0,1.0,0,5,4,0,1.0,1,2,0,"[""C-Man (film)"", ""Greencastle (film)"", ""Koran Dunbar"", ""Ian Barry (director)"", ""Joseph Lerner""]"
