query_index,question,gold_titles,gold_doc_indices,etv3_top5_titles,stable_top5_titles,missing_gold_count_after_stable,missing_gold_titles_after_stable,stable_f1,stable_em,etv3_f1,etv3_em,etv3_reader10_f1,stable_dbec_reader10_f1,conservative_dbec_f1,etv3_qa_f1,all_missing_in_pool100,all_missing_in_candidate200,all_missing_in_stable_reader10,all_missing_state_bindable_proxy,any_missing_state_bindable_proxy,all_missing_positive_dbec_signal,any_missing_positive_dbec_signal,binding_candidate_titles,selected_binding_titles,binding_wrong_branch_proxy,near_title_substitution_proxy,selected_non_gold_titles,safe_decision,safe_rebuild_titles,safe_swap_count,primary_bucket
55,When was the region immediately north of the region where Israel is located and the site of the most growth in desalination for agricultural use established?,Israel || Water resources || Saudi Arabia || Geography of Saudi Arabia,"[112, 104, 1029, 1031]",Water resources || Montana || Israel || Israel || History of Israel,Water resources || Kingdom of Israel (united monarchy) || Judea (Roman province) || Israel || History of Israel,3,Geography of Saudi Arabia || Israel || Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,,,False,True,Kingdom of Israel (united monarchy) || Judea (Roman province) || Israel || History of Israel,minimal_edit_applied,History of Israel || Water resources || Israel || Kingdom of Israel (united monarchy) || Judea (Roman province),2,C_outside_dbec_pool100_inside_candidate200
56,An Indy car race was held in the capital of the state where the performer of Mingus Plays Piano was born. Who won the race?,Arizona || Desert Diamond West Valley Phoenix Grand Prix || Charles Mingus || Mingus Plays Piano,"[1036, 1042, 962, 959]",Mingus Plays Piano || Charles Mingus || Indiana || Logan Gomez || 2018 Indianapolis 500,"Mingus Plays Piano || Charles Mingus || Saint Paul, Minnesota || Oh Yeah (Charles Mingus album) || 2018 Indianapolis 500",2,Arizona || Desert Diamond West Valley Phoenix Grand Prix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,True,False,False,"Charles Mingus || Charles Mingus || United States || Arizona || Saint Paul, Minnesota","Charles Mingus || Saint Paul, Minnesota || United States || Arizona",True,False,"Saint Paul, Minnesota || Oh Yeah (Charles Mingus album) || 2018 Indianapolis 500",minimal_edit_applied,"Charles Mingus || Saint Paul, Minnesota || Mingus Plays Piano || Oh Yeah (Charles Mingus album)",2,A_partial_binding_or_objective_signal
59,Where is the district that the person who wanted to reform and address John Kodwo Amissah's religion preached a sermon on Marian devotion before his death located?,"Reformation || Wittenberg (district) || John Kodwo Amissah || Mary, mother of Jesus","[1088, 1092, 1099, 1100]","John Kodwo Amissah || Ambroise-Marie Carré || Mary, mother of Jesus || Henry Scott Holland || John Kerry","John Kodwo Amissah || Ambroise-Marie Carré || Mary, mother of Jesus || Henry Scott Holland || John Kerry",2,Reformation || Wittenberg (district),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,,,False,False,Ambroise-Marie Carré || Henry Scott Holland || John Kerry,fallback_no_eligible_swap,"John Kodwo Amissah || Mary, mother of Jesus",0,B_calibration_or_unmodeled_state
69,Who won the Indy Car Race in the largest populated city of the state where the performer of Mingus Plays Piano is from?,"Charles Mingus || Desert Diamond West Valley Phoenix Grand Prix || Tucson, Arizona || Mingus Plays Piano","[951, 962, 1042, 959]","Mingus Plays Piano || A Modern Jazz Symposium of Music and Poetry || Indiana || Charles Mingus || Saint Paul, Minnesota","Mingus Plays Piano || United States || Oklahoma City || Charles Mingus || Saint Paul, Minnesota",2,"Tucson, Arizona || Desert Diamond West Valley Phoenix Grand Prix",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,Charles Mingus || United States || Arizona || Oklahoma City || Minneapolis,Charles Mingus || United States || Oklahoma City || Minneapolis || Arizona,True,False,"United States || Oklahoma City || Saint Paul, Minnesota",minimal_edit_applied,Oh Yeah (Charles Mingus album) || United States || Oklahoma City || Charles Mingus || Mingus Plays Piano,2,C_outside_dbec_pool100_inside_candidate200
72,Which county shares a border with the county where the most populous city in the state where Washington State Prison can be found is located?,Washington State Prison || List of municipalities in Georgia (U.S. state) || Alpena Power Company || Sno*Drift,"[1280, 1288, 1289, 1294]","Washington State Prison || Warren, Vermont || List of municipalities in Georgia (U.S. state) || Washington (state) || Blaine, Washington","Washington State Prison || Detroit || List of municipalities in Georgia (U.S. state) || Washington (state) || Mecklenburg County, North Carolina",2,Sno*Drift || Alpena Power Company,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,False,False,False,False,False,False,False,"Detroit || Mecklenburg County, North Carolina","Detroit || Mecklenburg County, North Carolina",True,False,"Detroit || Washington (state) || Mecklenburg County, North Carolina",minimal_edit_applied,"Detroit || Mecklenburg County, North Carolina || Washington State Prison || Saint Paul, Minnesota",2,C_missing_from_etv3_candidate200
75,How were people from whom new coins were a proclamation of independence by the Somali Muslim Ajuran Empire expelled from the natural boundary between Thailand and A Don's country?,Geography of Myanmar || A Don || Ottoman Empire || Myanmar,"[235, 1334, 217, 225]",A Don || A Lim || Ottoman Empire || Somalis || Somalis,A Don || A Lim || Ottoman Empire || Somalis,2,Geography of Myanmar || Myanmar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,,,False,False,A Lim || Somalis,fallback_no_eligible_swap,Ottoman Empire,0,C_outside_dbec_pool100_inside_candidate200
77,When did the country with a co-official language used in the film titled after the city that is the final resting place of Tito first attend the Olympics games?,Serbian language || Yugoslavia at the Olympics || Belgrade (film) || Josip Broz Tito,"[1354, 1356, 1362, 1366]",Josip Broz Tito || Josip Broz Tito || Yugoslavia at the Olympics || Albania at the Olympics || The White Suit,Josip Broz Tito || Belgrade (film) || Togo || The White Suit,2,Serbian language || Yugoslavia at the Olympics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,False,False,False,Belgrade (film) || Togo,Belgrade (film) || Togo,True,False,Josip Broz Tito || The White Suit,minimal_edit_applied,Togo || Belgrade (film) || Josip Broz Tito || Southern Europe,2,B_wrong_binding_or_state_extraction
83,How long are the city council terms in the second largest city in the state where Yuma is located?,"Yuma County Library District || Tucson, Arizona || Tucson, Arizona || Yuma, Colorado","[1462, 608, 1465, 1467]","Yuma, Colorado || List of counties in Arizona || Tucson, Arizona || Yuma County Library District || Richmond, Virginia","Yuma, Colorado || Arizona || Tucson, Arizona || Mayor of Jersey City, New Jersey || Richmond, Virginia",2,"Yuma County Library District || Tucson, Arizona",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,"Arizona || Jersey City, New Jersey || Jersey City, New Jersey || San Diego","Arizona || Jersey City, New Jersey || San Diego",True,True,"Arizona || Mayor of Jersey City, New Jersey || Richmond, Virginia",minimal_edit_applied,"Arizona || Mayor of Jersey City, New Jersey || Yuma, Colorado",2,B_wrong_binding_or_state_extraction
87,When was the death penalty abolished in the country near the country where the writer of The Book Thief is a citizen of?,The Messenger (Zusak novel) || 1952 Winter Olympics || The Book Thief (film) || Capital punishment in New Zealand,"[1531, 1534, 1538, 648]",The Book Thief (film) || The Book Thief (film) || Capital punishment in the United States || Capital punishment in the United Kingdom || Capital punishment in the United States,The Book Thief (film) || Capital punishment in the United States || Germany,3,1952 Winter Olympics || The Messenger (Zusak novel) || Capital punishment in New Zealand,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,False,False,False,False,False,False,False,"Germany || United States || Porcupine, North Dakota || Silver Lake (Madison, New Hampshire)","Germany || United States || Porcupine, North Dakota || Silver Lake (Madison, New Hampshire)",True,False,Capital punishment in the United States || Germany,minimal_edit_applied,The Book Thief (film) || Capital punishment in the United States || Germany,1,C_missing_from_etv3_candidate200
91,What county has a city that is adjacent to the capital city of Erskine College's state?,"Charleston, South Carolina || WWNQ || Erskine College || Forest Acres, South Carolina","[1595, 1598, 1601, 1605]","Erskine College–Due West Historic District || United States || Erskine College || Columbia, South Carolina || College Place, Washington","Erskine College–Due West Historic District || Saint Paul, Minnesota || Erskine College || Columbia, South Carolina || College Place, Washington",3,"Forest Acres, South Carolina || Charleston, South Carolina || WWNQ",1.0,1.0,0.4,0.0,1.0,0.6667,1.0,0.4,True,True,False,False,False,False,False,"Columbia, South Carolina || Saint Paul, Minnesota || Mississippi River || Minneapolis || Saint Paul, Minnesota || Minneapolis || Oklahoma City","Columbia, South Carolina || Saint Paul, Minnesota || Minneapolis || Oklahoma City || Mississippi River",True,True,"Erskine College–Due West Historic District || Saint Paul, Minnesota || Columbia, South Carolina || College Place, Washington",minimal_edit_applied,"Saint Paul, Minnesota || Columbia, South Carolina || Erskine College",1,already_answered_by_stable_dbec
94,Who had the lowest batting average in the league where the team with the most games in the series after which the MLB MVP is awarded played?,Batting average || World Series || New York Yankees || Major League Baseball Most Valuable Player Award,"[734, 1654, 745, 737]",Major League Baseball Most Valuable Player Award || History of condoms || Batting average || World Series Most Valuable Player Award || Major League Baseball All-Star Game Most Valuable Player Award,Major League Baseball Most Valuable Player Award || Sports league ranking || World Series || World Series Most Valuable Player Award || Major League Baseball All-Star Game Most Valuable Player Award,3,New York Yankees || Batting average || World Series,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,False,True,False,False,Major League Baseball Most Valuable Player Award || Chicago Cubs || 2017 American League Wild Card Game || New York Yankees,Major League Baseball Most Valuable Player Award || Chicago Cubs || 2017 American League Wild Card Game || New York Yankees,True,True,Sports league ranking || World Series || World Series Most Valuable Player Award || Major League Baseball All-Star Game Most Valuable Player Award,minimal_edit_applied,Major League Baseball Most Valuable Player Award || Sports league ranking || World Series,2,A_partial_binding_or_objective_signal
99,When was the region immediately north of the region where the country in which Aluf can be found is located and the Persian Gulf established?,Saudi Arabia || Chaim Herzog || Israel || Geography of Saudi Arabia,"[1739, 1743, 112, 1031]",Alghanim Industries || Arabian Peninsula || Geography of Saudi Arabia || Partition of the Ottoman Empire || History of Saudi Arabia,Alghanim Industries || Alūksne Municipality || Geography of Saudi Arabia || Partition of the Ottoman Empire || History of Saudi Arabia,3,Chaim Herzog || Israel || Saudi Arabia,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,False,False,False,False,False,False,False,Alūksne Municipality,Alūksne Municipality,True,True,Alghanim Industries || Alūksne Municipality || Partition of the Ottoman Empire || History of Saudi Arabia,minimal_edit_applied,Alūksne Municipality || Alghanim Industries,1,already_answered_by_stable_dbec
