query_index,question,missing_doc_id,missing_title,rank_pool100,rank_candidate200,rank_bucket,in_pool100,in_candidate200,state_bindable_proxy,positive_rebuild_signal,positive_swap_signal,positive_dbec_signal,binding_candidate_doc,binding_candidate_title,selected_binding_title,stable_f1,stable_em,etv3_f1,etv3_em,selected_non_gold_titles,selected_binding_titles,binding_wrong_branch_proxy,near_title_substitution_proxy
24,Who is the child of the Italian navigator who explored the eastern coast of the continent César Gaytan was born in for the English?,474,Paula Santiago,31,31,11-100,True,True,False,False,False,False,False,False,False,1.0,1.0,1.0,1.0,Mexico || Exploration of North America,Mexico || Exploration of North America || John Cabot || Sebastian Cabot (explorer),True,False
30,When did the city where Greenwood Laboratory School is located become capitol of the state where the screenwriter of The Poor Boob was born?,583,The Poor Boob,3,1,top5,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,Missouri || Paris || Indiana,"Hillcrest High School (Springfield, Missouri) || Margaret Mayo (playwright) || Paris || Pierre Bost",True,False
30,When did the city where Greenwood Laboratory School is located become capitol of the state where the screenwriter of The Poor Boob was born?,584,"Springfield, Illinois",12,11,11-100,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,Missouri || Paris || Indiana,"Hillcrest High School (Springfield, Missouri) || Margaret Mayo (playwright) || Paris || Pierre Bost",True,False
33,When was the region immediately north of the region that prevailed with the disgrace of Near East and the terrain feature on which shamal is located created?,102,History of Saudi Arabia,17,16,11-100,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,Middle East || Nilo Syrtis,Middle East,True,False
33,When was the region immediately north of the region that prevailed with the disgrace of Near East and the terrain feature on which shamal is located created?,112,Geography of Saudi Arabia,21,20,11-100,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,Middle East || Nilo Syrtis,Middle East,True,False
39,Who was second pick in the 1999 draft of the league that has a competition where they give out the MLB MVP award after it?,734,New York Yankees,35,35,11-100,True,True,False,False,False,False,False,False,False,1.0,1.0,1.0,1.0,2016 NBA Summer League || Major League Baseball draft || Major League Baseball All-Star Game Most Valuable Player Award,Major League Baseball Most Valuable Player Award || World Series || Major League Baseball All-Star Game Most Valuable Player Award || Willie Mays || Mike Trout,True,False
39,Who was second pick in the 1999 draft of the league that has a competition where they give out the MLB MVP award after it?,737,World Series,62,62,11-100,True,True,True,False,False,False,True,True,True,1.0,1.0,1.0,1.0,2016 NBA Summer League || Major League Baseball draft || Major League Baseball All-Star Game Most Valuable Player Award,Major League Baseball Most Valuable Player Award || World Series || Major League Baseball All-Star Game Most Valuable Player Award || Willie Mays || Mike Trout,True,False
49,How many ethnic minorities were looked at differently in the city where the headquarters of the only group larger than Långa nätter's record label is located?,148,The Right Stuff Records,,128,101-200,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,Burning Heart Records || Jive Records || Miami || Nanjing,Burning Heart Records || Roxy Recordings || Stockholm || Sleaszy Rider Records || New York City,True,False
49,How many ethnic minorities were looked at differently in the city where the headquarters of the only group larger than Långa nätter's record label is located?,929,"Santa Monica, California",9,8,6-10,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,Burning Heart Records || Jive Records || Miami || Nanjing,Burning Heart Records || Roxy Recordings || Stockholm || Sleaszy Rider Records || New York City,True,False
49,How many ethnic minorities were looked at differently in the city where the headquarters of the only group larger than Långa nätter's record label is located?,146,Sony Music,,,missing,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,Burning Heart Records || Jive Records || Miami || Nanjing,Burning Heart Records || Roxy Recordings || Stockholm || Sleaszy Rider Records || New York City,True,False
51,Who won the Indy Car Race in the largest populated city of the state where the performer of Mingus Three is from?,951,"Tucson, Arizona",90,90,11-100,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,United States || Oklahoma City || Logan Gomez,Charles Mingus || United States || Oklahoma City || Minneapolis || Detroit || Arizona,True,False
51,Who won the Indy Car Race in the largest populated city of the state where the performer of Mingus Three is from?,959,Desert Diamond West Valley Phoenix Grand Prix,6,6,6-10,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,United States || Oklahoma City || Logan Gomez,Charles Mingus || United States || Oklahoma City || Minneapolis || Detroit || Arizona,True,False
55,When was the region immediately north of the region where Israel is located and the site of the most growth in desalination for agricultural use established?,112,Geography of Saudi Arabia,20,19,11-100,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,Kingdom of Israel (united monarchy) || Judea (Roman province) || Israel || History of Israel,,False,True
55,When was the region immediately north of the region where Israel is located and the site of the most growth in desalination for agricultural use established?,104,Israel,3,2,top5,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,Kingdom of Israel (united monarchy) || Judea (Roman province) || Israel || History of Israel,,False,True
55,When was the region immediately north of the region where Israel is located and the site of the most growth in desalination for agricultural use established?,1031,Saudi Arabia,,132,101-200,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,Kingdom of Israel (united monarchy) || Judea (Roman province) || Israel || History of Israel,,False,True
56,An Indy car race was held in the capital of the state where the performer of Mingus Plays Piano was born. Who won the race?,1036,Arizona,76,76,11-100,True,True,True,False,False,False,True,True,True,0.0,0.0,0.0,0.0,"Saint Paul, Minnesota || Oh Yeah (Charles Mingus album) || 2018 Indianapolis 500","Charles Mingus || Saint Paul, Minnesota || United States || Arizona",True,False
56,An Indy car race was held in the capital of the state where the performer of Mingus Plays Piano was born. Who won the race?,959,Desert Diamond West Valley Phoenix Grand Prix,6,6,6-10,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,"Saint Paul, Minnesota || Oh Yeah (Charles Mingus album) || 2018 Indianapolis 500","Charles Mingus || Saint Paul, Minnesota || United States || Arizona",True,False
59,Where is the district that the person who wanted to reform and address John Kodwo Amissah's religion preached a sermon on Marian devotion before his death located?,1099,Reformation,6,6,6-10,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,Ambroise-Marie Carré || Henry Scott Holland || John Kerry,,False,False
59,Where is the district that the person who wanted to reform and address John Kodwo Amissah's religion preached a sermon on Marian devotion before his death located?,1100,Wittenberg (district),35,35,11-100,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,Ambroise-Marie Carré || Henry Scott Holland || John Kerry,,False,False
69,Who won the Indy Car Race in the largest populated city of the state where the performer of Mingus Plays Piano is from?,951,"Tucson, Arizona",,101,101-200,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,"United States || Oklahoma City || Saint Paul, Minnesota",Charles Mingus || United States || Oklahoma City || Minneapolis || Arizona,True,False
69,Who won the Indy Car Race in the largest populated city of the state where the performer of Mingus Plays Piano is from?,959,Desert Diamond West Valley Phoenix Grand Prix,9,8,6-10,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,"United States || Oklahoma City || Saint Paul, Minnesota",Charles Mingus || United States || Oklahoma City || Minneapolis || Arizona,True,False
72,Which county shares a border with the county where the most populous city in the state where Washington State Prison can be found is located?,1280,Sno*Drift,35,35,11-100,True,True,False,False,False,False,False,False,False,0.4,0.0,0.0,0.0,"Detroit || Washington (state) || Mecklenburg County, North Carolina","Detroit || Mecklenburg County, North Carolina",True,False
72,Which county shares a border with the county where the most populous city in the state where Washington State Prison can be found is located?,1294,Alpena Power Company,,,missing,False,False,False,False,False,False,False,False,False,0.4,0.0,0.0,0.0,"Detroit || Washington (state) || Mecklenburg County, North Carolina","Detroit || Mecklenburg County, North Carolina",True,False
75,How were people from whom new coins were a proclamation of independence by the Somali Muslim Ajuran Empire expelled from the natural boundary between Thailand and A Don's country?,235,Geography of Myanmar,,134,101-200,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,A Lim || Somalis,,False,False
75,How were people from whom new coins were a proclamation of independence by the Somali Muslim Ajuran Empire expelled from the natural boundary between Thailand and A Don's country?,225,Myanmar,17,16,11-100,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,A Lim || Somalis,,False,False
77,When did the country with a co-official language used in the film titled after the city that is the final resting place of Tito first attend the Olympics games?,1362,Serbian language,8,7,6-10,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,Josip Broz Tito || The White Suit,Belgrade (film) || Togo,True,False
77,When did the country with a co-official language used in the film titled after the city that is the final resting place of Tito first attend the Olympics games?,1366,Yugoslavia at the Olympics,3,2,top5,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,Josip Broz Tito || The White Suit,Belgrade (film) || Togo,True,False
83,How long are the city council terms in the second largest city in the state where Yuma is located?,1462,Yuma County Library District,4,3,top5,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,"Arizona || Mayor of Jersey City, New Jersey || Richmond, Virginia","Arizona || Jersey City, New Jersey || San Diego",True,True
83,How long are the city council terms in the second largest city in the state where Yuma is located?,1465,"Tucson, Arizona",14,13,11-100,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,"Arizona || Mayor of Jersey City, New Jersey || Richmond, Virginia","Arizona || Jersey City, New Jersey || San Diego",True,True
87,When was the death penalty abolished in the country near the country where the writer of The Book Thief is a citizen of?,1531,1952 Winter Olympics,,,missing,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,Capital punishment in the United States || Germany,"Germany || United States || Porcupine, North Dakota || Silver Lake (Madison, New Hampshire)",True,False
87,When was the death penalty abolished in the country near the country where the writer of The Book Thief is a citizen of?,1534,The Messenger (Zusak novel),12,12,11-100,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,Capital punishment in the United States || Germany,"Germany || United States || Porcupine, North Dakota || Silver Lake (Madison, New Hampshire)",True,False
87,When was the death penalty abolished in the country near the country where the writer of The Book Thief is a citizen of?,648,Capital punishment in New Zealand,7,6,6-10,True,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,Capital punishment in the United States || Germany,"Germany || United States || Porcupine, North Dakota || Silver Lake (Madison, New Hampshire)",True,False
91,What county has a city that is adjacent to the capital city of Erskine College's state?,1595,"Forest Acres, South Carolina",6,5,6-10,True,True,False,False,False,False,False,False,False,1.0,1.0,0.4,0.0,"Erskine College–Due West Historic District || Saint Paul, Minnesota || Columbia, South Carolina || College Place, Washington","Columbia, South Carolina || Saint Paul, Minnesota || Minneapolis || Oklahoma City || Mississippi River",True,True
91,What county has a city that is adjacent to the capital city of Erskine College's state?,1598,"Charleston, South Carolina",18,17,11-100,True,True,False,False,False,False,False,False,False,1.0,1.0,0.4,0.0,"Erskine College–Due West Historic District || Saint Paul, Minnesota || Columbia, South Carolina || College Place, Washington","Columbia, South Carolina || Saint Paul, Minnesota || Minneapolis || Oklahoma City || Mississippi River",True,True
91,What county has a city that is adjacent to the capital city of Erskine College's state?,1601,WWNQ,48,48,11-100,True,True,False,False,False,False,False,False,False,1.0,1.0,0.4,0.0,"Erskine College–Due West Historic District || Saint Paul, Minnesota || Columbia, South Carolina || College Place, Washington","Columbia, South Carolina || Saint Paul, Minnesota || Minneapolis || Oklahoma City || Mississippi River",True,True
94,Who had the lowest batting average in the league where the team with the most games in the series after which the MLB MVP is awarded played?,734,New York Yankees,48,48,11-100,True,True,True,False,False,False,True,True,True,0.0,0.0,1.0,1.0,Sports league ranking || World Series || World Series Most Valuable Player Award || Major League Baseball All-Star Game Most Valuable Player Award,Major League Baseball Most Valuable Player Award || Chicago Cubs || 2017 American League Wild Card Game || New York Yankees,True,True
94,Who had the lowest batting average in the league where the team with the most games in the series after which the MLB MVP is awarded played?,1654,Batting average,3,1,top5,True,True,False,False,False,False,False,False,False,0.0,0.0,1.0,1.0,Sports league ranking || World Series || World Series Most Valuable Player Award || Major League Baseball All-Star Game Most Valuable Player Award,Major League Baseball Most Valuable Player Award || Chicago Cubs || 2017 American League Wild Card Game || New York Yankees,True,True
94,Who had the lowest batting average in the league where the team with the most games in the series after which the MLB MVP is awarded played?,737,World Series,10,9,6-10,True,True,False,False,False,False,False,False,False,0.0,0.0,1.0,1.0,Sports league ranking || World Series || World Series Most Valuable Player Award || Major League Baseball All-Star Game Most Valuable Player Award,Major League Baseball Most Valuable Player Award || Chicago Cubs || 2017 American League Wild Card Game || New York Yankees,True,True
99,When was the region immediately north of the region where the country in which Aluf can be found is located and the Persian Gulf established?,1739,Chaim Herzog,,,missing,False,False,False,False,False,False,False,False,False,1.0,1.0,0.0,0.0,Alghanim Industries || Alūksne Municipality || Partition of the Ottoman Empire || History of Saudi Arabia,Alūksne Municipality,True,True
99,When was the region immediately north of the region where the country in which Aluf can be found is located and the Persian Gulf established?,1743,Israel,63,63,11-100,True,True,False,False,False,False,False,False,False,1.0,1.0,0.0,0.0,Alghanim Industries || Alūksne Municipality || Partition of the Ottoman Empire || History of Saudi Arabia,Alūksne Municipality,True,True
99,When was the region immediately north of the region where the country in which Aluf can be found is located and the Persian Gulf established?,1031,Saudi Arabia,8,8,6-10,True,True,False,False,False,False,False,False,False,1.0,1.0,0.0,0.0,Alghanim Industries || Alūksne Municipality || Partition of the Ottoman Empire || History of Saudi Arabia,Alūksne Municipality,True,True
