policy,dataset,base_dataset,query_index,question,gold_title,source_best_gold_rank,best_probe_rank,rank_improvement,baseline_hit_at_3,baseline_hit_at_5,baseline_hit_at_10,baseline_hit_at_20,probe_hit_at_3,probe_hit_at_5,probe_hit_at_10,probe_hit_at_20,new_hit_at_3,new_hit_at_5,new_hit_at_10,new_hit_at_20,best_probe_score,best_probe_entity,best_probe_reason,best_requirement_id,best_requirement_subquery,best_upstream_position,best_upstream_title,best_support_span
current_all,MuSiQue,musique,237,Who was in charge in the country that is the natural boundary between the country that hosted the tournament and the country where That Dam is located?,Myanmar,77,43,34,0,0,0,0,0,0,0,0,0,0,0,0,9.0,That Dam,body_token_overlap,s3,What is the natural boundary between the country that hosted the tournament and the country where That Dam is located?,0,Switzerland,Where is That Dam located?
current_all,MuSiQue,musique,259,What does SEAL stand for in the military group that is part of the branch that operates the USS Chillicothe?,List of destroyer classes of the United States Navy,16,16,0,0,0,0,1,0,0,0,1,0,0,0,0,17.5,Navy SEAL,title_token_overlap,s3,What does SEAL stand for in that military group?,1,United States Navy SEALs,"The United States Navy's ``Sea, Air, and Land ''Teams, commonly abbreviated as the Navy SEALs"
current_all,MuSiQue,musique,261,Where was the film The Beach filmed in the country where Ercole Manfredi died?,Bang Bon District,38,17,21,0,0,0,0,0,0,0,1,0,0,0,1,55.0,Thailand,body_substring,s3,Where was the film The Beach filmed?,0,Ercole Manfredi,"by adopting a Thai identity and way of life, marrying a Thai woman and settling down permanently"
current_all,MuSiQue,musique,269,"During WW2, who was the leader of the country near the country of citizenship of the writer of The Book Thief?",Military history of New Zealand during World War II,9,61,-52,0,0,1,1,0,0,0,0,0,0,0,0,0.0,,,,,-1,,
current_all,MuSiQue,musique,269,"During WW2, who was the leader of the country near the country of citizenship of the writer of The Book Thief?",The Messenger (Zusak novel),11,6,5,0,0,0,1,0,0,1,1,0,0,1,0,55.0,Markus Zusak,body_substring,s2,What is the country of citizenship of the writer of The Book Thief?,0,The Book Thief (film),The film is based on the 2005 novel The Book Thief by Markus Zusak
current_all,MuSiQue,musique,281,"How were the people that the Somali Muslim Ajuran Empire made coins to proclaim independence from, expelled from the country where Star Cola is produced?",Myanmar,83,0,83,0,0,0,0,1,1,1,1,1,1,1,1,100.0,Myanmar,title_exact,s2,Which people were expelled from the country where Star Cola is produced?,1,Star Cola,Star Cola is a cola drink produced in Myanmar.
current_all,MuSiQue,musique,302,What does SEAL stand for in the military group that is part of the military branch that operates USS Dour?,List of destroyer classes of the United States Navy,19,6,13,0,0,0,1,0,0,1,1,0,0,1,0,26.25,United States Navy SEAL,title_token_overlap,s2,What is the full name of the military group that is part of the military branch that operates USS Dour?,2,United States Navy SEALs,United States Navy SEALs
current_all,MuSiQue,musique,346,When did the party Oklahoma's US Senators come from take control of the body determining the rules of the US House and US Senate?,2014 United States Senate elections,20,4,16,0,0,0,0,0,1,1,1,0,1,1,1,85.0,United States Senate,title_substring,s2,When did the party take control of the body determining the rules of the US House and US Senate?,0,Standing Rules of the United States Senate,The Standing Rules of the United States Senate
current_all,MuSiQue,musique,358,"What is the average daytime temperature in the region where Richmond is found, in the state where WGCK-FM is located?",North Carolina,73,34,39,0,0,0,0,0,0,0,0,0,0,0,0,9.0,"Coeburn, Virginia",body_token_overlap,s3,"What is the average daytime temperature in the region where Richmond is found, in the state where WGCK-FM is located?",0,WGCK-FM,"WGCK-FM is a Contemporary Christian-formatted broadcast radio station licensed to Coeburn, Virginia"
current_all,MuSiQue,musique,373,What is the name of the child of the Italian navigator who sailed for England and explored the east coast of the continent Francisco Vázquez' birthplace is located?,Paula Santiago,24,28,-4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,-1,,
current_all,MuSiQue,musique,375,What forced the departure from the country responsible for Phoe Pyonn Cho of the people once defied by new coinage?,Myanmar,14,1,13,0,0,0,1,1,1,1,1,1,1,1,0,100.0,Myanmar,title_exact,s2,What forced the departure from that country of the people once defied by new coinage?,1,Phoe Pyonn Cho,Phoe Pyonn Cho is a 1955 Myanmar drama film
current_all,MuSiQue,musique,375,What forced the departure from the country responsible for Phoe Pyonn Cho of the people once defied by new coinage?,Ottoman Empire,30,11,19,0,0,0,0,0,0,0,1,0,0,0,1,17.5,Gupta Empire,title_token_overlap,s2,What forced the departure from that country of the people once defied by new coinage?,3,Coinage of India,"The Gupta Empire produced large numbers of gold coins depicting the Gupta kings performing various rituals, as well as silver coins clearly influenced by those of the earlier Western Satraps by Chandragupta II."
current_all,MuSiQue,musique,379,"When did Nissan, the Acura Legend maker and the Scion xD manufacturer open US assembly plants?",Scion xD,6,16,-10,0,0,1,1,0,0,0,1,0,0,0,0,55.0,Toyota,body_substring,s2,When did the company identified in s1 open US assembly plants?,9,Toyota,"Toyota, Nissan Motor Co. and Honda Motor Co. began building plants in the US by the early 1980s."
current_all,MuSiQue,musique,400,"A country's military branch, the equivalent of which in the US contains the Air Defense Artillery, was unprepared for the invasion of Ivo Werner's country. When was the word ""Slavs"" used in the national anthem of the unprepared country?",United States Army,32,21,11,0,0,0,0,0,0,0,0,0,0,0,0,17.5,Yugoslav army,title_token_overlap,s2,Which country was invaded by Ivo Werner's country?,1,Josip Broz Tito,"In April 1969, Tito removed generals Ivan Gošnjak and Rade Hamović in the aftermath of the invasion of Czechoslovakia due to the unpreparedness of the Yugoslav army to respond to a similar invasion of Yugoslavia."
current_all,MuSiQue,musique,402,Who is the wife of the man who produced the documentary of the pop star who influenced Beyonce?,Liza and David,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,David Gest,body_substring,s3,Who is the wife of that producer?,0,Michael Jackson: The Life of an Icon,"Michael Jackson: The Life of an Icon is a documentary film about pop singer Michael Jackson produced by his friend, David Gest."
current_all,MuSiQue,musique,413,"When did Nissan, the Acura Legend maker and the top selling car brand open US assembly plants?",List of best-selling automobiles,12,21,-9,0,0,0,1,0,0,0,0,0,0,0,0,55.0,Nissan,body_substring,s2,When did Nissan open its first US assembly plant?,0,1973 oil crisis,"Honda, Toyota and Nissan, affected by the 1981 voluntary export restraints, opened US assembly plants and established their luxury divisions (Acura, Lexus and Infiniti, respectively) to distinguish themselves from their mass-market brands."
current_all,MuSiQue,musique,441,Who owns the record label of the Every Turn of the World performer?,Back of My Mind,35,7,28,0,0,0,0,0,0,1,1,0,0,1,1,55.0,Christopher Cro,body_substring,s2,Which record label does that performer belong to?,0,Every Turn of the World,"Every Turn of the World is the third studio album by Christopher Cross, recorded and released in 1985."
current_all,MuSiQue,musique,441,Who owns the record label of the Every Turn of the World performer?,Warner Records,21,11,10,0,0,0,0,0,0,0,1,0,0,0,1,18.0,19 Entertainment,body_token_overlap,s2,Which record label does that performer belong to?,9,American Idol,"19 Recordings, a recording label owned by 19 Entertainment, currently hold the rights to phonographic material recorded by all the contestants."
current_all,MuSiQue,musique,453,"The German priest, who wanted Joseph Strickland's religious denomination to reform, preached a sermon on Marian devotion soon before his death in what German state?",Reformation,4,16,-12,0,1,1,1,0,0,0,1,0,0,0,0,9.0,Roman Catholic Diocese of Tyler,body_token_overlap,s2,In which German state did the German priest preach a sermon on Marian devotion before his death?,0,Joseph Strickland,he has been the Bishop of the Roman Catholic Diocese of Tyler.
current_all,MuSiQue,musique,492,who has had the most hits in the league that includes the team that has played the most games of the type played just before the league MVP is awarded?,New York Yankees,39,22,17,0,0,0,0,0,0,0,0,0,0,0,0,55.0,Major League Baseball,body_substring,s2,Which league includes that team?,0,List of Major League Baseball single-game hits leaders,List of Major League Baseball single-game hits leaders
current_all,MuSiQue,musique,492,who has had the most hits in the league that includes the team that has played the most games of the type played just before the league MVP is awarded?,World Series,6,50,-44,0,0,1,1,0,0,0,0,0,0,0,0,0.0,,,,,-1,,
current_all,MuSiQue,musique,493,Who has the most hits in the history of the organization that includes the team Jim Wilson was released by?,Cleveland Indians,51,27,24,0,0,0,0,0,0,0,0,0,0,0,0,55.0,Major League Baseball,body_substring,s2,Who has the most hits in the history of that organization?,11,List of Major League Baseball career hits leaders,List of Major League Baseball career hits leaders
current_all,MuSiQue,musique,495,What year did the country that is the natural boundary between where the tournament was hosted and where A Don is located host the ASEAN Conference?,2020 AFC U-23 Championship qualification,9,24,-15,0,0,1,1,0,0,0,0,0,0,0,0,0.0,,,,,-1,,
current_all,MuSiQue,musique,495,What year did the country that is the natural boundary between where the tournament was hosted and where A Don is located host the ASEAN Conference?,Geography of Myanmar,11,4,7,0,0,0,1,0,1,1,1,0,1,1,0,85.0,Myanmar,title_substring,s2,In what year did the country host the ASEAN Conference?,4,Myanmar,"Myanmar has been a member of ASEAN since 1997. Though it gave up its turn to hold the ASEAN chair and host the ASEAN Summit in 2006, it chaired the forum and hosted the summit in 2014."
current_all,MuSiQue,musique,502,Who is the owner of the record label that the performer of Better Than Me is signed with?,Warner Records,31,3,28,0,0,0,0,0,1,1,1,0,1,1,1,55.0,Warner Bros. Record,body_substring,s2,Which record label is the performer of Better Than Me signed with?,1,Terry Dexter (album),"released July 13, 1999 via Warner Bros. Records"
current_all,MuSiQue,musique,565,When did the headquarters city of Kentucky Tavern's manufacturer elect its first black mayor?,Sazerac,7,27,-20,0,0,1,1,0,0,0,0,0,0,0,0,6.0,Bill de Blasio,body_token_overlap,s2,When did the first black mayor of that city get elected?,10,New York City,"The present mayor is Bill de Blasio, the first Democrat since 1993."
current_all,MuSiQue,musique,568,What is the name of the castle in the city where the performer of We Sweat Blood formed?,Casa Loma,68,12,56,0,0,0,0,0,0,0,1,0,0,0,1,55.0,"Toronto, Ontario",body_substring,s3,What is the name of the castle in that city?,3,Danko Jones,"Danko Jones is a Canadian rock trio from Toronto, Ontario."
current_all,MuSiQue,musique,573,Another world leader said that Vladimir Rapoport's country was imperialist. Where did that leader announce that he would intervene in the Korean conflict?,Vladimir Rapoport,23,37,-14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,-1,,
current_all,MuSiQue,musique,646,For what major conflict is the country on the natural boundary between the country that hosted the tournament and the country where A Don is from known?,2020 AFC U-23 Championship qualification,76,88,-12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,-1,,
current_all,MuSiQue,musique,646,For what major conflict is the country on the natural boundary between the country that hosted the tournament and the country where A Don is from known?,Myanmar,79,89,-10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,-1,,
current_all,MuSiQue,musique,647,The population of the country that worked with the outfit behind Man in Space Soonest numbers how much?,Anti-aircraft warfare,10,53,-43,0,0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,-1,,
current_all,MuSiQue,musique,647,The population of the country that worked with the outfit behind Man in Space Soonest numbers how much?,Jews,79,42,37,0,0,0,0,0,0,0,0,0,0,0,0,9.0,United State,body_token_overlap,s2,What is the population of that country?,0,Space Race,"The US Air Force had been developing a program to launch the first man in space, named Man in Space Soonest."
current_all,MuSiQue,musique,666,When did the town WIZE is licensed in become capitol of the state where Jackson Township is located?,"Randolph County, Illinois",27,19,8,0,0,0,0,0,0,0,1,0,0,0,1,14.0,"Jackson Township, Randolph County, Indiana",title_token_overlap,s2,When was the town WIZE is licensed in established as the capital of the state?,9,"Jackson Township, Randolph County, Indiana","Jackson Township, Randolph County, Indiana"
current_all,MuSiQue,musique,666,When did the town WIZE is licensed in become capitol of the state where Jackson Township is located?,"Springfield, Illinois",24,16,8,0,0,0,0,0,0,0,1,0,0,0,1,17.5,"Springfield, Ohio",title_token_overlap,s2,When was the town WIZE is licensed in established as the capital of the state?,0,WIZE,"WIZE (1340 AM) — branded WIZE AM 1340 — is a commercial radio station in Springfield, Ohio owned by iHeartMedia, Inc. as part of their Dayton cluster."
current_all,MuSiQue,musique,668,What shares a border with the city where someone worked who went to the state where Atwell Mill Grove is located during the gold rush?,California Gold Rush,10,3,7,0,0,0,1,0,1,1,1,0,1,1,0,85.0,California,title_substring,s3,Who went to that state during the gold rush?,0,Atwell Mill Grove,Atwell Mill Grove is a giant sequoia grove in the east fork of the Kaweah watershed area in California.
current_all,MuSiQue,musique,668,What shares a border with the city where someone worked who went to the state where Atwell Mill Grove is located during the gold rush?,"History of Sacramento, California",73,8,65,0,0,0,0,0,0,1,1,0,0,1,1,85.0,California,title_substring,s3,Who went to that state during the gold rush?,0,Atwell Mill Grove,Atwell Mill Grove is a giant sequoia grove in the east fork of the Kaweah watershed area in California.
current_all,MuSiQue,musique,690,What is the capital of the county that shares a border with the county whose capital is the birthplace of Erik Jensen?,Jerome Quinn,76,49,27,0,0,0,0,0,0,0,0,0,0,0,0,9.0,"Appleton, Wisconsin",body_token_overlap,s2,Which county has that location as its capital?,0,Erik Jensen (American football),"Erik Jensen (born October 11, 1980 in Appleton, Wisconsin)"
current_all,MuSiQue,musique,690,What is the capital of the county that shares a border with the county whose capital is the birthplace of Erik Jensen?,John C. Petersen,69,8,61,0,0,0,0,0,0,1,1,0,0,1,1,55.0,"Appleton, Wisconsin",body_substring,s2,Which county has that location as its capital?,0,Erik Jensen (American football),"Erik Jensen (born October 11, 1980 in Appleton, Wisconsin)"
current_all,MuSiQue,musique,697,What country had the Border Troops of the republic known for the literature of the country of citizenship of Ilona Richter?,Heinz-Josef Große,21,20,1,0,0,0,0,0,0,0,0,0,0,0,0,9.0,East Germany,body_token_overlap,s2,What country had the Border Troops of the republic known for the literature of that country?,0,Iron Curtain,the inner German border -- commonly known as die Grenze in German -- between East and West Germany
current_all,MuSiQue,musique,704,When was the region that lies to the north of the region Israel is located and where the Battle of Qurah and Umm al Maradim is took place established?,Geography of Saudi Arabia,72,22,50,0,0,0,0,0,0,0,0,0,0,0,0,55.0,Persian Gulf,body_substring,s2,In which region did the Battle of Qurah and Umm al Maradim take place?,0,Battle of Qurah and Umm al Maradim,the islands off the coast of Kuwait in the Persian Gulf
current_all,MuSiQue,musique,704,When was the region that lies to the north of the region Israel is located and where the Battle of Qurah and Umm al Maradim is took place established?,Saudi Arabia,58,74,-16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,-1,,
current_all,MuSiQue,musique,759,Whose father was a navigator who explored the east coast of the continental region where Sergio Villanueva would later be born?,Paula Santiago,23,27,-4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,-1,,
current_all,MuSiQue,musique,759,Whose father was a navigator who explored the east coast of the continental region where Sergio Villanueva would later be born?,Sebastian Cabot (explorer),7,13,-6,0,0,1,1,0,0,0,1,0,0,0,0,0.0,,,,,-1,,
current_all,MuSiQue,musique,769,When did the town WIZE is licensed in become capitol of the state where Ward Township is located?,"Randolph County, Illinois",31,43,-12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,-1,,
current_all,MuSiQue,musique,769,When did the town WIZE is licensed in become capitol of the state where Ward Township is located?,"Springfield, Illinois",28,13,15,0,0,0,0,0,0,0,1,0,0,0,1,17.5,"Springfield, Ohio",title_token_overlap,s2,When did the town WIZE is licensed in become the capital of that state?,0,WIZE,"WIZE (1340 AM) — branded WIZE AM 1340 — is a commercial radio station in Springfield, Ohio owned by iHeartMedia, Inc. as part of their Dayton cluster."
current_all,MuSiQue,musique,774,Can foreign tourists cruise to the country between the nation that hosted 2020 AFC U-23 Championship qualification and the one that contains A Don.?,Geography of Myanmar,27,6,21,0,0,0,0,0,0,1,1,0,0,1,1,55.0,Thailand,body_substring,s3,Can foreign tourists cruise to the country between the nation that hosted 2020 AFC U-23 Championship qualification and the one that contains A Don?,0,2020 AFC U-23 Championship qualification,The final tournament hosts Thailand decided to participate in qualification despite having automatically qualified for the final tournament.
current_all,MuSiQue,musique,774,Can foreign tourists cruise to the country between the nation that hosted 2020 AFC U-23 Championship qualification and the one that contains A Don.?,Myanmar,6,3,3,0,0,1,1,0,1,1,1,0,1,0,0,55.0,Thailand,body_substring,s3,Can foreign tourists cruise to the country between the nation that hosted 2020 AFC U-23 Championship qualification and the one that contains A Don?,0,2020 AFC U-23 Championship qualification,The final tournament hosts Thailand decided to participate in qualification despite having automatically qualified for the final tournament.
current_all,MuSiQue,musique,803,In what region of the country where Ha Hoa is located is the city where Zone 5 Military Museum is found?,South Central Coast,5,14,-9,0,0,1,1,0,0,0,1,0,0,0,0,9.0,Da Nang,body_token_overlap,s2,In which region of the country is the city where Zone 5 Military Museum is found?,0,"Zone 5 Military Museum, Danang","The Zone 5 Military Museum (Bao Tang Khu 5) is a military museum located at 3 Duy Tân, Da Nang, Vietnam."
current_all,MuSiQue,musique,810,What is the capital of the county that shares a border with the county where the band Tenement was formed?,Jerome Quinn,5,27,-22,0,0,1,1,0,0,0,0,0,0,0,0,9.0,"Appleton, Wisconsin",body_token_overlap,s2,Which county shares a border with the county where the band Tenement was formed?,0,Tenement (band),"Tenement is a three piece rock band from Appleton, Wisconsin formed in 2006."
current_all,MuSiQue,musique,810,What is the capital of the county that shares a border with the county where the band Tenement was formed?,Pulaski High School,17,31,-14,0,0,0,1,0,0,0,0,0,0,0,0,9.0,"Appleton, Wisconsin",body_token_overlap,s2,Which county shares a border with the county where the band Tenement was formed?,0,Tenement (band),"Tenement is a three piece rock band from Appleton, Wisconsin formed in 2006."
current_all,MuSiQue,musique,815,"Who was a prominent figure at the radio division of the broadcasting company that created the version of The Biggest Loser: The Final Chance, set in the country containing Labu?",Adult contemporary music,81,35,46,0,0,0,0,0,0,0,0,0,0,0,0,6.0,AVA Radio Company,body_token_overlap,s2,What is the radio division of that broadcasting company?,19,Edward Fokczyński,"Edward Fokczyński was one of the four directors of the AVA Radio Company, an electronics firm established in Warsaw, Poland, in 1929."
current_all,MuSiQue,musique,837,What is the name of the castle in the city where the performers of Born A Lion was formed?,Casa Loma,88,91,-3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,-1,,
current_all,MuSiQue,musique,863,In what region of the country where Lam Thao is located is John Phan's birthplace?,South Central Coast,5,24,-19,0,0,1,1,0,0,0,0,0,0,0,0,9.0,Da Nang,body_token_overlap,s2,In what region of the country is that location?,0,John Phan,"born October 10, 1974 in Da Nang, Vietnam"
current_all,MuSiQue,musique,886,"What country is between Lithuania and the country many expelled French Jews relocated to, along with the country of citizenship of Marie Antoinette's mother?",César Gabriel de Choiseul,33,61,-28,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,-1,,
current_all,MuSiQue,musique,892,"When did Nissan, the Acura Legend maker and the Scion owner open US assembly plants?",Scion (automobile),5,14,-9,0,0,1,1,0,0,0,1,0,0,0,0,55.0,Toyota,body_substring,s2,When did the identified company open US assembly plants?,4,Toyota,"Toyota, Nissan Motor Co. and Honda Motor Co. began building plants in the US by the early 1980s."
current_all,MuSiQue,musique,901,Where does the body of water by the city where Write This Down was formed and Ohio River meet?,Minneapolis,22,32,-10,0,0,0,0,0,0,0,0,0,0,0,0,9.0,Allegheny River,body_token_overlap,s2,What is the name of the body of water by that city?,0,Allegheny River,The Allegheny River is a principal tributary of the Ohio River; it is located in the Eastern United States.
current_all,MuSiQue,musique,908,When does the regular season of the league where the team with the most titles from the series after which the MLB MVP award is given out plays?,New York Yankees,19,10,9,0,0,0,1,0,0,0,1,0,0,0,0,85.0,New York Yankee,title_substring,s3,Which league does that team belong to?,4,World Series,Most titles New York Yankees (27)
current_all,MuSiQue,musique,925,Where is the district that the person who wanted to reform and address Jesus Varela's religion preached a sermon on Marian devotion before his death located?,Reformation,8,10,-2,0,0,1,1,0,0,0,1,0,0,0,0,55.0,Martin Luther,body_substring,s2,Where did that person preach a sermon on Marian devotion before his death?,1,"Mary, mother of Jesus",Martin Luther's harsh polemics against his Roman Catholic opponents over issues concerning Mary and the saints
current_all,MuSiQue,musique,943,In what region of the country where Lam Thao is located is the city where the Zone 5 Military Museum can be found?,South Central Coast,5,10,-5,0,0,1,1,0,0,0,1,0,0,0,0,55.0,Vietnam,body_substring,s2,In what region of the country is the city where the Zone 5 Military Museum can be found?,1,Lâm Thao District,Lâm Thao is a rural district of Phú Thọ Province in the Northeast region of Vietnam.
current_all,MuSiQue,musique,946,What is the name of the castle in the place of birth of the performer of When I Was a Boy?,Casa Loma,71,27,44,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Casa Natal del General Santander,title_token_overlap,s2,What is the place of birth of that performer?,62,Casa Natal del General Santander,"Casa Natal del General Santander (lit., ""Birth house of General Santander"") is the birthplace of the Colombian General Francisco de Paula Santander"
current_all,MuSiQue,musique,946,What is the name of the castle in the place of birth of the performer of When I Was a Boy?,Gavin Bradley,45,54,-9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,-1,,
