dataset,query_index,gold_doc_count,missing_doc_id,missing_title,candidate_rank,rank_bucket,query_f1,query_em,failure_bucket,question,selected_non_gold_titles
2wikimultihopqa,96,4,752,Walter Hugo Khouri,25,rank21_50,0.0,0.0,candidate200_complete_top5_incomplete,"Which film has the director born later, Romance On The Run or The Palace Of Angels?",Johnny on the Run || Jean Negulesco
2wikimultihopqa,97,4,755,George Pearson (filmmaker),75,rank51_100,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director born first, Mord Em'Ly or Ek Hi Bhool (1940 Film)?",Ek Hi Bhool || Michael Powell
2wikimultihopqa,98,4,768,Frank Tuttle,22,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director born earlier, The Korean Wedding Chest or True To The Navy?",The Wedding Chest || Henry Hathaway
2wikimultihopqa,100,2,775,"Albert III, Duke of Bavaria",10,rank6_10,0.0,0.0,candidate200_complete_top5_incomplete,"Who is the paternal grandfather of Margaret Of Bavaria, Marchioness Of Mantua?","Anna of Brunswick-Grubenhagen-Einbeck || Margaret Paleologa || Margaret of Cleves, Duchess of Bavaria-Munich || Margaret of Bavaria, Electress Palatine"
2wikimultihopqa,101,4,785,Gordon Flemyng,8,rank6_10,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director who was born later, Felices 140 or Dr. Who And The Daleks?",Daleks' Invasion Earth 2150 A.D. || Roberta Tovey
2wikimultihopqa,111,4,857,William Berke,50,rank21_50,0.0,0.0,candidate200_complete_top5_incomplete,"Which film has the director who is older than the other, The Lone Prairie or Buckaroo From Powder River? ",Bury Me Not on the Lone Prairie (film) || The Hawk of Powder River
2wikimultihopqa,114,4,877,Rod Amateau,,missing_200,0.0,0.0,candidate200_incomplete_top5_partial,"Which film has the director died later, The Glass Wall or Where Does It Hurt??",Wallace Fox || Arthur Hiller
2wikimultihopqa,118,4,905,Roland Joffé,13,rank11_20,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director who is older, Amira & Sam or Fat Man And Little Boy?",Sam Wood || Robert F. Boyle
2wikimultihopqa,121,4,930,Richard Sale (director),21,rank21_50,0.0,0.0,candidate200_complete_top5_incomplete,"Which film has the director who died first, Haiducii (Film) or My Wife'S Best Friend?",My Wife's Enemy || Les amies de ma femme
2wikimultihopqa,123,2,941,Alex da Kid,,missing_200,0.0,0.0,candidate200_incomplete_top5_partial,What nationality is the composer of song Make The World Move?,Thomas Morse || Life Is What You Make It (film) || Pierre De Geyter || Aram Khachaturian
2wikimultihopqa,124,2,942,James Young (director),,missing_200,0.0,0.0,candidate200_incomplete_top5_partial,Where was the place of death of the director of film The Notorious Miss Lisle?,Richard Sale (director) || Peter Glenville || Gérard Patris || Maclean Rogers
2wikimultihopqa,129,2,981,Olga Constantinovna of Russia,14,rank11_20,0.0,0.0,candidate200_complete_top5_incomplete,What is the place of birth of Princess Maria Of Greece And Denmark's mother?,Ramón Hernández (beach volleyball) || Princess Maria-Olympia of Greece and Denmark || Princess Alexia of Greece and Denmark || Prince Nikolaos of Greece and Denmark
2wikimultihopqa,130,4,994,William Keighley,22,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director died first, I Like Only You or Brother Rat?",Brother Rat and a Baby || Bryan Forbes
2wikimultihopqa,134,4,1012,Edward Sedgwick,91,rank51_100,0.0,0.0,candidate200_incomplete_top5_partial,"Which film whose director was born first, Broadway Or Bust or Ballad Of Tara?",Vasili Pichul || Norman Taurog || Elliot Silverstein
2wikimultihopqa,134,4,1010,Bahram Beyzai,,missing_200,0.0,0.0,candidate200_incomplete_top5_partial,"Which film whose director was born first, Broadway Or Bust or Ballad Of Tara?",Vasili Pichul || Norman Taurog || Elliot Silverstein
2wikimultihopqa,138,2,1032,George VII of Imereti,6,rank6_10,0.0,0.0,candidate200_complete_top5_incomplete,When did Princess Rodam Of Kartli's husband die?,Solomon II of Imereti || Princess Elene of Georgia || Prince Adarnase of Kartli || Pharnavaz I of Iberia
2wikimultihopqa,140,4,1043,Claude Pinoteau,12,rank11_20,0.0,0.0,candidate200_complete_top5_incomplete,Do both Possession (1922 Film) and La Boum films have the directors from the same country?,La Boum 2 || Laurent Tirard
2wikimultihopqa,143,4,1070,Satyajit Ray,11,rank11_20,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director who is older than the other, Goopy Gyne Bagha Byne or Halloween Kills? ",Goopy Bagha Phire Elo || Goopi Gawaiya Bagha Bajaiya
2wikimultihopqa,145,2,1082,Mithridates VI of Pontus,,missing_200,0.0,0.0,candidate200_incomplete_top5_partial,What nationality is Hypsicratea's husband?,Sybil B. G. Eysenck || Stan Marks || Papianilla (wife of Sidonius Apollinaris) || Abdul-Vahed Niyazov
2wikimultihopqa,149,4,1097,Pál Gábor,82,rank51_100,1.0,1.0,candidate200_complete_top5_incomplete,"Which film whose director is younger, Forbidden Ground or Free Guy?",Forbidden Ground (2013 film) || The Nice Guys
2wikimultihopqa,163,2,1195,Harun al-Rashid,13,rank11_20,0.0,0.0,candidate200_complete_top5_incomplete,Which country Al-Mu'Tasim's father is from?,Al-Abbas ibn al-Ma'mun || Al-Mu'ayyad || Al-Fadl ibn Marwan || Itakh
2wikimultihopqa,165,4,1218,Clement Virgo,27,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director born earlier, The Planet Of Junior Brown or A Yank In The R.A.F.?",Peter Glenville || William A. Wellman
2wikimultihopqa,167,2,1236,Louis the Pious,15,rank11_20,0.0,0.0,candidate200_complete_top5_incomplete,Who is the father-in-law of Ermengarde Of Hesbaye?,"Sigramnus, Count of Hesbaye || Ingerman, Count of Hesbaye || Ermengarde of Tours || Herman, Count of Verdun"
2wikimultihopqa,169,4,1253,Edward Sloman,22,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director born first, Mutiny (1952 Film) or The Eagle'S Feather?",Eagle Feather || J. Lee Thompson
2wikimultihopqa,170,4,1259,Gérard Oury,22,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,Do both films The Umbrella Coup and The Cow And I have the directors that share the same nationality?,The Wanted 18 || Ann Hui
2wikimultihopqa,171,4,1263,George Schnéevoigt,22,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director who died later, Hotel Paradis or Devil'S Doorway?",Georges Méliès || Witchboard 2: The Devil's Doorway
2wikimultihopqa,173,2,1272,Eric XIV of Sweden,10,rank6_10,0.0,0.0,candidate200_complete_top5_incomplete,Who is the paternal grandmother of Sigrid Of Sweden (1566–1633)?,Sigrid Sture || Euphrosina Heldina von Dieffenau || Aleksander Koniecpolski (1555–1609) || Jadwiga Snopkowska
2wikimultihopqa,174,4,1284,Jean Negulesco,22,rank21_50,0.0,0.0,candidate200_complete_top5_incomplete,Do both films A Trial In Prague and Three Strangers have the directors that share the same nationality?,Three for Happiness || Three Waltzes
2wikimultihopqa,178,2,1310,"Thomas Lyon-Bowes, 11th Earl of Strathmore and Kinghorne",6,rank6_10,0.0,0.0,candidate200_complete_top5_incomplete,"Which country Thomas Lyon-Bowes, Lord Glamis's father is from?","Thomas Lyon-Bowes, Master of Glamis (born 1821) || Claude Bowes-Lyon, 13th Earl of Strathmore and Kinghorne || Charlotte Lyon-Bowes, Lady Glamis || Thomas Lyon-Bowes, 12th Earl of Strathmore and Kinghorne"
2wikimultihopqa,180,4,1327,Laurent Tirard,14,rank11_20,0.3333,0.0,candidate200_complete_top5_incomplete,"Which film has the director born later, Diary Of A Maniac or Return Of The Hero?",Édouard Niermans (director) || The Return of Swamp Thing
2wikimultihopqa,181,4,1333,Adelqui Migliar,31,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director died later, Dahleez or The Lights Of Buenos Aires?",Dasari Narayana Rao || Manuel Romero
2wikimultihopqa,182,2,1346,William Bell (author),,missing_200,0.0,0.0,candidate200_incomplete_top5_partial,Where was the husband of Ting-Xing Ye born?,"Oei Hui-lan || Zhang Ye (singer) || Xia Ye || Zhang Ye (footballer, born 1989)"
2wikimultihopqa,186,2,1379,Henry Ford,7,rank6_10,0.0,0.0,candidate200_complete_top5_incomplete,Where was the place of death of Edsel Ford's father?,John Bugas || Edsel Ford (poet) || Edsel Ford (disambiguation) || William Clay Ford Sr.
2wikimultihopqa,188,4,1387,George Sherman,8,rank6_10,0.0,0.0,candidate200_complete_top5_incomplete,"Which film has the director who was born later, The Sleeping City or The Lawful Cheater?",True to the Navy || Mabel Cheung || Lewis Milestone
2wikimultihopqa,188,4,1386,Frank O'Connor (actor),22,rank21_50,0.0,0.0,candidate200_complete_top5_incomplete,"Which film has the director who was born later, The Sleeping City or The Lawful Cheater?",True to the Navy || Mabel Cheung || Lewis Milestone
2wikimultihopqa,195,4,1440,Raj Kanwar,17,rank11_20,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director who is older, A Better Tomorrow Iii: Love & Death In Saigon or Har Dil Jo Pyar Karega?",A Better Tomorrow II || A Better Tomorrow
2wikimultihopqa,199,4,1465,Harold D. Schuster,62,rank51_100,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director who was born later, Tarzan'S Hidden Jungle or The Brink'S Job?",Jack Arnold (director) || Peter Glenville
2wikimultihopqa,204,2,1496,Keith Moon,13,rank11_20,1.0,1.0,candidate200_complete_top5_incomplete,Why did the composer of song Waspman die?,Die Mutter || Keith Emerson || Fred Raymond || Roy Budd
2wikimultihopqa,205,4,1497,Jules White,22,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Do both films Rip, Sew And Stitch and Clown Princes have the directors from the same country?",Jim Wynorski || Klaudia Kovács (director)
2wikimultihopqa,215,4,1564,Mabel Cheung,22,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Which film whose director is younger, Traces Of A Dragon or Moonnupookkal?",Sanal Kumar Sasidharan || Traces of Death
2wikimultihopqa,217,4,1579,Ann Hui,22,rank21_50,0.0,0.0,candidate200_complete_top5_incomplete,"Which film has the director born earlier, The Spooky Bunch or His Name Is Nobody?",My Name Is Nobody || Sergio Leone
2wikimultihopqa,218,4,1588,Louie Psihoyos,6,rank6_10,1.0,1.0,candidate200_complete_top5_incomplete,Do both films: Racing Extinction and Madame Butterfly (1995 Film) have the directors from the same country?,David Hannan || Harakiri (1919 film)
2wikimultihopqa,223,4,1625,Éric Rohmer,19,rank11_20,0.0,0.0,candidate200_complete_top5_incomplete,"Which film has the director who was born first, Autumn Tale or Secrets Of The Reef?",A Tale of Springtime || A Tale of Winter
2wikimultihopqa,228,4,1665,Manuel Romero,24,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director who is older than the other, Ven Mi Corazón Te Llama or Waking The Dead (Film)? ",José Luis Cuerda || Eddie Romero
2wikimultihopqa,234,2,1713,Isa bin Salman Al Khalifa,6,rank6_10,0.8,0.0,candidate200_complete_top5_incomplete,Who is the paternal grandfather of Hamad Bin Isa Al Khalifa?,Sabika bint Ibrahim Al Khalifa || Abdullah bin Hamad bin Isa Al Khalifa || Khalifa bin Salman Al Khalifa || Mohammed ibn Salman Al Khalifa
2wikimultihopqa,239,2,1744,Matthias Drawe,11,rank11_20,0.0,0.0,candidate200_complete_top5_incomplete,What is the place of birth of the director of film Der König Von Kreuzberg?,Behind Locked Doors (1991 film) || Wolfgang Schleif || Fred Roy Krug || Navíd Akhavan
2wikimultihopqa,242,4,1758,Thomas Jahn,21,rank21_50,0.0,0.0,candidate200_complete_top5_incomplete,"Which film has the director born later, Colour Blossoms or Kai Rabe Gegen Die Vatikankiller?",Wisit Sasanatieng || Peter Greenaway
2wikimultihopqa,244,4,1770,Philip Ford (film director),28,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Do both films, The Wild Frontier (Film) and The Sundowners (1960 Film), have the directors who are from the same country?",The Sundowners (1950 film) || Peter Glenville
2wikimultihopqa,245,4,1777,Francesca Comencini,7,rank6_10,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director who was born first, A Monster And A Half or Un Giorno Speciale?",A Day for Lionhearts || Mario Bava
2wikimultihopqa,249,4,1795,John Farrow,52,rank51_100,0.0,0.0,candidate200_complete_top5_incomplete,"Which film has the director who died earlier, The Hitler Gang or Flannelfoot?",Hitler – Dead or Alive || Robert Florey
2wikimultihopqa,250,4,1804,Wilfred Lucas,47,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director who is older, Four Days In November or The Romance Of Tarzan?",Her First Romance || Fred Zinnemann
2wikimultihopqa,252,2,1808,Inayat Khan,,missing_200,0.0,0.0,candidate200_incomplete_top5_partial,What nationality is Ameena Begum's husband?,Ameena Begum (politician) || Francis Buxton || Princess Aisha bint Hussein || Devisingh Ransingh Shekhawat
2wikimultihopqa,254,4,1824,Arthur Hiller,23,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Which film whose director is younger, The Tiger Makes Out or La Vérité Sur Bébé Donge?",Norman Taurog || Bertrand Tavernier
2wikimultihopqa,262,4,1882,H. Bruce Humberstone,55,rank51_100,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director born later, Charlie Chan In Honolulu or Lianna?",Lina Wertmüller || Chantal Akerman
2wikimultihopqa,266,4,1904,Daniel Lind Lagerlöf,57,rank51_100,0.0,0.0,candidate200_complete_top5_incomplete,"Which film has the director who died later, Bad Subject or Making Babies?",Doris Wishman || Herschell Gordon Lewis
2wikimultihopqa,272,4,1934,Henry Hathaway,22,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,Are director of film Garbo (Film) and director of film Souls At Sea both from the same country?,Liz Garbus || José Luis Garci
2wikimultihopqa,274,4,1949,Juan Bustillo Oro,16,rank11_20,0.0,0.0,candidate200_complete_top5_incomplete,"Which film has the director who was born earlier, Holiday In Tyrol or Las Aventuras De Pito Pérez?",Las Aventuras de Pikín || Lesley Selander
2wikimultihopqa,279,4,1972,Annabel Jankel,22,rank21_50,0.0,0.0,candidate200_complete_top5_incomplete,"Which film has the director born later, Tell It To The Bees or House Of The Black Death?",Gurinder Chadha || Cheryl Dunye
2wikimultihopqa,281,4,1978,Mr. Ace,21,rank21_50,0.0,0.0,candidate200_complete_top5_incomplete,"Which film has the director who died later, Jára Cimrman Lying, Sleeping or Mr. Ace?",Miloš Forman || Martin Frič || Wojciech Has
2wikimultihopqa,281,4,358,Edwin L. Marin,171,rank101_200,0.0,0.0,candidate200_complete_top5_incomplete,"Which film has the director who died later, Jára Cimrman Lying, Sleeping or Mr. Ace?",Miloš Forman || Martin Frič || Wojciech Has
2wikimultihopqa,298,4,2073,Harry Beaumont,21,rank21_50,0.0,0.0,candidate200_complete_top5_incomplete,"Which film whose director was born first, No Greater Glory or Seeing'S Believing?",The Greater Glory || Rex Ingram (director)
2wikimultihopqa,303,4,2108,Phillips Smalley,22,rank21_50,0.0,0.0,candidate200_complete_top5_incomplete,"Which film has the director who was born earlier, A Romance Of The Air or How Moscha Came Back?",William A. Wellman || Howard Hawks
2wikimultihopqa,306,2,2121,William Reeves (animator),22,rank21_50,0.0,0.0,candidate200_complete_top5_incomplete,Where was the director of film Flags And Waves born?,Peter Greenaway || Mark Pellington || William D. MacGillivray || Claude Weisz
2wikimultihopqa,309,2,2129,Princess Maria Immaculata of Bourbon-Two Sicilies (1844–1899),17,rank11_20,0.7273,0.0,candidate200_complete_top5_incomplete,Who is the maternal grandfather of Archduchess Maria Theresa Of Austria (1862–1933)?,Archduchess Maria Carolina of Austria (1740–1741) || Archduchess Maria Theresa of Austria (1845–1927) || Archduchess Elisabeth Amalie of Austria || Archduchess Maria Theresa of Austria (1762–1770)
2wikimultihopqa,312,4,2160,Claude Autant-Lara,8,rank6_10,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director who died first, Vice Raid or The Courier Of Lyon?",The Courier of Lyon (1923 film) || Raoul Walsh
2wikimultihopqa,313,4,2164,Monta Bell,22,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director who was born first, The King On Main Street or The Crime Doctor'S Diary?",A Doctor's Diary || Henry King (director)
2wikimultihopqa,315,2,2178,Amado V. Hernandez,,missing_200,0.0,0.0,candidate200_incomplete_top5_partial,What is the place of birth of Atang De La Rama's husband?,José Nepomuceno || Gauthier Destenay || Devisingh Ransingh Shekhawat || Philip May
2wikimultihopqa,321,4,2218,Anita Stewart,23,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the producer died later, A Midnight Romance or The Bedford Incident?",Roy Rowland (film director) || Eddie Romero || A Moment of Romance
2wikimultihopqa,321,4,2213,Richard Widmark,28,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the producer died later, A Midnight Romance or The Bedford Incident?",Roy Rowland (film director) || Eddie Romero || A Moment of Romance
2wikimultihopqa,322,4,2224,Raoul Walsh,39,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director who died first, Everybody'S Hobby or One Sunday Afternoon (1948 Film)?",One Sunday Afternoon || Alfred Hitchcock
2wikimultihopqa,324,4,2236,Philip Saville,22,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director who died earlier, Max And Helen or Held Einer Nacht?",Helmut Käutner || Boštjan Hladnik
2wikimultihopqa,331,2,2294,"Hugh IV, Duke of Burgundy",22,rank21_50,0.0,0.0,candidate200_complete_top5_incomplete,"Who is Adelaide Of Burgundy, Duchess Of Brabant's paternal grandfather?","Walter Montagu Douglas Scott, 8th Duke of Buccleuch || Mary of Burgundy, Duchess of Cleves || Adolph of Cleves, Lord of Ravenstein || Beatrice of Navarre, Duchess of Burgundy"
2wikimultihopqa,333,2,2303,El Cid,7,rank6_10,0.0,0.0,candidate200_complete_top5_incomplete,When did Cristina Rodríguez (Noble)'s father die?,"Ramiro Sánchez || Cristina Rodríguez Cabral || Frederick II, Duke of Holstein-Gottorp || Takayama Tomoteru"
2wikimultihopqa,344,4,2347,Oliver Drake (filmmaker),,missing_200,1.0,1.0,candidate200_incomplete_top5_partial,"Which film has the director who was born first, The Parson And The Outlaw or The Black Marble?",Robert Parrish || Jack Arnold (director)
2wikimultihopqa,347,4,2363,Eduard von Borsody,36,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director who died first, Robin Hood Of Monterey or Wedding With Erika?",William Keighley || Robin Hood of Texas
2wikimultihopqa,353,2,2404,Billy Murray (singer),,missing_200,0.0,0.0,candidate200_incomplete_top5_partial,"What nationality is the performer of song Daddy, Come Home?",Zhang Ye (singer) || That's My Life (My Love and My Home) || Come Running Back || Roger Miller
2wikimultihopqa,354,2,2407,Frederick III of Sicily,35,rank21_50,0.0,0.0,candidate200_complete_top5_incomplete,What is the date of birth of Alfonso Fadrique's father?,"John Fadrique || Juan Alfonso Pérez de Guzmán, 6th Duke of Medina Sidonia || Alfonso Pérez de Guzmán, 5th Duke of Medina Sidonia || Juan Alfonso Pérez de Guzmán, 3rd Duke of Medina Sidonia"
2wikimultihopqa,356,4,1804,Wilfred Lucas,47,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,Are director of film Four Days In November and director of film The Romance Of Tarzan from the same country?,Eddie Romero || Fred Zinnemann
2wikimultihopqa,358,4,2429,Joseph Henabery,22,rank21_50,0.0,0.0,candidate200_complete_top5_incomplete,"Which film has the director who died first, The Love Trader or Clancy Of The Mounted?",Philip Saville || Clarence Brown || Mason of the Mounted
2wikimultihopqa,358,4,2430,Ray Taylor (director),38,rank21_50,0.0,0.0,candidate200_complete_top5_incomplete,"Which film has the director who died first, The Love Trader or Clancy Of The Mounted?",Philip Saville || Clarence Brown || Mason of the Mounted
2wikimultihopqa,361,4,2441,Walter West (director),,missing_200,0.0,0.0,candidate200_incomplete_top5_partial,"Which film has the director who died first, Santa Fe Uprising or Trainer And Temptress?",Monta Bell || Anthony Mann
2wikimultihopqa,362,2,2449,Charles III of Spain,20,rank11_20,0.4444,0.0,candidate200_complete_top5_incomplete,Who is the mother of Infante Antonio Pascual Of Spain?,Infanta María Amalia of Spain (1779–1798) || Infanta María de la Paz of Spain || Infanta Blanca of Spain || Princess Maria Antonia of Naples and Sicily
2wikimultihopqa,367,2,2474,Dietrich III of Limburg-Styrum,12,rank11_20,0.5714,0.0,candidate200_complete_top5_incomplete,Who is Eberhard Of Limburg's paternal grandfather?,Wilhelm I of Limburg || Adolf of Limburg || Otto of Limburg || Reginald I of Guelders
2wikimultihopqa,373,4,2508,Mario Bava,14,rank11_20,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director who was born later, Complete Unknown or Dr. Goldfoot And The Girl Bombs?",Dr. Goldfoot and the Bikini Machine || Antonio Rinaldi (cinematographer)
2wikimultihopqa,376,2,2525,Deva (composer),18,rank11_20,0.0,0.0,candidate200_complete_top5_incomplete,Where was the composer of film Love Story 1999 born?,K. Raghavendra Rao || Hans J. Salter || Thomas Morse || Bruno Bizarro
2wikimultihopqa,379,4,2542,Gordon Douglas (director),28,rank21_50,1.0,1.0,candidate200_complete_top5_incomplete,"Which film has the director born later, Way...Way Out or The Biggest Show On Earth?",Henry Hathaway || Jack Smight
2wikimultihopqa,385,2,2574,"Hugh de Lacy, Lord of Meath",23,rank21_50,0.0,0.0,candidate200_complete_top5_incomplete,What is the place of birth of Rohese Of Monmouth's husband?,"Gilbert fitzBaderon || Rotrou IV, Count of Perche || Geoffrey de Mandeville, 2nd Earl of Essex || Leofric, Earl of Mercia"
2wikimultihopqa,389,4,2593,Jai Al-Attas,7,rank6_10,1.0,1.0,candidate200_complete_top5_incomplete,Are the directors of both films The Knockout Kid and One Nine Nine Four from the same country?,Knockout Kid || Gérard Oury
