dataset,query_index,question,gold_doc_count,gold_doc_indices,selected_top5,candidate_count,ExactMatch,F1,answer_string_hit_at5,gold_count_at5,failure_bucket,missing_gold_count_top5,missing_gold_doc_indices_top5,missing_gold_titles_top5,missing_gold_ranks_candidate200,missing_gold_rank_buckets,max_missing_gold_rank_candidate200,max_missing_gold_rank_bucket,near_title_substitution_proxy,selected_non_gold_titles,all_gold_at5,any_gold_at5,recall_at5,all_gold_at10,any_gold_at10,recall_at10,all_gold_at20,any_gold_at20,recall_at20,all_gold_at50,any_gold_at50,recall_at50,all_gold_at100,any_gold_at100,recall_at100,all_gold_at200,any_gold_at200,recall_at200
2wikimultihopqa,23,What is the place of birth of Lisbeth Palme's husband?,2,"[213, 211]","[213, 211, 214, 217, 3194]",200,0.0,0.0,True,2.0,top5_complete_reader_not_exact,0,[],[],[],[],,missing_200,False,"['Sven Ulric Palme', 'Karin Palme', ""Christopher O'Neill""]",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,24,"Which film came out first, 3 Dots or Dying God?",2,"[227, 219]","[227, 219, 221, 5321, 3130]",200,1.0,1.0,True,2.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,"['Dots', 'God of War (film)', ""God's Comedy""]",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,25,Who is the father-in-law of Sisowath Kossamak?,2,"[234, 236]","[234, 236, 1084, 5782, 2119]",200,0.0,0.0,True,2.0,top5_complete_reader_not_exact,0,[],[],[],[],,missing_200,False,"['Jayadevi', 'Mongkut', 'Anacyndaraxes']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,26,Who is Mugain's mother-in-law?,2,"[245, 247]","[245, 247, 1015, 640, 805]",200,1.0,1.0,True,2.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,"['Dáire Drechlethan', 'Minamoto no Chikako', 'Finguine mac Cathail']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,27,Where did Theodore Salisbury Woolsey's father study?,2,"[250, 251]","[250, 251, 249, 3243, 4053]",200,0.0,0.6667,True,2.0,top5_complete_reader_not_exact,0,[],[],[],[],,missing_200,False,"['Theodore Salisbury Woolsey Jr.', 'James Waddel Alexander', 'Takayama Tomoteru']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,28,What is the place of birth of the director of film The Return Of Swamp Thing?,2,"[252, 253]","[252, 253, 4535, 257, 258]",200,0.0,0.5,True,2.0,top5_complete_reader_not_exact,0,[],[],[],[],,missing_200,False,"['Rod Hardy', 'Swamp Thing (film)', 'Dick Durock']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,29,Where was the place of death of the performer of song I Can'T See Myself Leaving You?,2,"[263, 261]","[263, 261, 1897, 260, 181]",200,0.0,0.0,True,2.0,top5_complete_reader_not_exact,0,[],[],[],[],,missing_200,False,"['Sam Cooke', 'Leaving You', 'Donnie Elbert']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,30,"Which film has the director who was born later, Playing It Wild or I'Ll Be Going Now?",4,"[265, 270, 271, 272]","[270, 272, 265, 1646, 5446]",200,1.0,1.0,True,3.0,candidate200_complete_top5_incomplete,1,[271],['William Duncan (actor)'],[22],['rank21_50'],22,rank21_50,False,"['Victor Sjöström', 'Peter Glenville']",False,True,0.75,False,True,0.75,False,True,0.75,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,31,"What nationality is Beatrice I, Countess Of Burgundy's husband?",2,"[283, 278]","[276, 283, 274, 5473, 2828]",200,0.0,0.0,False,1.0,candidate200_complete_top5_incomplete,1,[278],"['Frederick I, Holy Roman Emperor']",[21],['rank21_50'],21,rank21_50,False,"['Frederick V, Duke of Swabia', 'Otto I, Count of Burgundy', 'Beatrice of Navarre, Duchess of Burgundy', 'Beatrice of Viennois']",False,True,0.5,False,True,0.5,False,True,0.5,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,32,"Which film has the director born later, Christ Walking On The Water or 45 Fathers?",4,"[287, 289, 290, 286]","[289, 286, 287, 862, 2464]",200,1.0,1.0,True,3.0,candidate200_complete_top5_incomplete,1,[290],['Georges Méliès'],[22],['rank21_50'],22,rank21_50,False,"['Bertrand Tavernier', 'Peter Greenaway']",False,True,0.75,False,True,0.75,False,True,0.75,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,33,Where was the performer of song Come Dance With Me (Song) born?,2,"[296, 297]","[296, 297, 300, 298, 294]",200,0.0,0.5,True,2.0,top5_complete_reader_not_exact,0,[],[],[],[],,missing_200,False,"['Dance with Me (Kelly Clarkson song)', 'Dance with Me (Zoli Ádok song)', 'Ven a bailar conmigo']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,34,Where does the director of film Talk About A Stranger work at?,2,"[306, 304]","[306, 1270, 2326, 5229, 502]",200,0.0,0.0,False,1.0,candidate200_complete_top5_incomplete,1,[304],['David Bradley (director)'],[57],['rank51_100'],57,rank51_100,False,"['Anthony Mann', 'Rudolf Steiner (film director)', 'Tim McCann (director)', 'Carl Haber']",False,True,0.5,False,True,0.5,False,True,0.5,False,True,0.5,True,True,1.0,True,True,1.0
2wikimultihopqa,35,"Who was born later, Gideon Johnson Pillow or Holm Jølsen?",2,"[312, 310]","[312, 310, 1943, 5178, 1988]",200,0.0,0.0,True,2.0,top5_complete_reader_not_exact,0,[],[],[],[],,missing_200,False,"['Ola Isene', 'Victor Janson', 'Gus Wickie']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,36,What is the place of birth of the composer of film Inherent Vice (Film)?,2,"[317, 316]","[317, 316, 318, 205, 467]",200,0.0,0.0,True,2.0,top5_complete_reader_not_exact,0,[],[],[],[],,missing_200,False,"['Thomas Morse', 'Walter Ulfig', 'Hans J. Salter']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,37,"Which film whose director is younger, Dangerously They Live or Salad By The Roots?",4,"[333, 330, 328, 325]","[333, 328, 330, 3240, 3736]",200,1.0,1.0,True,3.0,candidate200_complete_top5_incomplete,1,[325],['Georges Lautner'],[22],['rank21_50'],22,rank21_50,False,"['Werner Herzog', 'Roger Corman']",False,True,0.75,False,True,0.75,False,True,0.75,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,38,Where did Sylvia Burka's husband die?,2,"[334, 338]","[334, 338, 215, 707, 4085]",200,0.0,0.3333,True,2.0,top5_complete_reader_not_exact,0,[],[],[],[],,missing_200,False,"['Stan Marks', 'Robert W. Levering', 'Sybil B. G. Eysenck']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,39,"Who lived longer, Ludwig Elsbett or Pamela Ann Rymer?",2,"[349, 350]","[349, 3213, 350, 5330, 1838]",200,1.0,1.0,True,2.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,"['Margaret of Masovia', 'Princess Elisabeth of Hesse and by Rhine (1895–1903)', 'Princess Elisabeth Anna of Prussia']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,40,"Which film whose director is younger, Phalitamsha or Gladiators Seven?",4,"[356, 355, 357, 354]","[355, 354, 356, 5199, 2994]",200,1.0,1.0,True,3.0,candidate200_incomplete_top5_partial,1,[357],['Puttanna Kanagal'],[None],['missing_200'],,missing_200,False,"['Aditya Chopra', 'Sanjay Leela Bhansali']",False,True,0.75,False,True,0.75,False,True,0.75,False,True,0.75,False,True,0.75,False,True,0.75
2wikimultihopqa,41,"Which film has the director who was born later, Henry Goes Arizona or The Blue Collar Worker And The Hairdresser In A Whirl Of Sex And Politics?",4,"[365, 363, 358, 360]","[365, 358, 363, 1217, 1934]",200,1.0,1.0,True,3.0,candidate200_complete_top5_incomplete,1,[360],['Lina Wertmüller'],[22],['rank21_50'],22,rank21_50,False,"['Henry King (director)', 'Henry Hathaway']",False,True,0.75,False,True,0.75,False,True,0.75,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,42,"Who was born first, Hywel Teifi Edwards or Felix Schuster?",2,"[368, 369]","[369, 368, 1465, 314, 636]",200,1.0,1.0,True,2.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,"['Harold D. Schuster', 'Alexander Fuks', 'John Edward Bruce']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,43,"Which film has the director who was born first, Tombstone Rashomon or Waiting For The Clouds?",4,"[373, 371, 374, 372]","[373, 374, 371, 5912, 1883]",200,1.0,1.0,True,3.0,candidate200_incomplete_top5_partial,1,[372],['Yeşim Ustaoğlu'],[None],['missing_200'],,missing_200,False,"['Sergio Leone', 'John Sayles']",False,True,0.75,False,True,0.75,False,True,0.75,False,True,0.75,False,True,0.75,False,True,0.75
2wikimultihopqa,44,Where was the performer of song B Boy (Song) detained?,2,"[377, 375]","[377, 375, 5589, 681, 3975]",200,0.0,0.2857,True,2.0,top5_complete_reader_not_exact,0,[],[],[],[],,missing_200,False,"['Dice (rapper)', 'Chuck Berry', 'J-Flexx']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,45,"Which film has the director who was born later, Illusions (1982 Film) or It'S A Wonderful Afterlife?",4,"[383, 381, 379, 384]","[383, 379, 381, 384, 382]",200,1.0,1.0,True,4.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,['Goldy Notay'],True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,46,"Are both movies, Naked Tango and Algiers (Film), from the same country?",2,"[391, 390]","[390, 1819, 391, 1335, 576]",200,0.0,0.0,False,2.0,top5_complete_reader_not_exact,0,[],[],[],[],,missing_200,False,"['Low Deep T', 'The Lights of Buenos Aires', 'To the Heart']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,47,"Who lived longer, Sir Thomas Wheate, 1St Baronet or Albert Édouard Le Brethon De Caligny?",2,"[403, 402]","[402, 403, 397, 400, 3750]",200,1.0,1.0,True,2.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,"['Sir Thomas Wheate, 2nd Baronet', 'Sir Thomas Beaumont, 1st Baronet', 'Sir William Brereton, 1st Baronet']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,48,Where did the composer of film The Straw Hat die?,2,"[405, 407]","[405, 407, 5083, 319, 468]",200,1.0,1.0,True,2.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,"['Oscar Straus (composer)', 'Abe Meyer', 'Amedeo Escobar']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,49,Where does the director of film A Nest Of Noblemen work at?,2,"[408, 409]","[408, 409, 5387, 2464, 3224]",200,1.0,1.0,True,2.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,"['Aki Kaurismäki', 'Peter Greenaway', 'The Last of the Knucklemen']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,50,"Were both Pietro Salini and Domenico Ravenna, born in the same place?",2,"[419, 420]","[420, 419, 411, 413, 417]",200,0.0,0.0,False,2.0,top5_complete_reader_not_exact,0,[],[],[],[],,missing_200,False,"['Pierfelice Ravenna', 'Gino Ravenna', 'Pia Ravenna']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,51,"Who is the father-in-law of John Ernest, Duke Of Saxe-Eisenach?",2,"[426, 425]","[426, 1150, 427, 430, 424]",200,0.0,0.25,False,1.0,candidate200_incomplete_top5_partial,1,[425],['Christine of Hesse-Kassel (1578–1658)'],[None],['missing_200'],,missing_200,False,"['John Ernest II, Duke of Saxe-Weimar', 'John George II, Duke of Saxe-Eisenach', 'John William III, Duke of Saxe-Eisenach', 'William Ernest, Duke of Saxe-Weimar']",False,True,0.5,False,True,0.5,False,True,0.5,False,True,0.5,False,True,0.5,False,True,0.5
2wikimultihopqa,52,Who is the father of the director of film Palo Alto (2013 Film)?,2,"[439, 432]","[439, 432, 433, 1191, 935]",200,1.0,1.0,True,2.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,"['Jack Kilmer', 'Efren Reyes Sr.', 'Yasuichi Oshima']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,53,Who is the child of the director of film Los Pagares De Mendieta?,2,"[442, 444]","[442, 444, 784, 103, 461]",200,1.0,1.0,True,2.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,"['Gracia Querejeta', 'Luis Mandoki', 'Fernando Cortés']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,54,"Who lived longer, Hubert Mordek or Levon Ashotovich Grigorian?",2,"[447, 452]","[452, 2506, 447, 2057, 892]",200,1.0,1.0,True,2.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,"['Antonio Rinaldi (cinematographer)', 'Georg, Duke of Hohenberg', 'Moritz, Landgrave of Hesse']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,55,Who is the spouse of the director of film My Three Merry Widows?,2,"[458, 461]","[458, 461, 465, 927, 1993]",200,1.0,1.0,True,2.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,"['The Very Merry Widows', 'My Wife Is a Gangster', 'Sherry Hormann']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,56,Which country the composer of film Thunder On The Hill is from?,2,"[469, 467]","[469, 3927, 318, 205, 323]",200,0.0,0.0,False,1.0,candidate200_complete_top5_incomplete,1,[467],['Hans J. Salter'],[8],['rank6_10'],8,rank6_10,False,"['The Merry Monahans', 'Thomas Morse', 'Walter Ulfig', 'Bert Grund']",False,True,0.5,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,57,"Which film has the director born later, Arrête Ton Cinéma or Agni (2004 Film)?",4,"[473, 470, 477, 471]","[470, 471, 473, 862, 5745]",200,1.0,1.0,True,3.0,candidate200_complete_top5_incomplete,1,[477],['Diane Kurys'],[22],['rank21_50'],22,rank21_50,False,"['Bertrand Tavernier', 'Assassination (1964 film)']",False,True,0.75,False,True,0.75,False,True,0.75,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,58,"Who died earlier, Werner Mensching or Karel Zich?",2,"[484, 486]","[486, 5129, 484, 1277, 5246]",200,1.0,1.0,True,2.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,"['Elvis Presley', 'Karel Wellner', 'Karel Lamač']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,59,Where did Prince Ferdinand Of Bavaria's mother die?,2,"[497, 488]","[497, 1404, 1551, 5484, 495]",200,0.0,0.0,True,1.0,candidate200_complete_top5_incomplete,1,[488],['Infanta María de la Paz of Spain'],[10],['rank6_10'],10,rank6_10,False,"['Joseph Ferdinand of Bavaria', 'Maria Theresa of Austria-Este (1849–1919)', 'Princess Augusta of Bavaria', 'Duke Clement Francis of Bavaria']",False,True,0.5,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,60,Who is the child of the director of film An Event?,2,"[500, 501]","[500, 501, 4230, 438, 1450]",200,1.0,1.0,True,2.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,"['Anup Sengupta', 'Lars Eliasson', 'Steve Cooreman']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,61,What nationality is the director of film Good People (Film)?,2,"[504, 503]","[504, 503, 4348, 4125, 5387]",200,0.0,0.0,True,2.0,top5_complete_reader_not_exact,0,[],[],[],[],,missing_200,False,"['Mikael Håfström', 'Mark Pellington', 'Aki Kaurismäki']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,62,Are Gare De La Roche-Sur-Yon and Gare De Namps-Quevauvillers both located in the same country?,2,"[507, 514]","[507, 510, 514, 511, 509]",200,1.0,1.0,False,2.0,top5_complete_answer_exact,0,[],[],[],[],,missing_200,False,"['Gare de Montreuil-Bellay', 'Gare de Machecoul', 'Gare de Challans']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
2wikimultihopqa,63,What is the place of birth of the director of film Fortunella (Film)?,2,"[518, 516]","[518, 516, 4107, 3581, 2164]",200,0.0,0.0,True,2.0,top5_complete_reader_not_exact,0,[],[],[],[],,missing_200,False,"['Laura Neri', 'Raffaello Matarazzo', 'Monta Bell']",True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0
