dataset,query_index,question,risk_group,risk_high,requirement_count,dependent_req_count,max_dependency_depth,binding_candidate_count_total,binding_candidate_count_mean,binding_candidate_count_max,gold_doc_count,setr_selected_count,setr_under_selected,dbec_em,dbec_f1,setr_em,setr_f1,delta_em_dbec_minus_setr,delta_f1_dbec_minus_setr,dbec_r5_title,setr_r5_title,delta_r5_title_dbec_minus_setr,setr_parse_success,setr_empty_fallback_used,selective_binding_decision
2Wiki,17,Do both directors of films Wrong Turn 5: Bloodlines and Dark River (2017 Film) have the same nationality?,high,1,4,2,1,2.0,1.0,1.0,4,4,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,18,"Which film has the director who died first, The Goose Woman or You Can No Longer Remain Silent?",high,1,4,2,1,2.0,1.0,1.0,4,3,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.75,0.25,1,0,bind
2Wiki,19,Where was the director of film The Private Life Of Cinema born?,low,0,2,1,1,1.0,1.0,1.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,20,Where did Coulson Wallop's father study?,low,0,2,1,1,2.0,2.0,2.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,21,Why did John Middleton Murry's wife die?,low,0,2,1,1,1.0,1.0,1.0,2,2,0,0.0,0.3333,0.0,0.6666666666666666,0.0,-0.33336666666666664,1.0,1.0,0.0,1,0,bind
2Wiki,22,Where was the composer of film Billy Elliot born?,low,0,2,1,1,1.0,1.0,1.0,2,3,0,1.0,1.0,0.0,0.6666666666666666,1.0,0.33333333333333337,1.0,1.0,0.0,1,0,bind
2Wiki,23,What is the place of birth of Lisbeth Palme's husband?,low,0,2,1,1,1.0,1.0,1.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,24,"Which film came out first, 3 Dots or Dying God?",high,1,3,1,1,0.0,0.0,0.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,abstain
2Wiki,25,Who is the father-in-law of Sisowath Kossamak?,low,0,2,1,1,1.0,1.0,1.0,2,3,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,26,Who is Mugain's mother-in-law?,high,1,3,2,2,2.0,1.0,1.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,27,Where did Theodore Salisbury Woolsey's father study?,low,0,2,1,1,1.0,1.0,1.0,2,2,0,0.0,0.6667,0.0,0.6666666666666666,0.0,3.333333333332966e-05,1.0,1.0,0.0,1,0,bind
2Wiki,28,What is the place of birth of the director of film The Return Of Swamp Thing?,low,0,2,1,1,1.0,1.0,1.0,2,2,0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,29,Where was the place of death of the performer of song I Can'T See Myself Leaving You?,low,0,2,1,1,1.0,1.0,1.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,30,"Which film has the director who was born later, Playing It Wild or I'Ll Be Going Now?",high,1,4,2,1,2.0,1.0,1.0,4,3,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.75,0.25,1,0,bind
2Wiki,31,"What nationality is Beatrice I, Countess Of Burgundy's husband?",low,0,2,1,1,2.0,2.0,2.0,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1,0,bind
2Wiki,32,"Which film has the director born later, Christ Walking On The Water or 45 Fathers?",high,1,4,2,1,2.0,1.0,1.0,4,4,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,33,Where was the performer of song Come Dance With Me (Song) born?,low,0,2,1,1,1.0,1.0,1.0,2,2,0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,1,0,bind
2Wiki,34,Where does the director of film Talk About A Stranger work at?,low,0,2,1,1,1.0,1.0,1.0,2,2,0,0.0,0.2857,0.0,0.2857142857142857,0.0,-1.4285714285688922e-05,1.0,1.0,0.0,1,0,bind
2Wiki,35,"Who was born later, Gideon Johnson Pillow or Holm Jølsen?",high,1,3,1,1,0.0,0.0,0.0,2,2,0,0.0,0.0,1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,1,0,abstain
2Wiki,36,What is the place of birth of the composer of film Inherent Vice (Film)?,low,0,2,1,1,3.0,3.0,3.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,37,"Which film whose director is younger, Dangerously They Live or Salad By The Roots?",high,1,4,2,1,2.0,1.0,1.0,4,4,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,38,Where did Sylvia Burka's husband die?,low,0,2,1,1,1.0,1.0,1.0,2,2,0,0.0,0.0,0.0,0.33333333333333337,0.0,-0.33333333333333337,1.0,1.0,0.0,1,0,bind
2Wiki,39,"Who lived longer, Ludwig Elsbett or Pamela Ann Rymer?",high,1,3,1,1,0.0,0.0,0.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,abstain
2Wiki,40,"Which film whose director is younger, Phalitamsha or Gladiators Seven?",high,1,4,2,1,1.0,0.5,1.0,4,4,0,0.0,0.0,1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,1,0,bind
2Wiki,41,"Which film has the director who was born later, Henry Goes Arizona or The Blue Collar Worker And The Hairdresser In A Whirl Of Sex And Politics?",high,1,4,2,1,2.0,1.0,1.0,4,4,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,42,"Who was born first, Hywel Teifi Edwards or Felix Schuster?",high,1,3,1,1,0.0,0.0,0.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,abstain
2Wiki,43,"Which film has the director who was born first, Tombstone Rashomon or Waiting For The Clouds?",high,1,4,2,1,1.0,0.5,1.0,4,4,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,44,Where was the performer of song B Boy (Song) detained?,low,0,2,1,1,2.0,2.0,2.0,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1,0,bind
2Wiki,45,"Which film has the director who was born later, Illusions (1982 Film) or It'S A Wonderful Afterlife?",high,1,4,2,1,2.0,1.0,1.0,4,4,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,46,"Are both movies, Naked Tango and Algiers (Film), from the same country?",high,1,3,1,1,0.0,0.0,0.0,2,2,0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1.0,-1.0,1,0,abstain
2Wiki,47,"Who lived longer, Sir Thomas Wheate, 1St Baronet or Albert Édouard Le Brethon De Caligny?",high,1,4,2,1,0.0,0.0,0.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,abstain
2Wiki,48,Where did the composer of film The Straw Hat die?,low,0,2,1,1,5.0,5.0,5.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,49,Where does the director of film A Nest Of Noblemen work at?,low,0,2,1,1,1.0,1.0,1.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,50,"Were both Pietro Salini and Domenico Ravenna, born in the same place?",high,1,3,1,1,0.0,0.0,0.0,2,6,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,abstain
2Wiki,51,"Who is the father-in-law of John Ernest, Duke Of Saxe-Eisenach?",low,0,2,1,1,0.0,0.0,0.0,2,3,0,0.0,0.2222,0.0,0.1818181818181818,0.0,0.04038181818181821,0.0,0.0,0.0,1,0,abstain
2Wiki,52,Who is the father of the director of film Palo Alto (2013 Film)?,low,0,2,1,1,1.0,1.0,1.0,2,4,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,53,Who is the child of the director of film Los Pagares De Mendieta?,low,0,2,1,1,1.0,1.0,1.0,2,3,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,54,"Who lived longer, Hubert Mordek or Levon Ashotovich Grigorian?",high,1,3,1,1,0.0,0.0,0.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,abstain
2Wiki,55,Who is the spouse of the director of film My Three Merry Widows?,low,0,2,1,1,1.0,1.0,1.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,56,Which country the composer of film Thunder On The Hill is from?,low,0,2,1,1,4.0,4.0,4.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,57,"Which film has the director born later, Arrête Ton Cinéma or Agni (2004 Film)?",high,1,4,2,1,2.0,1.0,1.0,4,3,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.75,0.25,1,0,bind
2Wiki,58,"Who died earlier, Werner Mensching or Karel Zich?",high,1,3,1,1,0.0,0.0,0.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,abstain
2Wiki,59,Where did Prince Ferdinand Of Bavaria's mother die?,low,0,2,1,1,3.0,3.0,3.0,2,2,0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,60,Who is the child of the director of film An Event?,low,0,2,1,1,2.0,2.0,2.0,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,61,What nationality is the director of film Good People (Film)?,low,0,2,1,1,2.0,2.0,2.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,62,Are Gare De La Roche-Sur-Yon and Gare De Namps-Quevauvillers both located in the same country?,high,1,3,1,1,1.0,1.0,1.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,63,What is the place of birth of the director of film Fortunella (Film)?,low,0,2,1,1,3.0,3.0,3.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,64,Where was the husband of Joanna Elisabeth Of Holstein-Gottorp born?,low,0,2,1,1,1.0,1.0,1.0,2,3,0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,1,0,bind
2Wiki,65,Where was the place of death of Abdul-Aziz Bin Muhammad's father?,low,0,2,1,1,2.0,2.0,2.0,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,66,"Which film has the director who died later, Love, Honor And Oh-Baby! or I Cover The Underworld?",high,1,4,2,1,2.0,1.0,1.0,4,4,0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.5,1.0,-0.5,1,0,bind
2Wiki,67,Where was the director of film The Circus Cyclone born?,low,0,2,1,1,2.0,2.0,2.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,68,"Are the movies Wizards Of The Lost Kingdom and Final Exam (1981 Film), from the same country?",high,1,3,1,1,0.0,0.0,0.0,2,3,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,abstain
2Wiki,69,"Which museum was established first, Museum Of Croatian Archaeological Monuments or Bayernhof Music Museum?",high,1,3,1,1,0.0,0.0,0.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,abstain
2Wiki,70,Are Christopher Newton (Criminal) and Frances M. Vega of the same nationality?,low,0,2,0,0,0.0,0.0,0.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,abstain
2Wiki,71,Where did the director of film Dancing In The Rain (Film) die?,low,0,2,1,1,4.0,4.0,4.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,72,Where did Saw Thanda's husband die?,low,0,2,1,1,0.0,0.0,0.0,2,2,0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,1,0,abstain
2Wiki,73,"Did the movies Inside The Room and Crude Set Drama, originate from the same country?",high,1,3,1,1,0.0,0.0,0.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,abstain
2Wiki,74,"Which film has the director who was born earlier, The Marriage Of Princess Demidoff or The Pocket-Knife?",high,1,4,2,1,3.0,1.5,2.0,4,4,0,1.0,1.0,1.0,1.0,0.0,0.0,0.75,1.0,-0.25,1,0,bind
2Wiki,75,"Which film has the director who is older than the other, Airheads or Return To Cabin By The Lake?",high,1,4,2,1,3.0,1.5,2.0,4,4,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,76,"Which film was released first, A Romance Of Seville or Pirates Of The Sky?",high,1,3,1,1,0.0,0.0,0.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,abstain
2Wiki,77,"Which film has the director died later, Lost In The Stratosphere or Blind Man'S Eyes?",high,1,4,2,1,1.0,0.5,1.0,4,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.25,1,0,bind
2Wiki,78,What nationality is the performer of song Am I Wrong (Étienne De Crécy Song)?,low,0,2,1,1,1.0,1.0,1.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,79,"Who was born earlier, Marjatta Raita or Bruce Coulter?",high,1,3,1,1,0.0,0.0,0.0,2,2,0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1.0,-1.0,1,0,abstain
2Wiki,80,Who is the mother of the director of film Atomised (Film)?,low,0,2,1,1,3.0,3.0,3.0,2,2,0,0.0,0.0,1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,1,0,bind
2Wiki,81,Was Angus Wagner or Juan Carlos Falcón born first?,high,1,3,1,1,0.0,0.0,0.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,abstain
2Wiki,82,What is the date of birth of Henry I Of Ziębice's father?,low,0,2,1,1,1.0,1.0,1.0,2,2,0,0.0,0.4,0.0,0.4,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,83,Was Sammy Hagar or Renaud Garcia-Fons born first?,high,1,3,1,1,0.0,0.0,0.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,abstain
2Wiki,84,Do David Elliot (Illustrator) and Eustace William Ferguson share the same nationality?,high,1,3,1,1,2.0,2.0,2.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,85,Where was the composer of song Back In The U.S.A. born?,low,0,2,1,1,3.0,3.0,3.0,2,5,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,86,"Who is older, Cheryl Saban or Dmitry Grigorieff?",high,1,3,1,1,0.0,0.0,0.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,abstain
2Wiki,87,"Which film has the director who was born later, The First Day Of Freedom or Malabimba – The Malicious Whore?",high,1,4,2,1,2.0,1.0,1.0,4,3,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.75,0.25,1,0,bind
2Wiki,88,Was Jorge Ledezma or Yuliya Baraley born first?,high,1,3,1,1,0.0,0.0,0.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,abstain
2Wiki,89,Who is Sibyl Hathaway's child-in-law?,low,0,2,1,1,1.0,1.0,1.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1,0,bind
2Wiki,90,"Which film has the director born first, Sins Of Madeleine or Captain Apache?",high,1,3,1,1,4.0,4.0,4.0,4,4,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,91,Who is Godomar Ii's stepmother?,high,1,3,2,2,0.0,0.0,0.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1,0,abstain
2Wiki,92,Where was the director of film The Outlaw Express born?,low,0,2,1,1,2.0,2.0,2.0,2,4,0,0.0,0.8,0.0,0.8,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,93,"Which film has the director who died later, 45 Calibre Echo or Bons Baisers De Hong Kong?",high,1,4,2,1,3.0,1.5,2.0,4,4,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.75,0.25,1,0,bind
2Wiki,94,What nationality is Lamprocles's father?,low,0,2,1,1,1.0,1.0,1.0,2,1,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,1,0,bind
2Wiki,95,Which country the performer of song I Like Control is from?,low,0,2,1,1,1.0,1.0,1.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,96,"Which film has the director born later, Romance On The Run or The Palace Of Angels?",high,1,4,2,1,2.0,1.0,1.0,4,3,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.75,0.25,1,0,bind
2Wiki,97,"Which film has the director born first, Mord Em'Ly or Ek Hi Bhool (1940 Film)?",high,1,4,2,1,2.0,1.0,1.0,4,3,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.75,0.25,1,0,bind
2Wiki,98,"Which film has the director born earlier, The Korean Wedding Chest or True To The Navy?",high,1,4,2,1,2.0,1.0,1.0,4,4,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,99,Who is Marianus V Of Arborea's mother?,low,0,1,0,0,0.0,0.0,0.0,2,2,0,0.0,0.5,1.0,1.0,-1.0,-0.5,1.0,1.0,0.0,1,0,abstain
2Wiki,100,"Who is the paternal grandfather of Margaret Of Bavaria, Marchioness Of Mantua?",high,1,3,2,2,10.0,5.0,5.0,2,3,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,101,"Which film has the director who was born later, Felices 140 or Dr. Who And The Daleks?",high,1,4,2,1,2.0,1.0,1.0,4,3,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.75,0.25,1,0,bind
2Wiki,102,"Which film came out first, Mama'S Little Pirate or Beauties On Motor Scooters?",high,1,3,1,1,0.0,0.0,0.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,abstain
2Wiki,103,"Which film came out earlier, Two Brides And A Baby or Dinner At The Ritz?",high,1,3,1,1,0.0,0.0,0.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,abstain
2Wiki,104,Where did the composer of film Camille (1926 Feature Film) die?,low,0,2,1,1,2.0,2.0,2.0,2,2,0,0.0,0.6667,0.0,0.6666666666666666,0.0,3.333333333332966e-05,1.0,1.0,0.0,1,0,bind
2Wiki,105,Who is Colgú Mac Faílbe Flaind's uncle?,high,1,4,3,3,3.0,1.0,1.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,1,0,bind
2Wiki,106,Who is the sibling-in-law of Jean Tangye?,low,0,2,1,1,1.0,1.0,1.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,107,Where was the founder of magazine Track & Field News born?,low,0,2,1,1,1.0,1.0,1.0,2,1,1,0.0,0.8,0.0,0.8,0.0,0.0,1.0,0.5,0.5,1,0,bind
2Wiki,108,Was Shahanuddin Choudhury or Domenico Distilo born first?,high,1,3,1,1,0.0,0.0,0.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,abstain
2Wiki,109,"What is the date of death of Alfonso Pérez De Guzmán, 5Th Duke Of Medina Sidonia's father?",low,0,2,1,1,5.0,5.0,5.0,2,5,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,110,What is the place of birth of the performer of song Merry-Go-Round (Ayumi Hamasaki Song)?,low,0,2,1,1,2.0,2.0,2.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,111,"Which film has the director who is older than the other, The Lone Prairie or Buckaroo From Powder River?",high,1,4,2,1,5.0,2.5,3.0,4,3,1,1.0,1.0,0.0,0.0,1.0,1.0,0.75,0.75,0.0,1,0,bind
2Wiki,112,"Which film has the director who was born earlier, César And Rosalie or Beatrice (1987 Film)?",high,1,4,2,1,2.0,1.0,1.0,4,4,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,113,Are Wiqu (Lima) and Qillqa (Melgar) both located in the same country?,high,1,3,1,1,0.0,0.0,0.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,abstain
2Wiki,114,"Which film has the director died later, The Glass Wall or Where Does It Hurt??",high,1,4,2,1,3.0,1.5,2.0,4,4,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,115,"What is the date of death of Hermann Ii, Landgrave Of Hesse's father?",low,0,2,1,1,1.0,1.0,1.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,116,Where was the director of film Do You Believe? (Film) born?,low,0,2,1,1,1.0,1.0,1.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,117,"When is Napier Sturt, 3Rd Baron Alington's father's birthday?",low,0,2,1,1,3.0,3.0,3.0,2,2,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,118,"Which film has the director who is older, Amira & Sam or Fat Man And Little Boy?",high,1,4,2,1,2.0,1.0,1.0,4,5,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,119,What is the place of birth of the director of film Peter'S Friends?,low,0,2,1,1,1.0,1.0,1.0,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1,0,bind
2Wiki,120,When was the company that published The Miscellany News founded?,low,0,2,1,1,0.0,0.0,0.0,2,1,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,1,0,abstain
2Wiki,121,"Which film has the director who died first, Haiducii (Film) or My Wife'S Best Friend?",high,1,4,2,1,4.0,2.0,3.0,4,3,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.75,0.25,1,0,bind
2Wiki,122,Who is the father of the director of film Battle In Seattle?,low,0,2,1,1,1.0,1.0,1.0,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,bind
2Wiki,123,What nationality is the composer of song Make The World Move?,low,0,2,1,1,0.0,0.0,0.0,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1,0,abstain
2Wiki,124,Where was the place of death of the director of film The Notorious Miss Lisle?,low,0,2,1,1,1.0,1.0,1.0,2,2,0,0.0,0.6667,0.0,0.6666666666666666,0.0,3.333333333332966e-05,1.0,1.0,0.0,1,0,bind
