dataset,question,query_type,oracle_label,selected_by_dryrun,selected_by_judge,dep_triggered,query_dependency_mode,candidate_pool_position,replace_pool_position,candidate_title,replace_incumbent_title,score_delta,oracle_delta_em,oracle_delta_f1,candidate_top_psi_flat,candidate_top_psi_dep,incumbent_top_psi_flat,incumbent_top_psi_dep,G_flat_before_top2,G_flat_after_top2,delta_flat_top2,G_dep_before_top2,G_dep_after_top2,delta_dep_top2,delta_flat_max,delta_flat_full,delta_dep_max,delta_dep_full
musique,What year did the publisher of Labyrinth end?,standard,positive,True,False,False,flat_fallback,55,8,The Lord of the Rings,Spectrum HoloByte,0.75,1.0,1.0,0.0122,0.0122,0.0056,0.0056,1.6647,1.6647,0.0,1.6647,1.6647,0.0,0.0,0.0013,0.0,0.0013
musique,Where does the body of water by the city where the Southeast Library designer died empty into the Gulf of Mexico?,standard,positive,False,False,True,dependency,29,8,Riverside Plaza,Gulf of Mexico,-8.4688,0.0,0.8,0.0,0.0001,0.0603,0.1052,2.3173,2.3173,0.0,1.1273,1.1273,0.0,0.0,-0.0226,0.0,-0.0583
musique,Where does the body of water by the city where the Southeast Library designer died empty into the Gulf of Mexico?,standard,positive,False,False,True,dependency,29,7,Riverside Plaza,Gulf of Mexico,-8.1758,0.0,0.4,0.0,0.0001,0.0984,0.1741,2.3173,2.3173,0.0,1.1273,1.1273,0.0,0.0,-0.0363,0.0,-0.0932
musique,Where does the body of water by the city where the Southeast Library designer died empty into the Gulf of Mexico?,standard,positive,False,False,True,dependency,96,8,Ohio River,Gulf of Mexico,-6.336,0.0,0.3333,0.0004,0.0006,0.0603,0.1052,2.3173,2.3173,0.0,1.1273,1.1273,0.0,0.0,-0.0225,0.0,-0.058
musique,When did the explorer reach the city where the headquarters of the only group larger than Vilaiyaadu Mankatha's record label is located?,standard,negative,True,True,False,flat_fallback,67,5,New York City,"Richmond, Virginia",1.9922,0.0,0.0,0.0023,0.0023,0.0002,0.0002,0.0384,0.0384,0.0,0.0384,0.0384,0.0,0.0,0.0039,0.0,0.0039
musique,How were the people from whom new coins were a proclamation of independence by the Somali Muslim Ajuran Empire expelled from the country between Thailand and A Lim's country?,standard,negative,True,False,True,dependency,16,6,Portugal,British Empire,1.168,0.0,0.0,0.0228,0.0234,0.0062,0.0085,2.9164,2.9164,0.0,1.6941,1.6941,0.0,0.0,0.0063,0.0,0.0067
musique,What is the birthplace of the person after whom São José dos Campos was named?,standard,negative,False,False,False,flat_fallback,99,1,Modern history,José Pinto Coelho,1.4024,0.0,0.0,0.0012,0.0012,0.0024,0.0024,1.9094,1.9094,-0.0,1.9094,1.9094,-0.0,0.0,-0.0001,0.0,-0.0001
musique,What is the birthplace of the person after whom São José dos Campos was named?,standard,negative,True,False,False,flat_fallback,99,9,Modern history,Mission San Carlos Borromeo de Carmelo,1.5235,0.0,0.0,0.0012,0.0012,0.0013,0.0013,1.9094,1.9094,0.0,1.9094,1.9094,0.0,0.0,0.0,0.0,0.0
musique,What company succeeded the owner of Empire Sports Network?,standard,negative,False,False,False,flat_fallback,59,1,Manchester City F.C.,NBCSN,0.3008,0.0,0.0,0.0033,0.0033,0.0091,0.0091,1.9923,1.9922,-0.0,1.9923,1.9922,-0.0,0.0,-0.0,0.0,-0.0
musique,What company succeeded the owner of Empire Sports Network?,standard,negative,True,False,False,flat_fallback,59,8,Manchester City F.C.,EA Sports,0.8984,0.0,0.0,0.0033,0.0033,0.0056,0.0056,1.9923,1.9923,0.0,1.9923,1.9923,0.0,0.0,-0.0,0.0,-0.0
musique,When was the Palau de la Generalitat constructed in the city where Martin from the region where Perdiguera is located died?,standard,positive,False,False,False,flat_fallback,53,3,Utrecht,Palau Güell,-3.2539,1.0,1.0,0.0012,0.0012,0.0567,0.0567,1.9819,1.9819,0.0,1.9819,1.9819,0.0,0.0,-0.0008,0.0,-0.0008
musique,When was the Palau de la Generalitat constructed in the city where Martin from the region where Perdiguera is located died?,standard,positive,False,False,False,flat_fallback,53,5,Utrecht,Josep Domènech i Estapà,-0.125,1.0,1.0,0.0012,0.0012,0.0023,0.0023,1.9819,1.9819,0.0,1.9819,1.9819,0.0,0.0,-0.0,0.0,-0.0
musique,When was the Palau de la Generalitat constructed in the city where Martin from the region where Perdiguera is located died?,standard,positive,False,False,False,flat_fallback,81,3,Modern history,Palau Güell,-3.4063,1.0,1.0,0.0004,0.0004,0.0567,0.0567,1.9819,1.9819,0.0,1.9819,1.9819,0.0,0.0,-0.0008,0.0,-0.0008
musique,When was the Palau de la Generalitat constructed in the city where Martin from the region where Perdiguera is located died?,standard,positive,False,False,False,flat_fallback,81,5,Modern history,Josep Domènech i Estapà,-0.2774,1.0,1.0,0.0004,0.0004,0.0023,0.0023,1.9819,1.9819,0.0,1.9819,1.9819,0.0,0.0,-0.0,0.0,-0.0
musique,Who is the mascot of the university related to Randy Conrads?,standard,positive,False,False,False,flat_fallback,69,7,Mickey Mouse,Leo Harris,-1.0254,1.0,1.0,0.0308,0.0308,0.021,0.021,0.7682,0.7682,0.0,0.7682,0.7682,0.0,0.0,-0.001,0.0,-0.001
musique,"What does seal stand for in the U.S. military branch that operates destroyers, as well as the USS Edsall?",standard,positive,False,False,True,dependency,81,7,Victor-class submarine,USS Rhodes (DE-384),-6.5234,1.0,1.0,0.0005,0.0017,0.0598,0.1192,3.0432,3.0432,0.0,2.1231,2.1231,0.0,0.0,-0.0301,0.0,-0.0564
musique,"What does seal stand for in the U.S. military branch that operates destroyers, as well as the USS Edsall?",standard,positive,False,False,True,dependency,82,7,Separation of powers under the United States Constitution,USS Rhodes (DE-384),-3.3789,1.0,1.0,0.0014,0.002,0.0598,0.1192,3.0432,3.0432,0.0,2.1231,2.1231,0.0,0.0,-0.0296,0.0,-0.0558
musique,"What does seal stand for in the U.S. military branch that operates destroyers, as well as the USS Edsall?",standard,positive,False,False,True,dependency,82,4,Separation of powers under the United States Constitution,USS Holder (DE-401),-3.1875,1.0,1.0,0.0014,0.002,0.0698,0.0995,3.0432,3.0432,0.0,2.1231,2.1231,0.0,0.0,-0.0436,0.0,-0.0681
musique,Who is the child of the Italian navigator who explored the eastern coast of the continent César Gaytan was born in for the English?,standard,positive,False,False,False,flat_fallback,65,5,Modern history,Pedro Álvares Cabral,-1.0859,1.0,1.0,0.0004,0.0004,0.0008,0.0008,0.2705,0.2705,0.0,0.2705,0.2705,0.0,0.0,-0.0008,0.0,-0.0008
musique,Who is the child of the Italian navigator who explored the eastern coast of the continent César Gaytan was born in for the English?,standard,positive,False,False,False,flat_fallback,65,9,Modern history,History of the west coast of North America,-0.9688,1.0,1.0,0.0004,0.0004,0.0012,0.0012,0.2705,0.2705,0.0,0.2705,0.2705,0.0,0.0,-0.0012,0.0,-0.0012
musique,Who is the spouse of Young Man Luther's author?,standard,negative,False,False,False,flat_fallback,38,7,Reformation,Margaret Knox,-4.3008,0.0,0.0,0.0005,0.0005,0.0048,0.0048,0.8471,0.8471,0.0,0.8471,0.8471,0.0,0.0,-0.0024,0.0,-0.0024
musique,Who is the spouse of Young Man Luther's author?,standard,negative,False,False,False,flat_fallback,38,8,Reformation,Sarah Stewart (author),-4.125,0.0,0.0,0.0005,0.0005,0.0053,0.0053,0.8471,0.8471,0.0,0.8471,0.8471,0.0,0.0,-0.0036,0.0,-0.0036
musique,How many times did the plague occur in the city where the painter of The Bacchanal of the Andrians died?,standard,positive,False,False,True,dependency,81,4,Portrait of Lavinia Vecellio,Black Death,-6.8809,1.0,1.0,0.0002,0.0004,0.0334,0.0444,3.9552,3.9552,0.0,3.875,3.875,0.0,0.0,-0.0011,0.0,-0.0031
musique,How many times did the plague occur in the city where the painter of The Bacchanal of the Andrians died?,standard,positive,False,False,True,dependency,81,2,Portrait of Lavinia Vecellio,Black Death,-6.5488,1.0,1.0,0.0002,0.0004,0.0087,0.0141,3.9552,3.9552,0.0,3.875,3.875,0.0,0.0,-0.0003,0.0,-0.0009
musique,How many times did the plague occur in the city where the painter of The Bacchanal of the Andrians died?,standard,positive,False,False,True,dependency,30,4,Huns,Black Death,-2.0254,1.0,1.0,0.0049,0.0065,0.0334,0.0444,3.9552,3.9552,0.0,3.875,3.875,0.0,0.0,-0.0009,0.0,-0.0027
musique,Where did the arguer that the country Directive 10/2 called for actions against had become an imperialist power declare he would intervene in the Korean conflict?,standard,positive,False,False,False,flat_fallback,77,4,Cold War,Korean War,-2.3965,1.0,1.0,0.0143,0.0143,0.5045,0.5045,1.9737,1.9737,0.0,1.9737,1.9737,0.0,0.0,-0.0049,0.0,-0.0049
musique,Where did the arguer that the country Directive 10/2 called for actions against had become an imperialist power declare he would intervene in the Korean conflict?,standard,negative,False,False,False,flat_fallback,77,6,Cold War,Korean War,-1.8125,0.0,0.0,0.0143,0.0143,0.3837,0.3837,1.9737,1.9737,0.0,1.9737,1.9737,0.0,0.0,-0.0044,0.0,-0.0044
musique,Where did the arguer that the country Directive 10/2 called for actions against had become an imperialist power declare he would intervene in the Korean conflict?,standard,positive,False,False,False,flat_fallback,72,6,Pacific War,Korean War,-6.2305,1.0,1.0,0.0019,0.0019,0.3837,0.3837,1.9737,1.9737,0.0,1.9737,1.9737,0.0,0.0,-0.0045,0.0,-0.0045
musique,Where did the arguer that the country Directive 10/2 called for actions against had become an imperialist power declare he would intervene in the Korean conflict?,standard,positive,False,False,False,flat_fallback,71,4,Modern history,Korean War,-6.2559,1.0,1.0,0.0024,0.0024,0.5045,0.5045,1.9737,1.9737,0.0,1.9737,1.9737,0.0,0.0,-0.005,0.0,-0.005
musique,Where did the arguer that the country Directive 10/2 called for actions against had become an imperialist power declare he would intervene in the Korean conflict?,standard,positive,False,False,False,flat_fallback,71,6,Modern history,Korean War,-5.6719,1.0,1.0,0.0024,0.0024,0.3837,0.3837,1.9737,1.9737,0.0,1.9737,1.9737,0.0,0.0,-0.0045,0.0,-0.0045
musique,When did the city where Greenwood Laboratory School is located become capitol of the state where the screenwriter of The Poor Boob was born?,standard,positive,False,False,True,dependency,99,0,Gone Girl (novel),Forrest Gump,-3.7227,0.0,0.0016,0.0003,0.0005,0.0054,0.014,3.9988,3.9988,0.0,3.9937,3.9937,0.0,0.0,-0.0,0.0,-0.0
musique,When did the city where Greenwood Laboratory School is located become capitol of the state where the screenwriter of The Poor Boob was born?,standard,positive,False,False,True,dependency,99,5,Gone Girl (novel),Beverly Loraine Greene,-1.918,1.0,1.0,0.0003,0.0005,0.0008,0.0014,3.9988,3.9988,0.0,3.9937,3.9937,0.0,0.0,-0.0,0.0,-0.0
musique,Who is played by the director of The Good Shepherd in The Godfather?,standard,positive,False,False,True,dependency,29,4,The Bourne Legacy (film),Tom Hagen,-5.6758,1.0,1.0,0.0013,0.0021,0.7942,0.705,3.7986,3.7534,-0.0452,3.3068,2.9459,-0.3608,-0.1157,-0.0415,-0.3197,-0.2716
musique,When was the region immediately north of the region that prevailed with the disgrace of Near East and the terrain feature on which shamal is located created?,standard,negative,False,False,False,flat_fallback,38,9,History of science,Near East,-4.1993,0.0,0.0,0.0001,0.0001,0.054,0.054,1.8659,1.8659,0.0,1.8659,1.8659,0.0,0.0,-0.0054,0.0,-0.0054
musique,How did did the people fare during the reign of the abolisher of sati partha in India?,standard,negative,False,False,False,flat_fallback,80,9,Delhi,Nawabs of Bengal and Murshidabad,-1.2851,0.0,0.0,0.0029,0.0029,0.0004,0.0004,0.0612,0.0612,0.0,0.0612,0.0612,0.0,0.0,0.0034,0.0,0.0034
musique,How did did the people fare during the reign of the abolisher of sati partha in India?,standard,positive,False,False,False,flat_fallback,45,9,British Empire,Nawabs of Bengal and Murshidabad,0.4453,0.0,0.0769,0.0012,0.0012,0.0004,0.0004,0.0612,0.0612,0.0,0.0612,0.0612,0.0,0.0,0.0014,0.0,0.0014
musique,How did did the people fare during the reign of the abolisher of sati partha in India?,standard,positive,True,False,False,flat_fallback,45,5,British Empire,Indian Rebellion of 1857,0.6914,0.0,0.1818,0.0012,0.0012,0.0012,0.0012,0.0612,0.0612,0.0,0.0612,0.0612,0.0,0.0,0.0,0.0,0.0
musique,How did did the people fare during the reign of the abolisher of sati partha in India?,standard,positive,False,False,False,flat_fallback,54,9,Warren Hastings,Nawabs of Bengal and Murshidabad,-1.9726,0.0,0.125,0.0005,0.0005,0.0004,0.0004,0.0612,0.0612,0.0,0.0612,0.0612,0.0,0.0,-0.0,0.0,-0.0
musique,What is the position of the 1st governor general of India?,standard,positive,False,False,False,flat_fallback,12,0,Nawabs of Bengal and Murshidabad,Governor-General of India,-5.7539,1.0,1.0,0.3682,0.3682,0.9292,0.9292,1.9957,1.9957,0.0,1.9957,1.9957,0.0,0.0,-0.0,0.0,-0.0
musique,What is the position of the 1st governor general of India?,standard,positive,False,False,False,flat_fallback,52,5,Jallianwala Bagh massacre,Governor-General of India,-9.2695,1.0,1.0,0.0014,0.0014,0.8389,0.8389,1.9957,1.9957,0.0,1.9957,1.9957,0.0,0.0,-0.0,0.0,-0.0
musique,What is the position of the 1st governor general of India?,standard,positive,False,False,False,flat_fallback,44,0,British Empire,Governor-General of India,-9.4141,1.0,1.0,0.015,0.015,0.9292,0.9292,1.9957,1.9957,0.0,1.9957,1.9957,0.0,0.0,-0.0001,0.0,-0.0001
musique,What is the position of the 1st governor general of India?,standard,positive,False,False,False,flat_fallback,44,5,British Empire,Governor-General of India,-8.7578,1.0,1.0,0.015,0.015,0.8389,0.8389,1.9957,1.9957,0.0,1.9957,1.9957,0.0,0.0,-0.0,0.0,-0.0
musique,Who is the child of the president who suffered a major defeat when the body which approves members of the American cabinet refused to ratify the Versailles treaty?,standard,positive,False,False,False,flat_fallback,52,9,Founding Fathers of the United States,Chester Alan Arthur II,-1.1953,1.0,1.0,0.0008,0.0008,0.0023,0.0023,0.3792,0.3792,0.0,0.3792,0.3792,0.0,0.0,-0.0023,0.0,-0.0023
musique,Who is the child of the president who suffered a major defeat when the body which approves members of the American cabinet refused to ratify the Versailles treaty?,standard,positive,False,False,False,flat_fallback,52,3,Founding Fathers of the United States,William Howard Taft,-0.9336,1.0,1.0,0.0008,0.0008,0.0304,0.0304,0.3792,0.3792,0.0,0.3792,0.3792,0.0,0.0,-0.0356,0.0,-0.0356
musique,Who is the child of the president who suffered a major defeat when the body which approves members of the American cabinet refused to ratify the Versailles treaty?,standard,positive,False,False,False,flat_fallback,59,9,Women's suffrage in the United States,Chester Alan Arthur II,-5.1758,1.0,1.0,0.0004,0.0004,0.0023,0.0023,0.3792,0.3792,0.0,0.3792,0.3792,0.0,0.0,-0.0027,0.0,-0.0027
musique,Who is the child of the president who suffered a major defeat when the body which approves members of the American cabinet refused to ratify the Versailles treaty?,standard,positive,False,False,False,flat_fallback,59,3,Women's suffrage in the United States,William Howard Taft,-4.9141,1.0,1.0,0.0004,0.0004,0.0304,0.0304,0.3792,0.3792,0.0,0.3792,0.3792,0.0,0.0,-0.036,0.0,-0.036
musique,Who is the child of the president who suffered a major defeat when the body which approves members of the American cabinet refused to ratify the Versailles treaty?,standard,positive,False,False,False,flat_fallback,97,9,2004 United States presidential election,Chester Alan Arthur II,-2.0508,1.0,1.0,0.0004,0.0004,0.0023,0.0023,0.3792,0.3792,0.0,0.3792,0.3792,0.0,0.0,-0.0026,0.0,-0.0026
musique,Who is the child of the president who suffered a major defeat when the body which approves members of the American cabinet refused to ratify the Versailles treaty?,standard,positive,False,False,False,flat_fallback,97,3,2004 United States presidential election,William Howard Taft,-1.7891,1.0,1.0,0.0004,0.0004,0.0304,0.0304,0.3792,0.3792,0.0,0.3792,0.3792,0.0,0.0,-0.0359,0.0,-0.0359
musique,What does dell call the feature letting the interface replacing FireWire in later iterations of the iPod drives to remain powered when the computer is off?,standard,positive,False,False,False,flat_fallback,52,4,Dell,Macintosh,-4.4726,1.0,1.0,0.0025,0.0025,0.0004,0.0004,1.0758,1.0758,0.0,1.0758,1.0758,0.0,0.0,0.0016,0.0,0.0016
musique,What does dell call the feature letting the interface replacing FireWire in later iterations of the iPod drives to remain powered when the computer is off?,standard,positive,False,False,False,flat_fallback,52,5,Dell,USB,-3.5585,1.0,1.0,0.0025,0.0025,0.0035,0.0035,1.0758,1.0758,0.0,1.0758,1.0758,0.0,0.0,-0.0008,0.0,-0.0008
musique,What does dell call the feature letting the interface replacing FireWire in later iterations of the iPod drives to remain powered when the computer is off?,standard,positive,False,False,False,flat_fallback,99,4,Robert J. Bach,Macintosh,-6.9258,1.0,1.0,0.0001,0.0001,0.0004,0.0004,1.0758,1.0758,0.0,1.0758,1.0758,0.0,0.0,-0.0002,0.0,-0.0002
musique,What does dell call the feature letting the interface replacing FireWire in later iterations of the iPod drives to remain powered when the computer is off?,standard,positive,False,False,False,flat_fallback,99,5,Robert J. Bach,USB,-6.0117,1.0,1.0,0.0001,0.0001,0.0035,0.0035,1.0758,1.0758,0.0,1.0758,1.0758,0.0,0.0,-0.0027,0.0,-0.0027
musique,What does dell call the feature letting the interface replacing FireWire in later iterations of the iPod drives to remain powered when the computer is off?,standard,positive,False,False,False,flat_fallback,16,4,IPod Nano,Macintosh,-3.4414,1.0,1.0,0.0017,0.0017,0.0004,0.0004,1.0758,1.0758,0.0,1.0758,1.0758,0.0,0.0,0.001,0.0,0.001
musique,What does dell call the feature letting the interface replacing FireWire in later iterations of the iPod drives to remain powered when the computer is off?,standard,positive,False,False,False,flat_fallback,16,5,IPod Nano,USB,-2.5273,1.0,1.0,0.0017,0.0017,0.0035,0.0035,1.0758,1.0758,0.0,1.0758,1.0758,0.0,0.0,-0.0014,0.0,-0.0014
musique,Who was second pick in the 1999 draft of the league that has a competition where they give out the MLB MVP award after it?,standard,positive,False,False,False,flat_fallback,18,1,1998 Milwaukee Brewers season,Major League Baseball draft,-5.2363,1.0,1.0,0.0002,0.0002,0.1084,0.1084,1.8867,1.8867,0.0,1.8867,1.8867,0.0,0.0,-0.0089,0.0,-0.0089
musique,Who was second pick in the 1999 draft of the league that has a competition where they give out the MLB MVP award after it?,standard,positive,False,False,False,flat_fallback,18,7,1998 Milwaukee Brewers season,NBA high school draftees,-4.0761,1.0,1.0,0.0002,0.0002,0.0042,0.0042,1.8867,1.8867,0.0,1.8867,1.8867,0.0,0.0,-0.0004,0.0,-0.0004
musique,Who was second pick in the 1999 draft of the league that has a competition where they give out the MLB MVP award after it?,standard,positive,False,False,False,flat_fallback,57,1,Houston Astros,Major League Baseball draft,-3.7637,1.0,1.0,0.0024,0.0024,0.1084,0.1084,1.8867,1.8867,0.0,1.8867,1.8867,0.0,0.0,-0.0087,0.0,-0.0087
musique,Who was second pick in the 1999 draft of the league that has a competition where they give out the MLB MVP award after it?,standard,positive,False,False,False,flat_fallback,57,7,Houston Astros,NBA high school draftees,-2.6035,1.0,1.0,0.0024,0.0024,0.0042,0.0042,1.8867,1.8867,0.0,1.8867,1.8867,0.0,0.0,-0.0002,0.0,-0.0002
musique,Who was second pick in the 1999 draft of the league that has a competition where they give out the MLB MVP award after it?,standard,positive,False,False,False,flat_fallback,88,1,Willie Mays,Major League Baseball draft,-5.1973,1.0,1.0,0.0005,0.0005,0.1084,0.1084,1.8867,1.8867,0.0,1.8867,1.8867,0.0,0.0,-0.0089,0.0,-0.0089
musique,Who was second pick in the 1999 draft of the league that has a competition where they give out the MLB MVP award after it?,standard,positive,False,False,False,flat_fallback,88,7,Willie Mays,NBA high school draftees,-4.0371,1.0,1.0,0.0005,0.0005,0.0042,0.0042,1.8867,1.8867,0.0,1.8867,1.8867,0.0,0.0,-0.0004,0.0,-0.0004
musique,The Commission of Truth and Friendship established governments for Bustami's birth country and a second country that had who as president after declaring independence?,standard,negative,True,False,False,flat_fallback,48,7,Armenians,Giorgi Chanturia,0.3008,0.0,0.0,0.0202,0.0202,0.0262,0.0262,1.5218,1.5218,0.0,1.5218,1.5218,0.0,0.0,-0.0027,0.0,-0.0027
musique,"What was the form of the language Auctor is in, used in the era of the Frankish king who created the Holy Roman Empire, later known as?",standard,positive,False,False,True,dependency,13,2,Military history of France,Middle Ages,-3.4463,0.0,0.6667,0.0063,0.0059,0.011,0.0156,2.4614,2.4614,0.0,1.3544,1.3544,0.0,0.0,-0.0011,0.0,-0.0046
musique,"What was the form of the language Auctor is in, used in the era of the Frankish king who created the Holy Roman Empire, later known as?",standard,positive,False,False,True,dependency,13,7,Military history of France,Holy Roman Empire,-3.4121,1.0,1.0,0.0063,0.0059,0.3348,0.3156,2.4614,2.4614,0.0,1.3544,1.3544,0.0,0.0,-0.0794,0.0,-0.1967
musique,"What was the form of the language Auctor is in, used in the era of the Frankish king who created the Holy Roman Empire, later known as?",standard,positive,False,False,True,dependency,19,2,Peace of Augsburg,Middle Ages,-4.583,0.0,0.6667,0.0016,0.0087,0.011,0.0156,2.4614,2.4614,0.0,1.3544,1.3544,0.0,0.0,-0.0018,0.0,-0.0069
musique,"What was the form of the language Auctor is in, used in the era of the Frankish king who created the Holy Roman Empire, later known as?",standard,positive,False,False,True,dependency,19,7,Peace of Augsburg,Holy Roman Empire,-4.5488,1.0,1.0,0.0016,0.0087,0.3348,0.3156,2.4614,2.4614,0.0,1.3544,1.3544,0.0,0.0,-0.0803,0.0,-0.1994
musique,"What was the form of the language Auctor is in, used in the era of the Frankish king who created the Holy Roman Empire, later known as?",standard,positive,False,False,True,dependency,17,2,Anno Domini,Middle Ages,-4.8721,0.0,0.6667,0.002,0.0022,0.011,0.0156,2.4614,2.4614,0.0,1.3544,1.3544,0.0,0.0,-0.0017,0.0,-0.0071
musique,"What was the form of the language Auctor is in, used in the era of the Frankish king who created the Holy Roman Empire, later known as?",standard,positive,False,False,True,dependency,17,7,Anno Domini,Holy Roman Empire,-4.8379,1.0,1.0,0.002,0.0022,0.3348,0.3156,2.4614,2.4614,0.0,1.3544,1.3544,0.0,0.0,-0.0803,0.0,-0.1996
musique,"When did the political party that favored harsh punishment of southern states after the Civil War, gain control of the House?",standard,negative,False,False,False,flat_fallback,97,0,2004 United States presidential election,Compromise of 1877,-4.998,0.0,0.0,0.0083,0.0083,0.0294,0.0294,0.6075,0.6075,0.0,0.6075,0.6075,0.0,0.0,-0.0236,0.0,-0.0236
musique,"When did the political party that favored harsh punishment of southern states after the Civil War, gain control of the House?",standard,negative,False,False,False,flat_fallback,38,5,First Indochina War,1946 United States House of Representatives elections,-3.2559,0.0,0.0,0.0335,0.0335,0.1416,0.1416,0.6075,0.5936,-0.0139,0.6075,0.5936,-0.0139,0.0,-0.1155,0.0,-0.1155
musique,When did the person chosen to be president of the confederacy end his fight in the Mexican-American war?,standard,positive,False,False,False,flat_fallback,15,7,Texas Revolution,President of the Confederate States of America,-6.7579,1.0,1.0,0.0085,0.0085,0.5891,0.5891,1.9236,1.9236,0.0,1.9236,1.9236,0.0,0.0,-0.0182,0.0,-0.0182
musique,When did the person chosen to be president of the confederacy end his fight in the Mexican-American war?,standard,positive,False,False,False,flat_fallback,15,9,Texas Revolution,Jefferson Davis,-6.2808,1.0,1.0,0.0085,0.0085,0.4245,0.4245,1.9236,1.9236,0.0,1.9236,1.9236,0.0,0.0,-0.0075,0.0,-0.0075
musique,When did the person chosen to be president of the confederacy end his fight in the Mexican-American war?,standard,positive,False,False,False,flat_fallback,69,7,Separation of powers under the United States Constitution,President of the Confederate States of America,-9.9532,1.0,1.0,0.0001,0.0001,0.5891,0.5891,1.9236,1.9236,0.0,1.9236,1.9236,0.0,0.0,-0.0184,0.0,-0.0184
musique,When did the person chosen to be president of the confederacy end his fight in the Mexican-American war?,standard,positive,False,False,False,flat_fallback,69,9,Separation of powers under the United States Constitution,Jefferson Davis,-9.4761,1.0,1.0,0.0001,0.0001,0.4245,0.4245,1.9236,1.9236,0.0,1.9236,1.9236,0.0,0.0,-0.0076,0.0,-0.0076
musique,When did the person chosen to be president of the confederacy end his fight in the Mexican-American war?,standard,positive,False,False,False,flat_fallback,11,7,Military leadership in the American Civil War,President of the Confederate States of America,-1.6548,1.0,1.0,0.1494,0.1494,0.5891,0.5891,1.9236,1.9236,0.0,1.9236,1.9236,0.0,0.0,-0.0133,0.0,-0.0133
